h_m_s,ENB
2019-04-04 09:32:07,65.93623905887236
2019-04-04 09:32:08,61.681507323797135
2019-04-04 09:32:09,57.70137192902355
2019-04-04 09:32:10,53.978104801441646
2019-04-04 09:32:11,50.495123136083514
2019-04-04 09:32:12,66.59447471732521
2019-04-04 09:32:13,62.2974920197732
2019-04-04 09:32:14,58.2778045693082
2019-04-04 09:32:15,54.51751353797752
2019-04-04 09:32:16,50.999875961562864
2019-04-04 09:32:17,47.709230030237805
2019-04-04 09:32:18,44.63092521636045
2019-04-04 09:32:19,41.75125692518138
2019-04-04 09:32:20,39.057405374787486
2019-04-04 09:32:21,36.53737843078449
2019-04-04 09:32:22,-75.50537419513198
2019-04-04 09:32:23,-70.63373095254168
2019-04-04 09:32:24,-72.52844857692179
2019-04-04 09:32:25,-67.84891745249206
2019-04-04 09:32:26,-63.47132607504561
2019-04-04 09:32:27,-59.3761901509059
2019-04-04 09:32:28,-120.06453160592103
2019-04-04 09:32:29,-112.31808240539196
2019-04-04 09:32:30,-105.0714478757071
2019-04-04 09:32:31,-53.12929839323869
2019-04-04 09:32:32,-49.70147479016245
2019-04-04 09:32:33,18.02354706742349
2019-04-04 09:32:34,36.21616584119494
2019-04-04 09:32:35,33.87956817781656
2019-04-04 09:32:36,31.693727596186598
2019-04-04 09:32:37,29.64891672839633
2019-04-04 09:32:38,27.736035916596006
2019-04-04 09:32:39,6.591284614307856
2019-04-04 09:32:40,6.166031209455053
2019-04-04 09:32:41,5.768214661486669
2019-04-04 09:32:42,5.396064706581289
2019-04-04 09:32:43,5.0479253094714585
2019-04-04 09:32:44,4.722247291613658
2019-04-04 09:32:45,4.417581435240673
2019-04-04 09:32:46,4.132572032559267
2019-04-04 09:32:47,3.865950851343434
2019-04-04 09:32:48,3.616531490032189
2019-04-04 09:32:49,3.383204097179085
2019-04-04 09:32:50,3.1649304317263636
2019-04-04 09:32:51,2.9607392420970684
2019-04-04 09:32:52,2.769721943520488
2019-04-04 09:32:53,2.5910285743363097
2019-04-04 09:32:54,-10.479471961121773
2019-04-04 09:32:55,-9.80337159580199
2019-04-04 09:32:56,-9.170891283203334
2019-04-04 09:32:57,-8.579216742173676
2019-04-04 09:32:58,-375.77005536123164
2019-04-04 09:32:59,-351.5266776876266
2019-04-04 09:33:00,-328.847407413939
2019-04-04 09:33:01,-307.6313320730062
2019-04-04 09:33:02,-287.7840499681619
2019-04-04 09:33:03,-269.21725008747063
2019-04-04 09:33:04,-251.84831912477202
2019-04-04 09:33:05,-274.30980997639114
2019-04-04 09:33:06,-256.6123350076523
2019-04-04 09:33:07,-240.05664109292968
2019-04-04 09:33:08,-224.56906388008915
2019-04-04 09:33:09,-210.08069168799818
2019-04-04 09:33:10,-196.5270588660879
2019-04-04 09:33:11,-183.84785893923004
2019-04-04 09:33:12,-171.9866762611991
2019-04-04 09:33:13,-160.89073498239304
2019-04-04 09:33:14,-182.76880129425354
2019-04-04 09:33:15,-170.9772409134481
2019-04-04 09:33:16,-159.9464294621202
2019-04-04 09:33:17,-149.6272859772692
2019-04-04 09:33:18,-139.97389605794947
2019-04-04 09:33:19,-130.9433075649114
2019-04-04 09:33:20,-122.49533950166403
2019-04-04 09:33:21,-121.04402522885842
2019-04-04 09:33:22,-113.23472297517635
2019-04-04 09:33:23,-105.92924795993528
