h_m_s,SU
2019-04-04 09:32:04,-0.22354927570479022
2019-04-04 09:32:05,-0.14903285046986015
2019-04-04 09:32:06,-0.09935523364657343
2019-04-04 09:32:07,-0.39957015576438226
2019-04-04 09:32:08,-0.2663801038429215
2019-04-04 09:32:09,-0.17758673589528098
2019-04-04 09:32:10,0.5482755094031461
2019-04-04 09:32:11,0.36551700626876404
2019-04-04 09:32:12,-0.0896553291541573
2019-04-04 09:32:13,-0.05977021943610487
2019-04-04 09:32:14,-0.03984681295740324
2019-04-04 09:32:15,-0.02656454197160216
2019-04-04 09:32:16,-0.017709694647734774
2019-04-04 09:32:17,-0.01180646309848985
2019-04-04 09:32:18,-1.3412043087323264
2019-04-04 09:32:19,-0.894136205821551
2019-04-04 09:32:20,-0.596090803881034
2019-04-04 09:32:21,-0.39739386925402265
2019-04-04 09:32:22,-7.264929246169348
2019-04-04 09:32:23,-5.843286164112899
2019-04-04 09:32:24,-3.8955241094085995
2019-04-04 09:32:25,-1.263682739605733
2019-04-04 09:32:26,-1.1757884930704887
2019-04-04 09:32:27,-0.7838589953803258
2019-04-04 09:32:28,-0.5225726635868838
2019-04-04 09:32:29,-0.3483817757245892
2019-04-04 09:32:30,-0.23225451714972614
2019-04-04 09:32:31,-0.15483634476648409
2019-04-04 09:32:32,-0.10322422984432272
2019-04-04 09:32:33,-0.06881615322954848
2019-04-04 09:32:34,-0.04587743548636566
2019-04-04 09:32:35,-0.030584956990910437
2019-04-04 09:32:36,-0.020389971327273625
2019-04-04 09:32:37,-0.013593314218182417
2019-04-04 09:32:38,-0.009062209478788278
2019-04-04 09:32:39,-0.006041472985858852
2019-04-04 09:32:40,-0.004027648657239234
2019-04-04 09:32:41,-0.3360184324381595
2019-04-04 09:32:42,-0.22401228829210632
2019-04-04 09:32:43,-0.14934152552807087
2019-04-04 09:32:44,-0.09956101701871391
2019-04-04 09:32:45,-0.06637401134580927
2019-04-04 09:32:46,-0.044249340897206176
2019-04-04 09:32:47,-0.02949956059813745
2019-04-04 09:32:48,-0.35299970706542494
2019-04-04 09:32:49,-0.23533313804361664
2019-04-04 09:32:50,0.5097779079709223
2019-04-04 09:32:51,0.3398519386472815
2019-04-04 09:32:52,0.2265679590981877
2019-04-04 09:32:53,0.15104530606545846
2019-04-04 09:32:54,0.10069687071030564
2019-04-04 09:32:55,0.06713124714020376
2019-04-04 09:32:56,0.3780874980934692
2019-04-04 09:32:57,0.2520583320623128
2019-04-04 09:32:58,0.16803888804154188
2019-04-04 09:32:59,0.11202592536102791
2019-04-04 09:33:00,0.07468395024068528
2019-04-04 09:33:01,0.04978930016045685
2019-04-04 09:33:02,0.0331928667736379
2019-04-04 09:33:03,0.022128577849091932
2019-04-04 09:33:04,1.6814190518993948
2019-04-04 09:33:05,1.1209460345995965
2019-04-04 09:33:06,0.747297356399731
2019-04-04 09:33:07,0.4981982375998207
2019-04-04 09:33:08,0.3321321583998805
2019-04-04 09:33:09,0.8880881055999202
2019-04-04 09:33:10,0.5920587370666135
2019-04-04 09:33:11,0.3947058247110757
2019-04-04 09:33:12,-2.070196116859283
2019-04-04 09:33:13,-1.3801307445728552
2019-04-04 09:33:14,-0.9200871630485702
2019-04-04 09:33:15,2.38660855796762
2019-04-04 09:33:16,2.25773903864508
2019-04-04 09:33:17,1.50515935909672
2019-04-04 09:33:18,1.0034395727311467
2019-04-04 09:33:19,0.6689597151540978
2019-04-04 09:33:20,0.4459731434360652
2019-04-04 09:33:21,0.2973154289573768
2019-04-04 09:33:22,0.19821028597158452
2019-04-04 09:33:23,0.132140190647723
2019-04-04 09:33:24,0.08809346043181533
2019-04-04 09:33:25,0.05872897362121022
2019-04-04 09:33:26,-3.960847350919193
2019-04-04 09:33:27,-2.6405649006127954
2019-04-04 09:33:28,-2.0937099337418634
2019-04-04 09:33:29,-1.3958066224945755
2019-04-04 09:33:30,-0.5972044149963837
2019-04-04 09:33:31,-0.3981362766642558
2019-04-04 09:33:32,-0.5987575177761705
2019-04-04 09:33:33,-0.399171678517447
2019-04-04 09:33:34,0.7338855476550353
2019-04-04 09:33:35,0.48925703177002355
2019-04-04 09:33:36,0.9928380211800157
2019-04-04 09:33:37,0.6618920141200105
2019-04-04 09:33:38,0.44126134274667367
2019-04-04 09:33:39,0.29417422849778246
2019-04-04 09:33:40,3.529449485665188
2019-04-04 09:33:41,2.352966323776792
2019-04-04 09:33:42,1.5686442158511946
2019-04-04 09:33:43,1.045762810567463
2019-04-04 09:33:44,0.6971752070449754
2019-04-04 09:33:45,0.46478347136331694
2019-04-04 09:33:46,0.3098556475755446
2019-04-04 09:33:47,0.20657043171702974
2019-04-04 09:33:48,0.1377136211446865
2019-04-04 09:33:49,0.09180908076312433
2019-04-04 09:33:50,0.061206053842082886
2019-04-04 09:33:51,0.040804035894721924
2019-04-04 09:33:52,0.027202690596481283
2019-04-04 09:33:53,0.018135127064320855
2019-04-04 09:33:54,0.012090084709547236
2019-04-04 09:33:55,0.00806005647303149
2019-04-04 09:33:56,0.005373370982020994
2019-04-04 09:33:57,0.003582247321347329
2019-04-04 09:33:58,0.0023881648808982193
2019-04-04 09:33:59,0.0015921099205988129
2019-04-04 09:34:00,0.001061406613732542
2019-04-04 09:34:01,0.000707604409155028
2019-04-04 09:34:02,0.0004717362727700187
2019-04-04 09:34:03,0.0003144908485133458
2019-04-04 09:34:04,0.00020966056567556387
2019-04-04 09:34:05,0.0001397737104503759
2019-04-04 09:34:06,-1.9999068175263666
2019-04-04 09:34:07,-1.3332712116842445
2019-04-04 09:34:08,-0.888847474456163
2019-04-04 09:34:09,-0.9258983163041087
2019-04-04 09:34:10,-0.6172655442027392
2019-04-04 09:34:11,-0.4115103628018261
2019-04-04 09:34:12,-0.2743402418678841
2019-04-04 09:34:13,-0.1828934945785894
2019-04-04 09:34:14,-0.12192899638572625
2019-04-04 09:34:15,-0.08128599759048417
2019-04-04 09:34:16,-0.7208573317269895
2019-04-04 09:34:17,-0.48057155448465966
2019-04-04 09:34:18,-0.32038103632310644
2019-04-04 09:34:19,-0.21358735754873762
2019-04-04 09:34:20,-0.14239157169915842
2019-04-04 09:34:21,-0.09492771446610561
2019-04-04 09:34:22,-0.06328514297740374
2019-04-04 09:34:23,0.2911432380150642
2019-04-04 09:34:24,0.1940954920100428
2019-04-04 09:34:25,0.12939699467336188
2019-04-04 09:34:26,0.08626466311557458
2019-04-04 09:34:27,0.05750977541038305
