h_m_s,FOOD
2019-04-04 09:30:00,500.0
2019-04-04 09:30:01,1175.0
2019-04-04 09:30:02,361.53846153846155
2019-04-04 09:30:03,117.50000000000003
2019-04-04 09:30:04,38.84297520661159
2019-04-04 09:30:05,12.912087912087921
2019-04-04 09:30:06,4.300091491308329
2019-04-04 09:30:07,1.432926829268294
2019-04-04 09:30:08,0.4775937404735296
2019-04-04 09:30:09,0.1591925213385722
2019-04-04 09:30:10,0.05306357467851384
2019-04-04 09:30:11,0.017687791660394424
2019-04-04 09:30:12,0.005895923157304493
2019-04-04 09:30:13,0.001965306897307282
2019-04-04 09:30:14,0.0006551022077920098
2019-04-04 09:30:15,0.00021836739245173655
2019-04-04 09:30:16,7.27891296899567e-05
2019-04-04 09:30:17,2.426304310473126e-05
2019-04-04 09:30:18,8.087681020993275e-06
2019-04-04 09:30:19,2.6958936721180758e-06
2019-04-04 09:30:20,8.986312238675422e-07
2019-04-04 09:30:21,2.9954374127009e-07
2019-04-04 09:30:22,9.984791375457547e-08
2019-04-04 09:30:23,3.3282637917956135e-08
2019-04-04 09:30:24,1.1094212639292525e-08
2019-04-04 09:30:25,3.6980708797612658e-09
2019-04-04 09:30:26,1.2326902932534321e-09
2019-04-04 09:30:27,4.108967644177748e-10
2019-04-04 09:30:28,1.369655881392543e-10
2019-04-04 09:30:29,4.5655196046417666e-11
2019-04-04 09:30:30,1.5218398682139174e-11
2019-04-04 09:30:31,5.072799560713053e-12
2019-04-04 09:30:32,1.6909331869043508e-12
2019-04-04 09:30:33,5.636443956347836e-13
2019-04-04 09:30:34,1.8788146521159452e-13
2019-04-04 09:30:35,6.26271550705315e-14
2019-04-04 09:30:36,2.0875718356843836e-14
2019-04-04 09:30:37,6.958572785614612e-15
2019-04-04 09:30:38,2.3195242618715373e-15
2019-04-04 09:30:39,7.731747539571791e-16
2019-04-04 09:30:40,2.5772491798572634e-16
2019-04-04 09:30:41,8.590830599524211e-17
2019-04-04 09:30:42,2.8636101998414035e-17
2019-04-04 09:30:43,9.545367332804678e-18
2019-04-04 09:30:44,3.1817891109348928e-18
2019-04-04 09:30:45,-1333.3333333333333
2019-04-04 09:30:46,-444.4444444444444
2019-04-04 09:30:47,-148.14814814814812
2019-04-04 09:30:48,-49.38271604938271
2019-04-04 09:30:49,-16.460905349794235
2019-04-04 09:30:50,-5.486968449931411
2019-04-04 09:30:51,-1.8289894833104705
2019-04-04 09:30:52,-0.6096631611034902
2019-04-04 09:30:53,-0.2032210537011634
2019-04-04 09:30:54,-0.06774035123372113
2019-04-04 09:30:55,-0.022580117077907042
2019-04-04 09:30:56,-0.0075267056926356804
2019-04-04 09:30:57,-0.002508901897545227
2019-04-04 09:30:58,-0.0008363006325150757
2019-04-04 09:30:59,-0.00027876687750502525
2019-04-04 09:31:00,-9.292229250167508e-05
2019-04-04 09:31:01,-3.097409750055836e-05
2019-04-04 09:31:02,-1.0324699166852787e-05
2019-04-04 09:31:03,-3.441566388950929e-06
2019-04-04 09:31:04,-1.1471887963169763e-06
2019-04-04 09:31:05,-3.8239626543899207e-07
2019-04-04 09:31:06,-1.2746542181299737e-07
2019-04-04 09:31:07,-4.248847393766579e-08
2019-04-04 09:31:08,-1.4162824645888597e-08
2019-04-04 09:31:09,-4.720941548629532e-09
2019-04-04 09:31:10,-1.5736471828765107e-09
2019-04-04 09:31:11,-5.245490609588369e-10
2019-04-04 09:31:12,-1.7484968698627896e-10
2019-04-04 09:31:13,-5.828322899542633e-11
