h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 09:30:38,,,56.68,,71.17,37.03,,24.4,,,49.22,,15.28,69.12,14.14,,23.42,,,103.32,273.99,,43.65,74.63,30.78,31.1,24.49,32.1
2019-04-04 09:30:39,,,56.68,63.41,,,120.88,,,9.2,49.23,,,69.12,,,23.42,1.26,,103.31,,,,74.64,30.78,,24.49,32.1
2019-04-04 09:30:40,,11.97,56.68,63.39,71.17,,120.88,,11.97,9.2,,,,69.13,14.14,,,1.26,10.78,103.32,,,43.65,,30.78,31.1,24.49,
2019-04-04 09:30:41,17.57,11.99,,63.39,,37.03,120.88,,,9.2,,,,69.13,14.14,,23.44,1.26,10.78,103.29,,,43.68,,30.83,,24.49,
2019-04-04 09:30:42,17.57,11.99,,,71.17,,120.88,,11.97,9.2,,,,69.13,,,23.45,,10.8,103.3,,,43.69,,,,24.49,32.1
2019-04-04 09:30:43,,,56.68,63.38,71.18,,,,,9.2,49.22,,,69.13,14.14,,23.44,,10.8,103.29,273.99,,43.7,74.64,30.75,,24.49,
2019-04-04 09:30:44,,11.99,56.68,63.38,,,,,,9.2,49.23,,,69.13,14.14,,,,,103.3,273.96,,,,30.66,,24.49,
2019-04-04 09:30:45,17.57,,,63.38,71.18,,,,,,,3.8,,69.14,14.14,,,,,,273.94,,,,30.66,,24.48,
2019-04-04 09:30:46,,11.99,56.68,63.38,,,,,11.97,,,,,69.15,14.13,,23.44,,,103.28,,,43.7,,30.66,,24.48,32.1
2019-04-04 09:30:47,,11.99,,,,,,,,,49.23,,15.28,69.14,14.14,,,,10.8,103.29,273.47,,43.7,74.63,,,24.48,
2019-04-04 09:30:48,,,56.68,63.38,71.2,,120.88,24.4,,9.2,49.23,,15.28,69.13,14.14,,,,10.8,,273.46,,43.7,74.63,30.65,,24.48,32.1
2019-04-04 09:30:49,,12.0,,,,,,,,,49.23,,15.28,69.13,14.14,,,,,103.32,273.46,,43.7,,30.66,,24.48,32.1
2019-04-04 09:30:50,17.57,11.98,56.68,63.36,71.19,,120.88,,,,,,15.28,69.13,,,,,,103.32,273.39,,,,30.66,,,32.1
2019-04-04 09:30:51,,,56.68,,,,120.88,,,,,,15.28,69.13,,,,,,,273.26,,43.7,,,,24.48,32.1
2019-04-04 09:30:52,,11.98,,63.36,,,,24.39,,,49.23,,15.28,69.12,14.14,,,,,,273.17,,,74.64,,,24.48,32.1
2019-04-04 09:30:53,,11.98,,63.35,71.21,,,24.4,,,49.23,,15.28,69.11,,,23.44,,,,273.65,,,74.64,,31.09,24.48,
2019-04-04 09:30:54,17.56,,56.68,,71.21,37.03,,24.4,11.97,9.19,49.23,,15.28,69.11,14.14,,23.43,,10.8,103.32,273.65,,43.7,74.64,30.66,,24.48,32.1
2019-04-04 09:30:55,17.57,11.98,56.68,63.35,71.21,,,24.4,11.97,9.19,49.23,,15.27,69.12,,,23.43,,,103.32,273.65,,43.7,,,,24.48,32.1
2019-04-04 09:30:56,17.59,,56.66,63.33,,,,,,9.19,,,15.28,69.1,14.14,,23.43,,,103.32,,,,74.64,30.61,,24.48,32.1
2019-04-04 09:30:57,17.59,11.98,56.64,63.33,,,120.88,,,,49.23,,15.28,69.09,14.14,,,,,103.32,273.66,,,74.66,30.61,,24.48,32.1
2019-04-04 09:30:58,17.57,11.98,56.64,,71.19,,120.88,,,9.19,,,15.28,69.11,14.14,,23.43,,10.76,103.32,273.64,,,74.66,30.59,,24.48,32.1
2019-04-04 09:30:59,,,56.64,63.35,71.19,,120.88,24.39,,,49.23,,15.28,69.11,14.14,,23.43,,10.76,103.33,273.64,,43.7,74.66,30.58,,24.48,32.1
2019-04-04 09:31:00,17.56,,,63.35,,37.03,,,,9.19,49.23,,15.28,69.13,14.14,,23.43,,,103.33,273.66,,43.7,,30.56,,24.48,32.1
2019-04-04 09:31:01,,,56.64,,,,,,,9.19,,,,69.14,14.14,,23.43,,10.76,103.33,273.66,,43.7,,30.56,31.06,24.48,32.1
2019-04-04 09:31:02,,,56.62,63.35,,37.02,,24.39,,9.19,49.23,,15.28,69.15,14.14,,,,,,,11.89,43.7,74.66,,31.06,24.48,32.1
2019-04-04 09:31:03,,11.98,56.64,,71.2,37.0,,,,9.19,49.23,,15.28,69.17,14.13,,23.43,,10.76,103.33,273.96,,43.7,74.66,30.56,31.05,24.48,32.1
2019-04-04 09:31:04,17.55,12.0,56.52,,71.18,37.01,,,,,49.23,,15.28,69.19,14.13,,,,10.74,103.37,273.96,,43.7,,,31.05,24.48,32.11
2019-04-04 09:31:05,17.55,,56.5,,,37.01,120.88,,11.97,,49.23,,15.28,69.19,14.13,,,,10.71,103.37,273.96,,,74.64,30.56,,24.48,32.1
2019-04-04 09:31:06,17.55,12.0,56.48,,,37.01,,24.41,,,,,15.26,69.19,14.14,,23.43,,10.71,,,,43.7,74.64,,31.03,24.48,32.1
2019-04-04 09:31:07,17.55,,56.46,63.38,,37.01,,24.42,,,49.23,,15.26,69.2,14.13,,23.43,,10.71,,,,43.7,74.64,,,24.48,32.11
2019-04-04 09:31:08,17.54,,56.46,63.39,71.18,37.01,120.93,,,,49.23,,,69.18,14.14,,23.43,,10.71,,273.96,,43.7,74.64,,31.01,24.48,32.1
2019-04-04 09:31:09,17.54,12.0,,63.38,,,120.93,24.42,,,49.23,,15.26,69.19,14.13,,,,10.71,103.37,,,43.7,74.64,,31.02,24.48,
2019-04-04 09:31:10,17.54,12.0,,63.38,71.18,37.01,120.94,,,9.17,49.23,,15.26,69.19,14.14,,,,10.69,103.37,,,43.71,74.64,,,24.48,32.1
2019-04-04 09:31:11,17.53,11.99,56.46,63.38,71.18,37.0,,,11.96,9.17,,,15.25,69.22,14.14,,23.43,,10.69,,,,43.69,,30.56,,24.48,32.1
2019-04-04 09:31:12,17.53,12.0,,63.36,,37.0,120.93,,11.96,9.17,49.23,,15.25,69.21,14.14,,23.43,,10.69,,273.5,,43.69,74.64,,,24.48,32.1
2019-04-04 09:31:13,,12.0,,,71.18,,120.93,,11.96,9.17,49.23,,15.25,69.22,14.14,,23.42,,10.69,,273.49,,43.68,74.64,,,,
2019-04-04 09:31:14,17.53,12.0,,63.36,71.18,36.97,,,11.95,,49.24,,15.25,69.22,14.14,,23.42,,10.69,103.41,273.48,,43.66,74.64,,,24.48,32.1
2019-04-04 09:31:15,17.53,12.0,,,,,,24.44,11.96,9.17,49.24,,,69.21,14.14,,,,,103.41,273.42,,43.66,74.64,,,24.48,32.1
2019-04-04 09:31:16,17.54,12.0,,,,36.98,,,11.95,,,,15.25,69.22,14.14,,23.42,,10.69,103.4,273.41,,43.66,74.64,30.56,,24.48,32.1
2019-04-04 09:31:17,17.54,12.0,56.45,63.36,,36.99,120.93,,11.95,,49.24,,15.25,69.23,14.14,,,,10.68,103.39,273.36,,43.66,74.66,30.56,,24.48,32.1
2019-04-04 09:31:18,17.54,12.0,56.46,,71.2,36.97,120.93,24.45,,,49.24,,15.26,69.22,,,23.42,,10.68,103.4,273.35,,,,30.56,31.03,24.48,32.1
2019-04-04 09:31:19,17.54,12.0,56.4,,,36.96,120.93,,,,49.25,,15.26,69.21,,,,,10.68,103.4,273.67,,43.66,,30.56,,24.48,32.1
2019-04-04 09:31:20,17.54,12.0,56.42,,,36.97,120.93,,,,,,15.26,69.22,14.14,,23.42,,10.68,103.39,273.67,,,,,31.03,24.48,32.1
