h_m_s,SU
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,0.07678722160009957
2019-04-04 09:30:10,0.07089005847953252
2019-04-04 09:30:11,0.06881111111111184
2019-04-04 09:30:12,0.06761111111111208
2019-04-04 09:30:13,0.06383333333333485
2019-04-04 09:30:14,0.06037179487179708
2019-04-04 09:30:15,0.056684294871797145
2019-04-04 09:30:16,0.05299679487179722
2019-04-04 09:30:17,0.0489967948717973
2019-04-04 09:30:18,0.044996794871797384
2019-04-04 09:30:19,0.04183012820513064
2019-04-04 09:30:20,0.038663461538463895
2019-04-04 09:30:21,0.036163461538463684
2019-04-04 09:30:22,0.03266346153846322
2019-04-04 09:30:23,0.03036858974359114
2019-04-04 09:30:24,0.028830128205129195
2019-04-04 09:30:25,0.02811137820512887
2019-04-04 09:30:26,0.02649887820512844
2019-04-04 09:30:27,0.025498878205127928
2019-04-04 09:30:28,0.024498878205127417
2019-04-04 09:30:29,0.023498878205126906
2019-04-04 09:30:30,0.023248878205126777
2019-04-04 09:30:31,0.022248878205126266
2019-04-04 09:30:32,0.0227488782051259
2019-04-04 09:30:33,0.022043749999997163
2019-04-04 09:30:34,0.02104374999999665
2019-04-04 09:30:35,0.020449999999996478
2019-04-04 09:30:36,0.020749999999996417
2019-04-04 09:30:37,0.020749999999996417
2019-04-04 09:30:38,0.020749999999996417
2019-04-04 09:30:39,0.020749999999996417
2019-04-04 09:30:40,0.019999999999996035
2019-04-04 09:30:41,0.019941176470584743
2019-04-04 09:30:42,0.020941176470585254
2019-04-04 09:30:43,0.02269117647058615
2019-04-04 09:30:44,0.024441176470587044
2019-04-04 09:30:45,0.02619117647058794
2019-04-04 09:30:46,0.028191176470588962
2019-04-04 09:30:47,0.030191176470589987
2019-04-04 09:30:48,0.03176260504201936
2019-04-04 09:30:49,0.03301260504202
2019-04-04 09:30:50,0.03426260504202064
2019-04-04 09:30:51,0.03572142857143265
2019-04-04 09:30:52,0.036121428571432856
2019-04-04 09:30:53,0.03577142857143268
2019-04-04 09:30:54,0.0350214285714323
2019-04-04 09:30:55,0.03427142857143191
2019-04-04 09:30:56,0.0332714285714314
2019-04-04 09:30:57,0.03227142857143089
2019-04-04 09:30:58,0.031700000000002025
2019-04-04 09:30:59,0.0314500000000019
2019-04-04 09:31:00,0.03120000000000177
2019-04-04 09:31:01,0.030800000000001566
2019-04-04 09:31:02,0.03040000000000136
2019-04-04 09:31:03,0.030000000000001154
2019-04-04 09:31:04,0.02900000000000135
2019-04-04 09:31:05,0.02800000000000155
2019-04-04 09:31:06,0.027000000000001752
2019-04-04 09:31:07,0.025500000000001948
2019-04-04 09:31:08,0.023500000000002345
2019-04-04 09:31:09,0.021500000000002746
2019-04-04 09:31:10,0.020500000000002943
2019-04-04 09:31:11,0.01863333333333641
2019-04-04 09:31:12,0.017178787878790534
2019-04-04 09:31:13,0.0156493761140845
2019-04-04 09:31:14,0.014856272665808402
2019-04-04 09:31:15,0.013856272665807889
2019-04-04 09:31:16,0.012856272665807378
2019-04-04 09:31:17,0.012356272665806868
2019-04-04 09:31:18,0.012356272665806156
2019-04-04 09:31:19,0.012356272665805445
2019-04-04 09:31:20,0.011356272665804934
2019-04-04 09:31:21,0.011222939332471153
2019-04-04 09:31:22,0.010677484787016717
2019-04-04 09:31:23,0.010206896551722442
2019-04-04 09:31:24,0.009999999999998026
2019-04-04 09:31:25,0.010543478260867746
2019-04-04 09:31:26,0.011069794050341326
2019-04-04 09:31:27,0.013069794050341638
2019-04-04 09:31:28,0.01506979405034195
2019-04-04 09:31:29,0.017069794050342264
2019-04-04 09:31:30,0.01973646071700911
2019-04-04 09:31:31,0.022136460717009344
2019-04-04 09:31:32,0.02453646071700958
2019-04-04 09:31:33,0.026786460717009842
2019-04-04 09:31:34,0.029036460717010104
2019-04-04 09:31:35,0.030742982456140648
2019-04-04 09:31:36,0.03246666666666733
2019-04-04 09:31:37,0.03246666666666733
2019-04-04 09:31:38,0.03246666666666733
2019-04-04 09:31:39,0.0318000000000008
2019-04-04 09:31:40,0.02966666666666789
2019-04-04 09:31:41,0.027266666666668365
2019-04-04 09:31:42,0.02553333333333537
2019-04-04 09:31:43,0.02395000000000235
2019-04-04 09:31:44,0.022250000000002334
2019-04-04 09:31:45,0.020333333333335337
2019-04-04 09:31:46,0.018476190476192138
2019-04-04 09:31:47,0.01686904761904889
2019-04-04 09:31:48,0.015261904761905642
2019-04-04 09:31:49,0.014321428571428929
2019-04-04 09:31:50,0.013788095238094992
2019-04-04 09:31:51,0.014515367965366862
2019-04-04 09:31:52,0.013848701298699617
2019-04-04 09:31:53,0.013182034632032371
2019-04-04 09:31:54,0.012632034632032127
2019-04-04 09:31:55,0.01229870129869886
2019-04-04 09:31:56,0.012548701298698811
2019-04-04 09:31:57,0.012455844155841686
2019-04-04 09:31:58,0.012092398777690496
2019-04-04 09:31:59,0.011699541634833433
2019-04-04 09:32:00,0.011992224561662712
2019-04-04 09:32:01,0.011584951834390294
2019-04-04 09:32:02,0.012584951834390807
2019-04-04 09:32:03,0.013584951834391318
2019-04-04 09:32:04,0.014584951834391829
2019-04-04 09:32:05,0.01483495183439178
2019-04-04 09:32:06,0.014442094691534716
2019-04-04 09:32:07,0.014142094691534777
2019-04-04 09:32:08,0.014112682926828901
2019-04-04 09:32:09,0.015112682926829412
2019-04-04 09:32:10,0.015034285714285856
2019-04-04 09:32:11,0.014928571428571413
2019-04-04 09:32:12,0.014428571428570802
2019-04-04 09:32:13,0.014428571428570092
2019-04-04 09:32:14,0.01442857142856938
2019-04-04 09:32:15,0.015178571428569232
2019-04-04 09:32:16,0.015928571428569082
2019-04-04 09:32:17,0.016928571428568885
2019-04-04 09:32:18,0.01731987577639508
2019-04-04 09:32:19,0.01731987577639508
2019-04-04 09:32:20,0.018105590062109867
2019-04-04 09:32:21,0.018891304347824656
2019-04-04 09:32:22,0.019319015191198503
2019-04-04 09:32:23,0.018857476729660844
2019-04-04 09:32:24,0.018395938268123184
2019-04-04 09:32:25,0.018335332207517804
2019-04-04 09:32:26,0.018135332207517844
2019-04-04 09:32:27,0.019058409130595238
2019-04-04 09:32:28,0.02066710478276936
2019-04-04 09:32:29,0.021667104782769158
2019-04-04 09:32:30,0.02266710478276896
2019-04-04 09:32:31,0.02366710478276876
2019-04-04 09:32:32,0.024739393939395327
2019-04-04 09:32:33,0.025200932400932984
