h_m_s,CNR
2019-04-04 09:30:00,-0.0014693243880124947
2019-04-04 09:30:01,0.0060500097133184055
2019-04-04 09:30:02,0.005157354776098748
2019-04-04 09:30:03,0.000165988878745209
2019-04-04 09:30:04,0.000165988878745209
2019-04-04 09:30:05,0.000165988878745209
2019-04-04 09:30:06,0.000165988878745209
2019-04-04 09:30:07,-0.002017187543176036
2019-04-04 09:30:08,-0.001369692441788123
2019-04-04 09:30:09,0.0012321408793885783
2019-04-04 09:30:10,-0.00026079637730128086
2019-04-04 09:30:11,0.0003841681202757751
2019-04-04 09:30:12,-8.297378028535435e-05
2019-04-04 09:30:13,-8.297378028535435e-05
2019-04-04 09:30:14,-8.297378028535435e-05
2019-04-04 09:30:15,-8.297378028535435e-05
2019-04-04 09:30:16,-8.297378028535435e-05
2019-04-04 09:30:17,-8.297378028535435e-05
2019-04-04 09:30:18,0.001528264983727586
2019-04-04 09:30:19,0.001528264983727586
2019-04-04 09:30:20,-0.001057696295989031
2019-04-04 09:30:21,-0.001057696295989031
2019-04-04 09:30:22,-1.1312259850139976e-05
2019-04-04 09:30:23,0.0015113730824454447
2019-04-04 09:30:24,-0.001617787364665808
2019-04-04 09:30:25,0.00014738087577446476
2019-04-04 09:30:26,0.00014738087577446476
2019-04-04 09:30:27,0.00014738087577446476
2019-04-04 09:30:28,0.00014738087577446476
2019-04-04 09:30:29,0.00014738087577446476
2019-04-04 09:30:30,0.00014738087577446476
2019-04-04 09:30:31,0.00014738087577446476
2019-04-04 09:30:32,0.00014738087577446476
2019-04-04 09:30:33,0.00014738087577446476
2019-04-04 09:30:34,-0.0012921961605038043
2019-04-04 09:30:35,0.0022051670471417897
2019-04-04 09:30:36,0.002712821371432817
2019-04-04 09:30:37,0.002712821371432817
2019-04-04 09:30:38,0.002712821371432817
2019-04-04 09:30:39,0.004680407153591491
2019-04-04 09:30:40,0.00014943463894931413
2019-04-04 09:30:41,-0.00128604024061399
2019-04-04 09:30:42,0.00016978010943441933
2019-04-04 09:30:43,0.00016978010943441933
