h_m_s,CVE
2019-04-04 09:30:00,-0.0016218721037998748
2019-04-04 09:30:01,0.0022601750977882876
2019-04-04 09:30:02,0.0010035122930256277
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,-0.0010737321265190003
2019-04-04 09:30:06,-0.0007537459134748797
2019-04-04 09:30:07,-8.17904028231221e-05
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.00018314220040336896
2019-04-04 09:30:10,-0.000517454125701502
2019-04-04 09:30:11,9.358202757158834e-05
2019-04-04 09:30:12,-0.00032433144646760623
2019-04-04 09:30:13,0.0004996904092030487
2019-04-04 09:30:14,0.0003801992243936822
2019-04-04 09:30:15,-0.0009578513065287128
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.0
2019-04-04 09:30:18,-0.0004994408434036356
2019-04-04 09:30:19,-0.0003105590062112414
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,-0.0002498822670087908
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,-4.5208978503185974e-05
2019-04-04 09:30:31,0.0
2019-04-04 09:30:32,4.52110224473279e-06
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,-9.030232088254772e-05
2019-04-04 09:30:37,-0.00014534166259884775
2019-04-04 09:30:38,0.0
2019-04-04 09:30:39,0.0
2019-04-04 09:30:40,1.9274656140223072e-05
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,1.6771945566644348e-05
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,1.4422106204423086e-05
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,1.991635132450416e-05
2019-04-04 09:30:55,-7.849274310053914e-05
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,0.0
2019-04-04 09:30:58,0.0
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,0.0
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,0.0
2019-04-04 09:31:04,0.0
2019-04-04 09:31:05,-5.9776361686860175e-05
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,0.0
2019-04-04 09:31:08,0.0
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,0.0
2019-04-04 09:31:11,2.305788279308491e-05
2019-04-04 09:31:12,-0.00039636645979593174
2019-04-04 09:31:13,-7.603695395955523e-05
2019-04-04 09:31:14,0.00028400570737875463
2019-04-04 09:31:15,6.196353136396685e-06
2019-04-04 09:31:16,-5.6287290329813574e-05
2019-04-04 09:31:17,-6.229924069684022e-05
2019-04-04 09:31:18,0.0
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,-0.0001559627002889483
2019-04-04 09:31:22,0.0
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,1.0694763950459296e-05
2019-04-04 09:31:25,4.705645812460642e-05
2019-04-04 09:31:26,0.0
2019-04-04 09:31:27,0.0
2019-04-04 09:31:28,0.0
2019-04-04 09:31:29,0.0
2019-04-04 09:31:30,0.0
2019-04-04 09:31:31,0.0
2019-04-04 09:31:32,0.0
2019-04-04 09:31:33,0.0
2019-04-04 09:31:34,0.0
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,0.0
2019-04-04 09:31:37,0.0
2019-04-04 09:31:38,0.0
2019-04-04 09:31:39,-0.00013032469466781906
2019-04-04 09:31:40,-8.575110618936158e-05
2019-04-04 09:31:41,-5.4224321086892576e-05
2019-04-04 09:31:42,-2.8584161516093858e-05
2019-04-04 09:31:43,0.0
2019-04-04 09:31:44,-1.1034521209268751e-05
2019-04-04 09:31:45,-1.3625834582355777e-05
2019-04-04 09:31:46,3.728609433757497e-05
2019-04-04 09:31:47,0.0
2019-04-04 09:31:48,0.0
2019-04-04 09:31:49,0.0
2019-04-04 09:31:50,0.0
2019-04-04 09:31:51,-8.703795899489755e-06
2019-04-04 09:31:52,0.0
2019-04-04 09:31:53,-0.00010819009924674191
2019-04-04 09:31:54,0.0
2019-04-04 09:31:55,-0.00010222360683823143
2019-04-04 09:31:56,8.865116484053192e-05
2019-04-04 09:31:57,0.00023555955516050767
2019-04-04 09:31:58,0.00019737432339484584
2019-04-04 09:31:59,0.0
2019-04-04 09:32:00,0.00017732321223431753
2019-04-04 09:32:01,0.0
2019-04-04 09:32:02,0.0
2019-04-04 09:32:03,0.0
2019-04-04 09:32:04,0.0
2019-04-04 09:32:05,-4.170568908532625e-05
2019-04-04 09:32:06,-0.00024451081705667544
2019-04-04 09:32:07,0.0
2019-04-04 09:32:08,-0.00012084091927227259
2019-04-04 09:32:09,-0.00011870020747283875
2019-04-04 09:32:10,1.4951817767741401e-06
2019-04-04 09:32:11,0.0
2019-04-04 09:32:12,0.0
2019-04-04 09:32:13,-6.576262901392429e-05
2019-04-04 09:32:14,0.0
2019-04-04 09:32:15,0.0
2019-04-04 09:32:16,0.0
2019-04-04 09:32:17,0.0
2019-04-04 09:32:18,0.0
2019-04-04 09:32:19,0.0
2019-04-04 09:32:20,0.0
2019-04-04 09:32:21,-0.0001214299742457685
2019-04-04 09:32:22,-0.00013477908753365203
2019-04-04 09:32:23,0.0
2019-04-04 09:32:24,-2.9490136602654268e-05
2019-04-04 09:32:25,0.0
2019-04-04 09:32:26,0.0
2019-04-04 09:32:27,4.861011527813611e-06
2019-04-04 09:32:28,0.0
2019-04-04 09:32:29,0.0
2019-04-04 09:32:30,0.00014041189745522253
2019-04-04 09:32:31,0.0001122406752398917
2019-04-04 09:32:32,-3.0363813694921156e-05
2019-04-04 09:32:33,4.603015912690346e-05
2019-04-04 09:32:34,5.441550007641025e-05
2019-04-04 09:32:35,3.156329686937645e-05
2019-04-04 09:32:36,0.0001887992422136601
2019-04-04 09:32:37,0.00028064380045327833
2019-04-04 09:32:38,8.008756240149252e-05
2019-04-04 09:32:39,0.0
2019-04-04 09:32:40,0.0
2019-04-04 09:32:41,-6.097578765245818e-05
2019-04-04 09:32:42,-8.401016706977775e-05
2019-04-04 09:32:43,0.0
2019-04-04 09:32:44,0.0
2019-04-04 09:32:45,-0.00012969828258352296
2019-04-04 09:32:46,-2.1483848260123995e-05
2019-04-04 09:32:47,0.0
2019-04-04 09:32:48,0.0
2019-04-04 09:32:49,0.0
2019-04-04 09:32:50,2.3778014691636605e-05
2019-04-04 09:32:51,3.375418441819008e-05
2019-04-04 09:32:52,0.0
2019-04-04 09:32:53,0.0
2019-04-04 09:32:54,0.0
2019-04-04 09:32:55,0.0
2019-04-04 09:32:56,0.0
2019-04-04 09:32:57,0.0
2019-04-04 09:32:58,4.5870396815097125e-05
2019-04-04 09:32:59,0.0
2019-04-04 09:33:00,0.0
2019-04-04 09:33:01,2.8748529080121673e-05
2019-04-04 09:33:02,0.0
2019-04-04 09:33:03,0.0
2019-04-04 09:33:04,0.0
2019-04-04 09:33:05,0.0
2019-04-04 09:33:06,0.0
2019-04-04 09:33:07,0.0
2019-04-04 09:33:08,0.0
2019-04-04 09:33:09,1.1556749141514716e-05
2019-04-04 09:33:10,0.0
2019-04-04 09:33:11,-1.6284639612962595e-05
2019-04-04 09:33:12,5.565726959337381e-06
2019-04-04 09:33:13,0.0
2019-04-04 09:33:14,-1.3825180718963112e-05
2019-04-04 09:33:15,0.0
2019-04-04 09:33:16,-1.2674133541901832e-05
2019-04-04 09:33:17,-0.00012645091386802152
2019-04-04 09:33:18,-0.00014836361550536498
2019-04-04 09:33:19,0.0
2019-04-04 09:33:20,-0.000157923032122173
2019-04-04 09:33:21,2.2393623992065962e-05
2019-04-04 09:33:22,8.266048131327157e-05
2019-04-04 09:33:23,0.0
2019-04-04 09:33:24,0.0
2019-04-04 09:33:25,0.0
2019-04-04 09:33:26,-2.4667644258904487e-06
2019-04-04 09:33:27,2.74461369562082e-05
2019-04-04 09:33:28,0.0
2019-04-04 09:33:29,0.0
2019-04-04 09:33:30,-0.00010988860630453638
2019-04-04 09:33:31,1.3273879965282722e-05
2019-04-04 09:33:32,2.5915670408458702e-05
2019-04-04 09:33:33,5.2557654841167773e-05
2019-04-04 09:33:34,1.5947691571728234e-05
2019-04-04 09:33:35,0.0
2019-04-04 09:33:36,0.0
2019-04-04 09:33:37,0.0
2019-04-04 09:33:38,-2.6434047052683013e-05
2019-04-04 09:33:39,0.0
2019-04-04 09:33:40,-3.497058585162656e-05
2019-04-04 09:33:41,-5.5391967409419254e-05
2019-04-04 09:33:42,0.0
2019-04-04 09:33:43,0.0
2019-04-04 09:33:44,1.166871355353439e-05
2019-04-04 09:33:45,0.0
2019-04-04 09:33:46,0.0
2019-04-04 09:33:47,2.3936250975776575e-05
2019-04-04 09:33:48,0.00011167078625026764
2019-04-04 09:33:49,-1.0794830747983353e-05
2019-04-04 09:33:50,-2.072577233076589e-06
2019-04-04 09:33:51,5.913878501503761e-05
2019-04-04 09:33:52,-2.8006392925996772e-05
2019-04-04 09:33:53,-3.802281368832694e-05
2019-04-04 09:33:54,-6.287514489942241e-05
2019-04-04 09:33:55,-0.00026111487604597584
2019-04-04 09:33:56,0.0
2019-04-04 09:33:57,-0.00013131657020563407
2019-04-04 09:33:58,0.0
2019-04-04 09:33:59,-4.120056147210697e-05
2019-04-04 09:34:00,7.949181710004277e-05
2019-04-04 09:34:01,-3.36113912061074e-05
2019-04-04 09:34:02,0.0
2019-04-04 09:34:03,0.0
2019-04-04 09:34:04,0.0
2019-04-04 09:34:05,0.0
2019-04-04 09:34:06,0.0
2019-04-04 09:34:07,0.0
2019-04-04 09:34:08,0.0
2019-04-04 09:34:09,7.363832722222803e-05
2019-04-04 09:34:10,3.9562774820037725e-05
2019-04-04 09:34:11,0.0
2019-04-04 09:34:12,0.0
2019-04-04 09:34:13,0.0
2019-04-04 09:34:14,6.150065281748776e-07
2019-04-04 09:34:15,-3.2413980811261266e-05
2019-04-04 09:34:16,-5.6130722215372175e-05
2019-04-04 09:34:17,-4.356777589937759e-05
