h_m_s,BNS
2019-04-04 09:30:00,0.00033950292089571026
2019-04-04 09:30:01,0.00019505496648951242
2019-04-04 09:30:02,2.553267544157247e-05
2019-04-04 09:30:03,2.553267544157247e-05
2019-04-04 09:30:04,-0.00015044833604140908
2019-04-04 09:30:05,-0.00027602395887960486
2019-04-04 09:30:06,-8.777473492022071e-05
2019-04-04 09:30:07,-0.0001445701516335043
2019-04-04 09:30:08,-0.0001445701516335043
2019-04-04 09:30:09,-0.0001445701516335043
2019-04-04 09:30:10,-0.0001445701516335043
2019-04-04 09:30:11,-0.0001445701516335043
2019-04-04 09:30:12,-0.0001445701516335043
2019-04-04 09:30:13,5.9017105517239315e-06
2019-04-04 09:30:14,5.9017105517239315e-06
2019-04-04 09:30:15,5.9017105517239315e-06
2019-04-04 09:30:16,5.9017105517239315e-06
2019-04-04 09:30:17,5.9017105517239315e-06
2019-04-04 09:30:18,-0.0004943710998971439
2019-04-04 09:30:19,-1.4792242947942378e-05
2019-04-04 09:30:20,-1.4792242947942378e-05
2019-04-04 09:30:21,-1.4792242947942378e-05
2019-04-04 09:30:22,0.00014052838673439189
2019-04-04 09:30:23,-8.089994805404332e-05
2019-04-04 09:30:24,-6.131458469626317e-05
2019-04-04 09:30:25,-6.131458469626317e-05
2019-04-04 09:30:26,0.0
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,0.00010949704358000904
2019-04-04 09:30:31,-6.690753378832928e-05
2019-04-04 09:30:32,-6.690753378832928e-05
2019-04-04 09:30:33,-6.690753378832928e-05
2019-04-04 09:30:34,-6.690753378832928e-05
2019-04-04 09:30:35,-6.690753378832928e-05
2019-04-04 09:30:36,-8.781944322484976e-05
2019-04-04 09:30:37,-8.781944322484976e-05
2019-04-04 09:30:38,2.3420300716839596e-05
2019-04-04 09:30:39,2.3420300716839596e-05
2019-04-04 09:30:40,2.341975221900022e-05
2019-04-04 09:30:41,2.341975221900022e-05
2019-04-04 09:30:42,3.0111109995885952e-05
2019-04-04 09:30:43,8.196721311487923e-05
2019-04-04 09:30:44,8.196721311487923e-05
2019-04-04 09:30:45,-0.00016057808109187048
2019-04-04 09:30:46,-0.00016057808109187048
2019-04-04 09:30:47,-0.00016057808109187048
2019-04-04 09:30:48,-3.512962832870002e-05
2019-04-04 09:30:49,-3.512962832870002e-05
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,-3.512469265890729e-05
2019-04-04 09:30:54,-0.00020071454377591614
2019-04-04 09:30:55,-0.0001371664096190062
2019-04-04 09:30:56,-0.0001371664096190062
2019-04-04 09:30:57,-0.0001371664096190062
2019-04-04 09:30:58,0.00014050864128151069
