h_m_s,RY
2019-04-04 09:30:00,-0.00017753389283406266
2019-04-04 09:30:01,3.724283820210751e-06
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.00012569494803002398
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0007987180822828804
2019-04-04 09:30:06,0.00023693668738121974
2019-04-04 09:30:07,0.00012293564802276686
2019-04-04 09:30:08,-0.00012893659542921785
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,-0.00018652463161385963
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,-0.00044909972777653555
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.00020987036469020275
2019-04-04 09:30:16,-0.00035513656615234667
2019-04-04 09:30:17,-0.0005423203563820608
2019-04-04 09:30:18,0.0
2019-04-04 09:30:19,0.0
2019-04-04 09:30:20,0.0003165251992817242
2019-04-04 09:30:21,3.228722717303867e-05
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,-0.00029863515662203647
2019-04-04 09:30:27,-0.00013561423562000692
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,0.0
2019-04-04 09:30:31,-0.0001162407733886167
2019-04-04 09:30:32,-0.0003390651489464431
2019-04-04 09:30:33,9.691800736568041e-05
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,0.0002090924465353819
2019-04-04 09:30:37,9.038964392947743e-05
2019-04-04 09:30:38,0.0
2019-04-04 09:30:39,0.00016785130956293548
2019-04-04 09:30:40,0.00014524328249818997
2019-04-04 09:30:41,-8.47129441379248e-05
2019-04-04 09:30:42,0.00012910305651488317
2019-04-04 09:30:43,-4.034926322241686e-05
2019-04-04 09:30:44,7.423976863013467e-05
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,-0.00012910305651488317
2019-04-04 09:30:47,-0.0001290947232532072
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,-0.00011528546988049193
2019-04-04 09:30:50,-9.68335431392554e-05
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,0.000169487421612051
2019-04-04 09:30:55,-3.631477648251772e-05
2019-04-04 09:30:56,3.631609529340102e-05
2019-04-04 09:30:57,-3.631477648251772e-05
2019-04-04 09:30:58,-3.631477648251772e-05
2019-04-04 09:30:59,0.0002849712262062509
2019-04-04 09:31:00,-6.454319553368974e-05
2019-04-04 09:31:01,-0.00012101849162554789
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,0.00012911139085247815
2019-04-04 09:31:04,-0.0002661183016814168
2019-04-04 09:31:05,0.0
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,0.0
2019-04-04 09:31:08,0.0
2019-04-04 09:31:09,0.00026270670869979587
2019-04-04 09:31:10,0.0001677538405952065
2019-04-04 09:31:11,0.0
2019-04-04 09:31:12,0.0
2019-04-04 09:31:13,0.0
2019-04-04 09:31:14,-9.212726460335707e-05
2019-04-04 09:31:15,0.000273894465195935
2019-04-04 09:31:16,0.00031927244582044556
2019-04-04 09:31:17,-9.671741106839e-05
2019-04-04 09:31:18,-0.00022245219695720344
2019-04-04 09:31:19,-0.00022860559380295944
2019-04-04 09:31:20,-0.0001031752173127901
2019-04-04 09:31:21,-4.83699332495856e-05
2019-04-04 09:31:22,0.0
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,-0.00014509576320371995
2019-04-04 09:31:25,0.0
2019-04-04 09:31:26,0.0
2019-04-04 09:31:27,0.0
2019-04-04 09:31:28,0.0
2019-04-04 09:31:29,0.00010846241337667895
2019-04-04 09:31:30,0.0
2019-04-04 09:31:31,0.0
2019-04-04 09:31:32,0.0
2019-04-04 09:31:33,0.0
2019-04-04 09:31:34,0.0
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,0.0
2019-04-04 09:31:37,0.0
2019-04-04 09:31:38,0.0
2019-04-04 09:31:39,0.0
2019-04-04 09:31:40,0.0
2019-04-04 09:31:41,0.0
2019-04-04 09:31:42,-9.67071224796201e-05
2019-04-04 09:31:43,0.0
2019-04-04 09:31:44,0.0
2019-04-04 09:31:45,-4.8360576458027395e-05
2019-04-04 09:31:46,0.0
2019-04-04 09:31:47,0.0
2019-04-04 09:31:48,-5.803381436917463e-05
2019-04-04 09:31:49,-0.00010532673858988825
2019-04-04 09:31:50,0.00021041684302189044
2019-04-04 09:31:51,0.0
2019-04-04 09:31:52,0.0
2019-04-04 09:31:53,0.0
2019-04-04 09:31:54,0.0
2019-04-04 09:31:55,0.0
2019-04-04 09:31:56,0.0
2019-04-04 09:31:57,0.0
2019-04-04 09:31:58,0.0
2019-04-04 09:31:59,0.00014510979974848183
