h_m_s,MFC
2019-04-04 09:30:00,0.00033224168209222525
2019-04-04 09:30:01,-0.0009116201977149075
2019-04-04 09:30:02,-0.0001230355326618607
2019-04-04 09:30:03,0.0002948390617845013
2019-04-04 09:30:04,-0.00017233653879302255
2019-04-04 09:30:05,-0.00017233653879302255
2019-04-04 09:30:06,0.00010664391596464878
2019-04-04 09:30:07,0.00010664391596464878
2019-04-04 09:30:08,0.00012743600685075646
2019-04-04 09:30:09,-0.00010566056138271122
2019-04-04 09:30:10,-5.746375114735965e-05
2019-04-04 09:30:11,-0.00020574829070648952
2019-04-04 09:30:12,-0.00011999220050707373
2019-04-04 09:30:13,-1.2577192519226372e-05
2019-04-04 09:30:14,-2.2501237567981827e-05
2019-04-04 09:30:15,0.00029598447725850215
2019-04-04 09:30:16,0.0003053808098698687
2019-04-04 09:30:17,0.0003053808098698687
2019-04-04 09:30:18,-0.0002554353699391638
2019-04-04 09:30:19,-0.0002554353699391638
2019-04-04 09:30:20,-0.00020665620861001803
2019-04-04 09:30:21,-0.0001446702176628966
2019-04-04 09:30:22,8.455865081976403e-05
2019-04-04 09:30:23,-1.1658499240213488e-05
2019-04-04 09:30:24,-0.00013323847424358596
2019-04-04 09:30:25,-4.966516721282607e-05
2019-04-04 09:30:26,0.0001400243426933381
2019-04-04 09:30:27,-3.71003282816142e-05
2019-04-04 09:30:28,0.0001489257812499348
2019-04-04 09:30:29,0.0001489257812499348
2019-04-04 09:30:30,6.041696335710737e-05
2019-04-04 09:30:31,-0.00012904462011027919
2019-04-04 09:30:32,-0.00012904462011027919
2019-04-04 09:30:33,-0.00012904462011027919
2019-04-04 09:30:34,-0.00012904462011027919
2019-04-04 09:30:35,-0.00012904462011027919
2019-04-04 09:30:36,-0.00012904462011027919
2019-04-04 09:30:37,-0.00020727636625957318
2019-04-04 09:30:38,2.7865502508015083e-05
2019-04-04 09:30:39,0.0005216535922059406
2019-04-04 09:30:40,0.0005216535922059406
2019-04-04 09:30:41,0.00020200583256265416
2019-04-04 09:30:42,9.279192339098278e-05
2019-04-04 09:30:43,0.00042441508771243723
2019-04-04 09:30:44,0.00042441508771243723
2019-04-04 09:30:45,0.00042441508771243723
2019-04-04 09:30:46,-8.536064874088313e-05
2019-04-04 09:30:47,-8.536064874088313e-05
2019-04-04 09:30:48,-8.536064874088313e-05
2019-04-04 09:30:49,-8.536064874088313e-05
2019-04-04 09:30:50,-8.536064874088313e-05
2019-04-04 09:30:51,-8.536064874088313e-05
2019-04-04 09:30:52,-8.536064874088313e-05
2019-04-04 09:30:53,-0.0002061703072465622
2019-04-04 09:30:54,-2.1223470661728118e-05
2019-04-04 09:30:55,-1.8191624148272944e-05
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,0.0
2019-04-04 09:30:58,4.405510276699539e-05
2019-04-04 09:30:59,-3.5581363904505452e-06
2019-04-04 09:31:00,-2.5940591838210963e-05
2019-04-04 09:31:01,3.202322751435829e-05
2019-04-04 09:31:02,3.202322751435829e-05
2019-04-04 09:31:03,3.948535193829647e-05
2019-04-04 09:31:04,3.948535193829647e-05
2019-04-04 09:31:05,3.948535193829647e-05
2019-04-04 09:31:06,1.1936548978434528e-05
2019-04-04 09:31:07,2.311912399173277e-05
2019-04-04 09:31:08,0.000116150417085574
2019-04-04 09:31:09,0.000116150417085574
2019-04-04 09:31:10,0.000116150417085574
2019-04-04 09:31:11,1.7216237666702082e-06
2019-04-04 09:31:12,-1.0923387161886074e-05
2019-04-04 09:31:13,2.070999024027686e-05
2019-04-04 09:31:14,0.0
2019-04-04 09:31:15,0.0
2019-04-04 09:31:16,-3.870802132058997e-05
2019-04-04 09:31:17,-3.870802132058997e-05
2019-04-04 09:31:18,2.506902227513299e-05
2019-04-04 09:31:19,2.506902227513299e-05
2019-04-04 09:31:20,-7.119295664342467e-05
2019-04-04 09:31:21,-7.119295664342467e-05
2019-04-04 09:31:22,-7.119295664342467e-05
2019-04-04 09:31:23,-0.00011833568080544407
2019-04-04 09:31:24,-0.00011833568080544407
2019-04-04 09:31:25,-0.00011833568080544407
2019-04-04 09:31:26,-0.00011749731868802968
2019-04-04 09:31:27,-0.00011749731868802968
2019-04-04 09:31:28,-0.00011797537975865007
2019-04-04 09:31:29,-2.9773154452681636e-05
2019-04-04 09:31:30,-2.9773154452681636e-05
2019-04-04 09:31:31,-2.9773154452681636e-05
2019-04-04 09:31:32,-2.9773154452681636e-05
2019-04-04 09:31:33,-2.9773154452681636e-05
2019-04-04 09:31:34,-2.9773154452681636e-05
2019-04-04 09:31:35,1.1289576740245544e-05
2019-04-04 09:31:36,1.1289576740245544e-05
2019-04-04 09:31:37,1.1289576740245544e-05
2019-04-04 09:31:38,2.930525092303684e-05
2019-04-04 09:31:39,2.930525092303684e-05
2019-04-04 09:31:40,1.6591816166838575e-05
2019-04-04 09:31:41,-9.611961894342934e-05
2019-04-04 09:31:42,-8.003994124282427e-05
2019-04-04 09:31:43,-8.003994124282427e-05
2019-04-04 09:31:44,-8.003994124282427e-05
2019-04-04 09:31:45,3.956614311005547e-05
2019-04-04 09:31:46,3.956614311005547e-05
2019-04-04 09:31:47,3.956614311005547e-05
2019-04-04 09:31:48,3.956614311005547e-05
2019-04-04 09:31:49,3.956614311005547e-05
2019-04-04 09:31:50,2.7115335077692437e-05
2019-04-04 09:31:51,8.519450560981137e-05
2019-04-04 09:31:52,8.519450560981137e-05
2019-04-04 09:31:53,2.1567481414253848e-05
