h_m_s,ACB
2019-04-05 09:32:57,250.0
2019-04-05 09:32:58,-250.0
2019-04-05 09:32:59,-370.0
2019-04-05 09:33:00,40.0
2019-04-05 09:33:01,220.0
2019-04-05 09:33:02,190.0
2019-04-05 09:33:03,620.0
2019-04-05 09:33:04,340.0
2019-04-05 09:33:05,720.0
2019-04-05 09:33:06,820.0
2019-04-05 09:33:07,570.0
2019-04-05 09:33:08,480.0
2019-04-05 09:33:09,510.0
2019-04-05 09:33:10,480.0
2019-04-05 09:33:11,300.0
2019-04-05 09:33:12,250.0
2019-04-05 09:33:13,40.0
2019-04-05 09:33:14,170.0
2019-04-05 09:33:15,-200.0
2019-04-05 09:33:16,50.0
2019-04-05 09:33:17,270.0
2019-04-05 09:33:18,10.0
2019-04-05 09:33:19,-20.0
2019-04-05 09:33:20,160.0
2019-04-05 09:33:21,-360.0
2019-04-05 09:33:22,-40.0
2019-04-05 09:33:23,10.0
2019-04-05 09:33:24,10.0
2019-04-05 09:33:25,-100.0
2019-04-05 09:33:26,-210.0
2019-04-05 09:33:27,-610.0
2019-04-05 09:33:28,-10.0
2019-04-05 09:33:29,-10.0
2019-04-05 09:33:30,-160.0
2019-04-05 09:33:31,410.0
2019-04-05 09:33:32,-90.0
2019-04-05 09:33:33,150.0
2019-04-05 09:33:34,150.0
2019-04-05 09:33:35,150.0
2019-04-05 09:33:36,10.0
2019-04-05 09:33:37,0.0
2019-04-05 09:33:38,0.0
2019-04-05 09:33:39,670.0
2019-04-05 09:33:40,670.0
2019-04-05 09:33:41,820.0
2019-04-05 09:33:42,1000.0
2019-04-05 09:33:43,760.0
2019-04-05 09:33:44,760.0
2019-04-05 09:33:45,780.0
2019-04-05 09:33:46,850.0
2019-04-05 09:33:47,1390.0
2019-04-05 09:33:48,1410.0
2019-04-05 09:33:49,280.0
2019-04-05 09:33:50,280.0
2019-04-05 09:33:51,-20.0
2019-04-05 09:33:52,460.0
2019-04-05 09:33:53,410.0
2019-04-05 09:33:54,510.0
2019-04-05 09:33:55,-230.0
2019-04-05 09:33:56,-300.0
2019-04-05 09:33:57,-90.0
2019-04-05 09:33:58,-110.0
2019-04-05 09:33:59,390.0
2019-04-05 09:34:00,390.0
2019-04-05 09:34:01,500.0
2019-04-05 09:34:02,20.0
2019-04-05 09:34:03,70.0
2019-04-05 09:34:04,90.0
2019-04-05 09:34:05,810.0
2019-04-05 09:34:06,810.0
2019-04-05 09:34:07,170.0
2019-04-05 09:34:08,190.0
2019-04-05 09:34:09,150.0
2019-04-05 09:34:10,150.0
2019-04-05 09:34:11,320.0
2019-04-05 09:34:12,720.0
2019-04-05 09:34:13,1190.0
2019-04-05 09:34:14,1070.0
2019-04-05 09:34:15,1180.0
2019-04-05 09:34:16,1180.0
2019-04-05 09:34:17,4550.0
2019-04-05 09:34:18,4590.0
2019-04-05 09:34:19,4330.0
2019-04-05 09:34:20,4120.0
2019-04-05 09:34:21,3850.0
2019-04-05 09:34:22,3240.0
2019-04-05 09:34:23,3070.0
2019-04-05 09:34:24,3140.0
2019-04-05 09:34:25,2880.0
2019-04-05 09:34:26,2670.0
2019-04-05 09:34:27,-390.0
2019-04-05 09:34:28,-730.0
2019-04-05 09:34:29,-640.0
2019-04-05 09:34:30,-430.0
2019-04-05 09:34:31,-340.0
2019-04-05 09:34:32,-60.0
2019-04-05 09:34:33,-360.0
2019-04-05 09:34:34,-750.0
2019-04-05 09:34:35,-600.0
2019-04-05 09:34:36,-240.0
2019-04-05 09:34:37,-550.0
2019-04-05 09:34:38,-270.0
2019-04-05 09:34:39,650.0
2019-04-05 09:34:40,460.0
2019-04-05 09:34:41,670.0
2019-04-05 09:34:42,600.0
2019-04-05 09:34:43,600.0
2019-04-05 09:34:44,740.0
2019-04-05 09:34:45,740.0
2019-04-05 09:34:46,590.0
2019-04-05 09:34:47,540.0
2019-04-05 09:34:48,-130.0
2019-04-05 09:34:49,-880.0
2019-04-05 09:34:50,-690.0
2019-04-05 09:34:51,-890.0
2019-04-05 09:34:52,-1020.0
2019-04-05 09:34:53,-1020.0
2019-04-05 09:34:54,-840.0
2019-04-05 09:34:55,-840.0
2019-04-05 09:34:56,-840.0
2019-04-05 09:34:57,-650.0
2019-04-05 09:34:58,20.0
2019-04-05 09:34:59,20.0
2019-04-05 09:35:00,190.0
2019-04-05 09:35:01,-280.0
2019-04-05 09:35:02,300.0
2019-04-05 09:35:03,350.0
2019-04-05 09:35:04,420.0
2019-04-05 09:35:05,650.0
2019-04-05 09:35:06,510.0
2019-04-05 09:35:07,350.0
2019-04-05 09:35:08,350.0
2019-04-05 09:35:09,60.0
2019-04-05 09:35:10,-290.0
2019-04-05 09:35:11,-710.0
2019-04-05 09:35:12,-1260.0
2019-04-05 09:35:13,-1410.0
2019-04-05 09:35:14,-1480.0
2019-04-05 09:35:15,-1590.0
2019-04-05 09:35:16,-1350.0
2019-04-05 09:35:17,-1160.0
2019-04-05 09:35:18,-1320.0
2019-04-05 09:35:19,-970.0
2019-04-05 09:35:20,-790.0
2019-04-05 09:35:21,180.0
2019-04-05 09:35:22,280.0
2019-04-05 09:35:23,380.0
2019-04-05 09:35:24,-80.0
2019-04-05 09:35:25,60.0
2019-04-05 09:35:26,-40.0
2019-04-05 09:35:27,-210.0
2019-04-05 09:35:28,-50.0
2019-04-05 09:35:29,-110.0
2019-04-05 09:35:30,-160.0
2019-04-05 09:35:31,-400.0
2019-04-05 09:35:32,-400.0
2019-04-05 09:35:33,-430.0
2019-04-05 09:35:34,30.0
2019-04-05 09:35:35,-230.0
2019-04-05 09:35:36,-780.0
2019-04-05 09:35:37,-780.0
2019-04-05 09:35:38,-880.0
2019-04-05 09:35:39,-880.0
2019-04-05 09:35:40,-810.0
2019-04-05 09:35:41,-640.0
2019-04-05 09:35:42,-850.0
2019-04-05 09:35:43,-820.0
2019-04-05 09:35:44,-270.0
2019-04-05 09:35:45,-190.0
2019-04-05 09:35:46,460.0
2019-04-05 09:35:47,290.0
2019-04-05 09:35:48,140.0
2019-04-05 09:35:49,140.0
2019-04-05 09:35:50,120.0
2019-04-05 09:35:51,110.0
2019-04-05 09:35:52,270.0
2019-04-05 09:35:53,270.0
2019-04-05 09:35:54,-320.0
2019-04-05 09:35:55,80.0
2019-04-05 09:35:56,-140.0
2019-04-05 09:35:57,-740.0
2019-04-05 09:35:58,10.0
2019-04-05 09:35:59,10.0
2019-04-05 09:36:00,10.0
2019-04-05 09:36:01,0.0
2019-04-05 09:36:02,0.0
2019-04-05 09:36:03,-70.0
2019-04-05 09:36:04,-40.0
2019-04-05 09:36:05,-910.0
2019-04-05 09:36:06,-1010.0
2019-04-05 09:36:07,-240.0
2019-04-05 09:36:08,-740.0
2019-04-05 09:36:09,-740.0
2019-04-05 09:36:10,-2310.0
2019-04-05 09:36:11,-2310.0
2019-04-05 09:36:12,-2460.0
2019-04-05 09:36:13,-2390.0
2019-04-05 09:36:14,-2890.0
2019-04-05 09:36:15,-2320.0
2019-04-05 09:36:16,-2100.0
2019-04-05 09:36:17,-2100.0
2019-04-05 09:36:18,-3760.0
2019-04-05 09:36:19,-3760.0
2019-04-05 09:36:20,-1610.0
2019-04-05 09:36:21,-1510.0
2019-04-05 09:36:22,-1310.0
2019-04-05 09:36:23,-1260.0
2019-04-05 09:36:24,-370.0
2019-04-05 09:36:25,-550.0
2019-04-05 09:36:26,-550.0
2019-04-05 09:36:27,-550.0
2019-04-05 09:36:28,1190.0
2019-04-05 09:36:29,1190.0
2019-04-05 09:36:30,610.0
2019-04-05 09:36:31,-2910.0
2019-04-05 09:36:32,-3180.0
2019-04-05 09:36:33,-3230.0
2019-04-05 09:36:34,-3950.0
2019-04-05 09:36:35,-3860.0
2019-04-05 09:36:36,-3690.0
2019-04-05 09:36:37,-3600.0
2019-04-05 09:36:38,-3680.0
2019-04-05 09:36:39,-4180.0
2019-04-05 09:36:40,-3950.0
2019-04-05 09:36:41,-530.0
2019-04-05 09:36:42,-260.0
2019-04-05 09:36:43,-220.0
2019-04-05 09:36:44,120.0
2019-04-05 09:36:45,30.0
2019-04-05 09:36:46,-140.0
2019-04-05 09:36:47,-670.0
2019-04-05 09:36:48,-390.0
2019-04-05 09:36:49,110.0
2019-04-05 09:36:50,-7140.0
2019-04-05 09:36:51,-7160.0
2019-04-05 09:36:52,-7400.0
2019-04-05 09:36:53,-7380.0
2019-04-05 09:36:54,-6900.0
2019-04-05 09:36:55,-7000.0
2019-04-05 09:36:56,-6980.0
2019-04-05 09:36:57,-6300.0
2019-04-05 09:36:58,-6580.0
2019-04-05 09:36:59,-6870.0
2019-04-05 09:37:00,150.0
2019-04-05 09:37:01,1020.0
2019-04-05 09:37:02,1260.0
2019-04-05 09:37:03,1200.0
2019-04-05 09:37:04,720.0
2019-04-05 09:37:05,870.0
2019-04-05 09:37:06,940.0
2019-04-05 09:37:07,700.0
2019-04-05 09:37:08,700.0
2019-04-05 09:37:09,1620.0
2019-04-05 09:37:10,1720.0
2019-04-05 09:37:11,790.0
2019-04-05 09:37:12,980.0
2019-04-05 09:37:13,1060.0
2019-04-05 09:37:14,3340.0
2019-04-05 09:37:15,3140.0
2019-04-05 09:37:16,2870.0
2019-04-05 09:37:17,2870.0
2019-04-05 09:37:18,2860.0
2019-04-05 09:37:19,2220.0
2019-04-05 09:37:20,2120.0
2019-04-05 09:37:21,2200.0
2019-04-05 09:37:22,2010.0
2019-04-05 09:37:23,1930.0
2019-04-05 09:37:24,-370.0
2019-04-05 09:37:25,-220.0
2019-04-05 09:37:26,-40.0
2019-04-05 09:37:27,-40.0
2019-04-05 09:37:28,-30.0
2019-04-05 09:37:29,-20.0
2019-04-05 09:37:30,860.0
2019-04-05 09:37:31,860.0
2019-04-05 09:37:32,860.0
2019-04-05 09:37:33,1020.0
2019-04-05 09:37:34,1020.0
2019-04-05 09:37:35,1010.0
2019-04-05 09:37:36,1010.0
2019-04-05 09:37:37,1010.0
2019-04-05 09:37:38,980.0
2019-04-05 09:37:39,940.0
2019-04-05 09:37:40,60.0
2019-04-05 09:37:41,50.0
2019-04-05 09:37:42,50.0
2019-04-05 09:37:43,-110.0
2019-04-05 09:37:44,-90.0
2019-04-05 09:37:45,-80.0
2019-04-05 09:37:46,-80.0
2019-04-05 09:37:47,-80.0
2019-04-05 09:37:48,-50.0
2019-04-05 09:37:49,-70.0
2019-04-05 09:37:50,-70.0
2019-04-05 09:37:51,-110.0
2019-04-05 09:37:52,-150.0
2019-04-05 09:37:53,-150.0
2019-04-05 09:37:54,-530.0
2019-04-05 09:37:55,-490.0
2019-04-05 09:37:56,180.0
2019-04-05 09:37:57,600.0
2019-04-05 09:37:58,510.0
2019-04-05 09:37:59,570.0
2019-04-05 09:38:00,540.0
2019-04-05 09:38:01,-1440.0
2019-04-05 09:38:02,-1380.0
2019-04-05 09:38:03,-1340.0
2019-04-05 09:38:04,-850.0
2019-04-05 09:38:05,-750.0
2019-04-05 09:38:06,-1290.0
2019-04-05 09:38:07,-1720.0
2019-04-05 09:38:08,-1640.0
2019-04-05 09:38:09,-1640.0
2019-04-05 09:38:10,-1610.0
2019-04-05 09:38:11,420.0
2019-04-05 09:38:12,400.0
2019-04-05 09:38:13,360.0
2019-04-05 09:38:14,250.0
2019-04-05 09:38:15,280.0
2019-04-05 09:38:16,150.0
2019-04-05 09:38:17,160.0
2019-04-05 09:38:18,300.0
2019-04-05 09:38:19,300.0
2019-04-05 09:38:20,300.0
2019-04-05 09:38:21,300.0
2019-04-05 09:38:22,380.0
2019-04-05 09:38:23,380.0
2019-04-05 09:38:24,380.0
2019-04-05 09:38:25,-40.0
2019-04-05 09:38:26,-40.0
2019-04-05 09:38:27,140.0
2019-04-05 09:38:28,-30.0
2019-04-05 09:38:29,-90.0
2019-04-05 09:38:30,-90.0
2019-04-05 09:38:31,-90.0
2019-04-05 09:38:32,-170.0
2019-04-05 09:38:33,-150.0
2019-04-05 09:38:34,-4250.0
2019-04-05 09:38:35,-4000.0
2019-04-05 09:38:36,-4000.0
2019-04-05 09:38:37,-4180.0
2019-04-05 09:38:38,-4080.0
2019-04-05 09:38:39,-4020.0
2019-04-05 09:38:40,-4020.0
2019-04-05 09:38:41,-3800.0
2019-04-05 09:38:42,-3800.0
2019-04-05 09:38:43,-3780.0
2019-04-05 09:38:44,320.0
2019-04-05 09:38:45,320.0
2019-04-05 09:38:46,320.0
2019-04-05 09:38:47,320.0
2019-04-05 09:38:48,260.0
2019-04-05 09:38:49,260.0
2019-04-05 09:38:50,260.0
2019-04-05 09:38:51,800.0
2019-04-05 09:38:52,800.0
2019-04-05 09:38:53,1040.0
2019-04-05 09:38:54,1040.0
2019-04-05 09:38:55,1040.0
2019-04-05 09:38:56,1040.0
2019-04-05 09:38:57,1000.0
2019-04-05 09:38:58,1000.0
2019-04-05 09:38:59,1000.0
2019-04-05 09:39:00,1000.0
2019-04-05 09:39:01,240.0
2019-04-05 09:39:02,240.0
2019-04-05 09:39:03,-40.0
2019-04-05 09:39:04,-40.0
2019-04-05 09:39:05,-40.0
2019-04-05 09:39:06,-40.0
2019-04-05 09:39:07,100.0
2019-04-05 09:39:08,150.0
2019-04-05 09:39:09,190.0
2019-04-05 09:39:10,190.0
2019-04-05 09:39:11,450.0
2019-04-05 09:39:12,450.0
2019-04-05 09:39:13,450.0
2019-04-05 09:39:14,450.0
2019-04-05 09:39:15,450.0
2019-04-05 09:39:16,930.0
2019-04-05 09:39:17,830.0
2019-04-05 09:39:18,630.0
2019-04-05 09:39:19,590.0
2019-04-05 09:39:20,590.0
2019-04-05 09:39:21,200.0
2019-04-05 09:39:22,200.0
2019-04-05 09:39:23,200.0
2019-04-05 09:39:24,200.0
2019-04-05 09:39:25,200.0
2019-04-05 09:39:26,-280.0
2019-04-05 09:39:27,-230.0
2019-04-05 09:39:28,-80.0
2019-04-05 09:39:29,-80.0
2019-04-05 09:39:30,-440.0
2019-04-05 09:39:31,-170.0
2019-04-05 09:39:32,560.0
2019-04-05 09:39:33,520.0
2019-04-05 09:39:34,420.0
2019-04-05 09:39:35,340.0
2019-04-05 09:39:36,340.0
2019-04-05 09:39:37,290.0
2019-04-05 09:39:38,290.0
2019-04-05 09:39:39,290.0
2019-04-05 09:39:40,650.0
2019-04-05 09:39:41,510.0
2019-04-05 09:39:42,-220.0
2019-04-05 09:39:43,220.0
2019-04-05 09:39:44,320.0
2019-04-05 09:39:45,400.0
2019-04-05 09:39:46,400.0
2019-04-05 09:39:47,400.0
2019-04-05 09:39:48,400.0
2019-04-05 09:39:49,460.0
2019-04-05 09:39:50,460.0
2019-04-05 09:39:51,460.0
2019-04-05 09:39:52,610.0
2019-04-05 09:39:53,190.0
2019-04-05 09:39:54,900.0
2019-04-05 09:39:55,1010.0
2019-04-05 09:39:56,1010.0
2019-04-05 09:39:57,1010.0
2019-04-05 09:39:58,1010.0
2019-04-05 09:39:59,820.0
2019-04-05 09:40:00,1330.0
2019-04-05 09:40:01,930.0
2019-04-05 09:40:02,780.0
2019-04-05 09:40:03,800.0
2019-04-05 09:40:04,90.0
2019-04-05 09:40:05,-20.0
2019-04-05 09:40:06,-20.0
2019-04-05 09:40:07,-20.0
2019-04-05 09:40:08,-20.0
2019-04-05 09:40:09,110.0
2019-04-05 09:40:10,-50.0
2019-04-05 09:40:11,350.0
2019-04-05 09:40:12,480.0
2019-04-05 09:40:13,670.0
2019-04-05 09:40:14,770.0
2019-04-05 09:40:15,1110.0
2019-04-05 09:40:16,2160.0
2019-04-05 09:40:17,2170.0
2019-04-05 09:40:18,2170.0
2019-04-05 09:40:19,2170.0
2019-04-05 09:40:20,1850.0
2019-04-05 09:40:21,1850.0
2019-04-05 09:40:22,1700.0
2019-04-05 09:40:23,1510.0
2019-04-05 09:40:24,1410.0
2019-04-05 09:40:25,1070.0
2019-04-05 09:40:26,2030.0
2019-04-05 09:40:27,3190.0
2019-04-05 09:40:28,3190.0
2019-04-05 09:40:29,3190.0
2019-04-05 09:40:30,3160.0
2019-04-05 09:40:31,3300.0
2019-04-05 09:40:32,3320.0
2019-04-05 09:40:33,3440.0
2019-04-05 09:40:34,3440.0
2019-04-05 09:40:35,3440.0
2019-04-05 09:40:36,1430.0
2019-04-05 09:40:37,1860.0
2019-04-05 09:40:38,2060.0
