h_m_s,TECK.B
2019-04-04 09:30:00,-1200.0
2019-04-04 09:30:01,-580.0000000000001
2019-04-04 09:30:02,-373.63939281747514
2019-04-04 09:30:03,-270.6881243063264
2019-04-04 09:30:04,-209.1000223946731
2019-04-04 09:30:05,-168.19289685170548
2019-04-04 09:30:06,-139.10283960697066
2019-04-04 09:30:07,-117.39780012993782
2019-04-04 09:30:08,-100.61544414692015
2019-04-04 09:30:09,-87.27829734943572
2019-04-04 09:30:10,-76.44608363490431
2019-04-04 09:30:11,-67.49189439236966
2019-04-04 09:30:12,-59.9816644142688
2019-04-04 09:30:13,-53.605301111191196
2019-04-04 09:30:14,-48.13536214502487
2019-04-04 09:30:15,-43.40122903779402
2019-04-04 09:30:16,-39.272396050941026
2019-04-04 09:30:17,-35.64732949860607
2019-04-04 09:30:18,-32.44584522105577
2019-04-04 09:30:19,-29.603772853908648
2019-04-04 09:30:20,-27.069144620007844
2019-04-04 09:30:21,-24.79942356110458
2019-04-04 09:30:22,-22.759454851105897
2019-04-04 09:30:23,-20.91992928555539
2019-04-04 09:30:24,-19.256215531922205
2019-04-04 09:30:25,-17.74746185332577
2019-04-04 09:30:26,-24.104126000697114
2019-04-04 09:30:27,-22.264785360753034
2019-04-04 09:30:28,-20.585602273562994
2019-04-04 09:30:29,-19.04980540341117
2019-04-04 09:30:30,-25.028802521879356
2019-04-04 09:30:31,-23.197284127082327
2019-04-04 09:30:32,-21.514364299171383
2019-04-04 09:30:33,-19.965973865086916
2019-04-04 09:30:34,-18.539652928891297
2019-04-04 09:30:35,-52.69759428645239
2019-04-04 09:30:36,-48.982770597601885
2019-04-04 09:30:37,-45.55033286373372
2019-04-04 09:30:38,-42.37606451723895
2019-04-04 09:30:39,-39.43819307182382
2019-04-04 09:30:40,-36.717095107803864
2019-04-04 09:30:41,-27.32616671649736
2019-04-04 09:30:42,-25.456965573325963
2019-04-04 09:30:43,112.55458076182516
2019-04-04 09:30:44,220.33028806603355
2019-04-04 09:30:45,205.42184147775774
2019-04-04 09:30:46,191.56577946165248
2019-04-04 09:30:47,178.68215442794326
2019-04-04 09:30:48,186.81902262820142
2019-04-04 09:30:49,174.32087405997245
2019-04-04 09:30:50,169.36064847601492
2019-04-04 09:30:51,158.0824926532387
2019-04-04 09:30:52,147.57719120468738
2019-04-04 09:30:53,137.78898856261128
2019-04-04 09:30:54,128.66650848636937
2019-04-04 09:30:55,120.16236508375056
2019-04-04 09:30:56,198.02021103721174
2019-04-04 09:30:57,184.97203213633523
2019-04-04 09:30:58,172.80039987493154
2019-04-04 09:30:59,161.44430088826417
2019-04-04 09:31:00,216.48636133157808
2019-04-04 09:31:01,202.29232630424227
2019-04-04 09:31:02,189.04283372362815
2019-04-04 09:31:03,176.67327003629396
2019-04-04 09:31:04,165.12366388562833
2019-04-04 09:31:05,154.33832476156923
2019-04-04 09:31:06,144.2655131946862
2019-04-04 09:31:07,134.85713933598583
2019-04-04 09:31:08,126.06848712608631
2019-04-04 09:31:09,117.85796157301816
2019-04-04 09:31:10,110.18685693344909
2019-04-04 09:31:11,103.01914383320263
2019-04-04 09:31:12,96.32127357428824
2019-04-04 09:31:13,90.06199806132892
2019-04-04 09:31:14,84.21220394370444
2019-04-04 09:31:15,78.74475971386963
2019-04-04 09:31:16,73.63437462967843
2019-04-04 09:31:17,68.85746844130902
2019-04-04 09:31:18,57.9070355955079
2019-04-04 09:31:19,54.15300935367442
2019-04-04 09:31:20,50.64344728544386
2019-04-04 09:31:21,86.2358896383459
2019-04-04 09:31:22,80.65025022109926
2019-04-04 09:31:23,75.42773616609726
2019-04-04 09:31:24,70.54457334444585
2019-04-04 09:31:25,111.28617188242757
2019-04-04 09:31:26,104.08466271139775
2019-04-04 09:31:27,97.35049142320493
