h_m_s,BNS
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0001716443529007665
2019-04-04 09:30:02,-9.928134489330722e-05
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,-9.574508827708386e-05
2019-04-04 09:30:05,-8.1022832234142e-05
2019-04-04 09:30:06,-6.75244978868511e-06
2019-04-04 09:30:07,-5.6800402353543513e-05
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.0
2019-04-04 09:30:18,-0.00047269316386518075
2019-04-04 09:30:19,-1.4792242947942378e-05
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.00014052838673439189
2019-04-04 09:30:23,-9.367242752127334e-05
2019-04-04 09:30:24,4.2582364939345275e-06
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,1.916198262665135e-05
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,9.033332998765786e-05
2019-04-04 09:30:31,-6.690753378832928e-05
2019-04-04 09:30:32,0.0
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,-5.854800936782793e-05
2019-04-04 09:30:37,0.0
2019-04-04 09:30:38,3.513086246284121e-05
2019-04-04 09:30:39,0.0
2019-04-04 09:30:40,2.341975221900022e-05
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,6.691201070614612e-06
2019-04-04 09:30:43,7.527550836070248e-05
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,-0.00017562963223159
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,3.513209668329841e-05
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.00010539258738812422
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,3.512716032032775e-05
2019-04-04 09:30:54,-0.00017562963223159003
2019-04-04 09:30:55,-2.0075483819027668e-05
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,0.0
2019-04-04 09:30:58,0.00030113830278453687
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,0.0
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,-0.00012041905832296847
2019-04-04 09:31:04,2.676301351521191e-05
2019-04-04 09:31:05,0.0
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,0.0
2019-04-04 09:31:08,2.3417010116326738e-05
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,1.4049877063443116e-05
2019-04-04 09:31:11,0.0
2019-04-04 09:31:12,0.0
2019-04-04 09:31:13,-8.429807800382471e-05
2019-04-04 09:31:14,8.430518476886648e-05
2019-04-04 09:31:15,0.0
2019-04-04 09:31:16,0.0
2019-04-04 09:31:17,0.0
2019-04-04 09:31:18,2.4977208297392567e-05
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,0.0
2019-04-04 09:31:22,3.122073056519993e-05
2019-04-04 09:31:23,-7.564786997229527e-05
2019-04-04 09:31:24,0.0
2019-04-04 09:31:25,2.5475189481479937e-05
2019-04-04 09:31:26,6.947601957927453e-06
2019-04-04 09:31:27,2.315851229723234e-05
