h_m_s,CVE
2019-04-04 09:30:00,
2019-04-04 09:30:01,0.002268721218946791
2019-04-04 09:30:02,0.00019282684149632076
2019-04-04 09:30:03,-0.0004177109440267988
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,-0.0008036259603330569
2019-04-04 09:30:06,-0.00028000590991190803
2019-04-04 09:30:07,0.00019827102414731146
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.00041793838085803984
2019-04-04 09:30:10,-0.00018898334094021415
2019-04-04 09:30:11,1.0861301183850727e-05
2019-04-04 09:30:12,-0.00015205656504220597
2019-04-04 09:30:13,0.0004996904092030487
2019-04-04 09:30:14,-0.00011943150603124607
2019-04-04 09:30:15,-0.0007692307692309072
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.0
2019-04-04 09:30:18,0.0003894756379946038
2019-04-04 09:30:19,6.952214388915084e-05
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,3.1862100827635785e-05
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,-6.02777296393868e-05
2019-04-04 09:30:31,0.0
2019-04-04 09:30:32,4.52110224473279e-06
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,-0.00012032422977820667
2019-04-04 09:30:37,-2.5020443386220244e-05
2019-04-04 09:30:38,0.0
2019-04-04 09:30:39,0.0
2019-04-04 09:30:40,2.12337611493861e-05
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,2.0559236943817215e-05
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,1.991635132450416e-05
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,0.0
2019-04-04 09:30:55,-4.047435949322421e-05
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,0.0
2019-04-04 09:30:58,0.0
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,0.0
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,0.0
2019-04-04 09:31:04,0.0
2019-04-04 09:31:05,0.0
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,0.0
2019-04-04 09:31:08,0.0
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,0.0
2019-04-04 09:31:11,5.621666351848238e-06
2019-04-04 09:31:12,-3.1685577675580573e-06
2019-04-04 09:31:13,3.802281368817834e-05
2019-04-04 09:31:14,-0.0006463632561499627
2019-04-04 09:31:15,-0.00031760105337685495
2019-04-04 09:31:16,-5.2004784440123046e-05
2019-04-04 09:31:17,-3.987240829344591e-05
2019-04-04 09:31:18,0.0
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,-5.9810997248745976e-05
2019-04-04 09:31:22,0.0
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,1.5507482360191654e-05
2019-04-04 09:31:25,4.705645812460642e-05
2019-04-04 09:31:26,0.0
2019-04-04 09:31:27,0.0
2019-04-04 09:31:28,0.0
2019-04-04 09:31:29,0.0
2019-04-04 09:31:30,0.0
2019-04-04 09:31:31,0.0
2019-04-04 09:31:32,0.0
2019-04-04 09:31:33,0.0
2019-04-04 09:31:34,0.0
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,0.0
2019-04-04 09:31:37,0.0
2019-04-04 09:31:38,0.0
2019-04-04 09:31:39,-0.0006673147319351208
2019-04-04 09:31:40,-8.575110618936158e-05
2019-04-04 09:31:41,-8.950588857943471e-05
2019-04-04 09:31:42,-2.2929074639710887e-06
2019-04-04 09:31:43,0.0
2019-04-04 09:31:44,8.954753736336935e-06
2019-04-04 09:31:45,6.187332541512552e-05
2019-04-04 09:31:46,3.164753089916987e-05
2019-04-04 09:31:47,0.0
2019-04-04 09:31:48,0.0
2019-04-04 09:31:49,0.0
2019-04-04 09:31:50,0.0
2019-04-04 09:31:51,0.000789755533768038
2019-04-04 09:31:52,0.0
2019-04-04 09:31:53,-3.362181279762438e-05
2019-04-04 09:31:54,0.0
2019-04-04 09:31:55,-5.9810043301482005e-06
2019-04-04 09:31:56,0.00012170721139566194
2019-04-04 09:31:57,0.00011982020977516612
2019-04-04 09:31:58,-4.4157014985685684e-05
2019-04-04 09:31:59,0.0
2019-04-04 09:32:00,0.00010165761714540838
2019-04-04 09:32:01,0.0
2019-04-04 09:32:02,0.0
2019-04-04 09:32:03,0.0
2019-04-04 09:32:04,0.0
2019-04-04 09:32:05,-0.00014334873374004183
2019-04-04 09:32:06,-0.00011870020747283875
2019-04-04 09:32:07,0.0
2019-04-04 09:32:08,7.462697705512176e-06
2019-04-04 09:32:09,-7.4626420140707405e-06
2019-04-04 09:32:10,1.6887018807952835e-05
2019-04-04 09:32:11,0.0
2019-04-04 09:32:12,0.0
2019-04-04 09:32:13,-7.518617121269823e-05
2019-04-04 09:32:14,0.0
2019-04-04 09:32:15,0.0
2019-04-04 09:32:16,0.0
2019-04-04 09:32:17,0.0
2019-04-04 09:32:18,0.0
2019-04-04 09:32:19,0.0
2019-04-04 09:32:20,0.0
2019-04-04 09:32:21,-5.66284240510271e-05
2019-04-04 09:32:22,-2.5261264628834773e-06
2019-04-04 09:32:23,0.0
2019-04-04 09:32:24,9.447736837573475e-05
2019-04-04 09:32:25,0.0
2019-04-04 09:32:26,0.0
2019-04-04 09:32:27,3.4352161180393684e-05
2019-04-04 09:32:28,0.0
2019-04-04 09:32:29,0.0
2019-04-04 09:32:30,3.1618516740194106e-05
2019-04-04 09:32:31,-4.8206954994898366e-05
2019-04-04 09:32:32,-1.3774079719269228e-05
2019-04-04 09:32:33,9.370128031833213e-05
2019-04-04 09:32:34,1.6655015657861013e-05
2019-04-04 09:32:35,7.930827749044662e-06
2019-04-04 09:32:36,0.0008836030419695911
2019-04-04 09:32:37,0.00018934787208590002
2019-04-04 09:32:38,-8.254597489516696e-05
2019-04-04 09:32:39,0.0
2019-04-04 09:32:40,0.0
2019-04-04 09:32:41,-0.00011435996491007629
2019-04-04 09:32:42,7.2989052084600625e-06
2019-04-04 09:32:43,0.0
2019-04-04 09:32:44,0.0
2019-04-04 09:32:45,-2.2638811933455872e-05
2019-04-04 09:32:46,-6.143870544002132e-06
2019-04-04 09:32:47,0.0
2019-04-04 09:32:48,0.0
2019-04-04 09:32:49,0.0
2019-04-04 09:32:50,2.18549419676196e-05
2019-04-04 09:32:51,1.1898982399000675e-05
2019-04-04 09:32:52,0.0
2019-04-04 09:32:53,0.0
2019-04-04 09:32:54,0.0
2019-04-04 09:32:55,0.0
2019-04-04 09:32:56,0.0
2019-04-04 09:32:57,0.0
2019-04-04 09:32:58,-5.145862326386315e-06
2019-04-04 09:32:59,0.0
2019-04-04 09:33:00,0.0
2019-04-04 09:33:01,2.1995321702330856e-05
2019-04-04 09:33:02,0.0
2019-04-04 09:33:03,0.0
2019-04-04 09:33:04,0.0
2019-04-04 09:33:05,0.0
2019-04-04 09:33:06,0.0
2019-04-04 09:33:07,0.0
2019-04-04 09:33:08,0.0
2019-04-04 09:33:09,-5.292507874235131e-06
2019-04-04 09:33:10,0.0
2019-04-04 09:33:11,-1.0992189914979143e-05
2019-04-04 09:33:12,5.565726959337381e-06
2019-04-04 09:33:13,0.0
2019-04-04 09:33:14,-1.9390799754403536e-05
2019-04-04 09:33:15,0.0
2019-04-04 09:33:16,-4.559234778057306e-06
2019-04-04 09:33:17,-0.0009880732436719514
2019-04-04 09:33:18,-3.290909397558296e-05
2019-04-04 09:33:19,0.0
2019-04-04 09:33:20,1.1948925810154964e-05
2019-04-04 09:33:21,-8.952370453973968e-05
2019-04-04 09:33:22,0.0
2019-04-04 09:33:23,0.0
2019-04-04 09:33:24,0.0
2019-04-04 09:33:25,0.0
2019-04-04 09:33:26,0.00037040887892700173
2019-04-04 09:33:27,3.4648564284209275e-05
2019-04-04 09:33:28,0.0
2019-04-04 09:33:29,0.0
2019-04-04 09:33:30,-0.00025511731654003845
2019-04-04 09:33:31,3.991552760433584e-05
2019-04-04 09:33:32,1.2641622639794491e-05
2019-04-04 09:33:33,0.0
2019-04-04 09:33:34,1.5947691571728234e-05
2019-04-04 09:33:35,0.0
2019-04-04 09:33:36,0.0
2019-04-04 09:33:37,0.0
2019-04-04 09:33:38,0.00016744809109166874
2019-04-04 09:33:39,0.0
2019-04-04 09:33:40,-3.2196164792202923e-06
2019-04-04 09:33:41,-0.00014028374111447496
2019-04-04 09:33:42,0.0
2019-04-04 09:33:43,0.0
2019-04-04 09:33:44,0.0
2019-04-04 09:33:45,0.0
2019-04-04 09:33:46,0.0
2019-04-04 09:33:47,-6.207240064250731e-05
2019-04-04 09:33:48,0.00011167078625026764
2019-04-04 09:33:49,-5.118362124116816e-05
2019-04-04 09:33:50,4.41930757249099e-05
2019-04-04 09:33:51,0.0008612493624291219
2019-04-04 09:33:52,-1.992602089788081e-05
2019-04-04 09:33:53,-6.297371382139568e-05
2019-04-04 09:33:54,-1.7685702082321862e-06
2019-04-04 09:33:55,-0.00012936204873838125
2019-04-04 09:33:56,0.0
2019-04-04 09:33:57,-1.9547743408663707e-06
2019-04-04 09:33:58,0.0
2019-04-04 09:33:59,1.2303603725520018e-05
2019-04-04 09:34:00,0.00023392133452897397
2019-04-04 09:34:01,-6.493873171837329e-05
2019-04-04 09:34:02,0.0
2019-04-04 09:34:03,0.0
2019-04-04 09:34:04,2.788311398620405e-05
2019-04-04 09:34:05,0.0
2019-04-04 09:34:06,0.0
2019-04-04 09:34:07,0.0
2019-04-04 09:34:08,0.0
2019-04-04 09:34:09,4.903445391481759e-05
2019-04-04 09:34:10,-9.47121467894017e-06
2019-04-04 09:34:11,0.0
2019-04-04 09:34:12,0.0
2019-04-04 09:34:13,0.0
2019-04-04 09:34:14,3.4242055427466404e-05
2019-04-04 09:34:15,-2.6679140030762444e-05
2019-04-04 09:34:16,0.0007893078241610407
2019-04-04 09:34:17,7.082805074077369e-06
2019-04-04 09:34:18,0.0
2019-04-04 09:34:19,-6.158917311597291e-05
2019-04-04 09:34:20,6.748829337665465e-06
2019-04-04 09:34:21,-6.531967660445183e-05
2019-04-04 09:34:22,-9.833711931263439e-06
2019-04-04 09:34:23,-0.00021486198316934666
2019-04-04 09:34:24,4.277952376620046e-05
2019-04-04 09:34:25,4.88406739743424e-05
2019-04-04 09:34:26,0.0
2019-04-04 09:34:27,6.560007170770989e-05
2019-04-04 09:34:28,7.299529130033893e-06
2019-04-04 09:34:29,0.0
2019-04-04 09:34:30,0.0
2019-04-04 09:34:31,1.407756056268724e-05
2019-04-04 09:34:32,0.0
2019-04-04 09:34:33,0.0
2019-04-04 09:34:34,0.0
2019-04-04 09:34:35,0.0
2019-04-04 09:34:36,0.0
2019-04-04 09:34:37,0.0
2019-04-04 09:34:38,-6.953877805990414e-06
2019-04-04 09:34:39,0.0
2019-04-04 09:34:40,1.2748358744422624e-05
2019-04-04 09:34:41,0.00011441591100670586
2019-04-04 09:34:42,0.0
2019-04-04 09:34:43,0.0
2019-04-04 09:34:44,0.0
2019-04-04 09:34:45,0.0
2019-04-04 09:34:46,0.0
2019-04-04 09:34:47,-0.00011770900661961184
2019-04-04 09:34:48,0.0
2019-04-04 09:34:49,0.0
2019-04-04 09:34:50,0.0
2019-04-04 09:34:51,0.0
2019-04-04 09:34:52,-0.000812914685753057
2019-04-04 09:34:53,0.0
2019-04-04 09:34:54,-0.0001051703161563851
