h_m_s,ABX
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,-0.009183441558438893
2019-04-04 09:30:10,-0.009612012987010553
2019-04-04 09:30:11,0.0011038961038964852
2019-04-04 09:30:12,0.0009090909090910537
2019-04-04 09:30:13,0.0024999999999999085
2019-04-04 09:30:14,0.012833333333331302
2019-04-04 09:30:15,-0.015528911564625568
2019-04-04 09:30:16,-0.012771768707486447
2019-04-04 09:30:17,-0.001985883540020557
2019-04-04 09:30:18,-0.001985883540020203
2019-04-04 09:30:19,-0.001985883540019849
2019-04-04 09:30:20,-0.0019858835400194917
2019-04-04 09:30:21,-0.0015767926309283899
2019-04-04 09:30:22,-0.0011677017218372845
2019-04-04 09:30:23,-0.0007586108127461827
2019-04-04 09:30:24,0.0009080558539203906
2019-04-04 09:30:25,0.001270300751879637
2019-04-04 09:30:26,0.0005131578947369202
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,6.896551724475813e-05
2019-04-04 09:30:29,-0.009631034482760582
2019-04-04 09:30:30,0.0009999178981933178
2019-04-04 09:30:31,0.0009999178981933178
2019-04-04 09:30:32,0.0009999178981933178
2019-04-04 09:30:33,0.0009999178981933178
2019-04-04 09:30:34,0.0009999178981933178
2019-04-04 09:30:35,0.0009999178981933178
2019-04-04 09:30:36,0.0009999178981933178
2019-04-04 09:30:37,0.0009999178981933178
2019-04-04 09:30:38,0.0009309523809521089
2019-04-04 09:30:39,0.0006309523809523328
2019-04-04 09:30:40,-3.469446951953614e-18
2019-04-04 09:30:41,0.009000000000001403
2019-04-04 09:30:42,0.00800000000000125
2019-04-04 09:30:43,0.007000000000001096
2019-04-04 09:30:44,0.006000000000000939
2019-04-04 09:30:45,0.005000000000000782
2019-04-04 09:30:46,0.004000000000000625
2019-04-04 09:30:47,0.0030000000000004676
2019-04-04 09:30:48,0.002000000000000314
2019-04-04 09:30:49,0.001000000000000157
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,-0.019258620689658185
2019-04-04 09:30:55,-0.017676802507836275
2019-04-04 09:30:56,-0.006334697244680214
2019-04-04 09:30:57,-0.00533469724468006
2019-04-04 09:30:58,-0.00401469724467992
2019-04-04 09:30:59,-0.0026946972446797827
2019-04-04 09:31:00,-0.0015518401018224624
2019-04-04 09:31:01,-0.0004089829589651421
2019-04-04 09:31:02,0.0007338741838921782
2019-04-04 09:31:03,0.0018767313267494985
2019-04-04 09:31:04,-0.007917279562540645
2019-04-04 09:31:05,-0.007499097744359046
2019-04-04 09:31:06,-0.007291203007517049
2019-04-04 09:31:07,0.003108796992480879
2019-04-04 09:31:08,-0.006308763983130274
2019-04-04 09:31:09,-0.005628763983130097
2019-04-04 09:31:10,-0.004771621125987105
2019-04-04 09:31:11,-0.004039478268840834
2019-04-04 09:31:12,-0.0031823354116981978
2019-04-04 09:31:13,-0.0023251925545555614
2019-04-04 09:31:14,-0.0014392276422750504
2019-04-04 09:31:15,-0.0014392276422750504
2019-04-04 09:31:16,0.008010772357723071
2019-04-04 09:31:17,0.007610772357723153
2019-04-04 09:31:18,-0.003236111111113233
2019-04-04 09:31:19,0.005763888888888175
2019-04-04 09:31:20,-0.004236111111113388
2019-04-04 09:31:21,-0.004111111111113114
2019-04-04 09:31:22,-0.0041111111111127585
2019-04-04 09:31:23,-0.004111111111112403
2019-04-04 09:31:24,-0.003944444444445413
2019-04-04 09:31:25,-0.003944444444445059
2019-04-04 09:31:26,-0.002944444444444902
2019-04-04 09:31:27,-0.001944444444444745
2019-04-04 09:31:28,-0.0010000000000001535
2019-04-04 09:31:29,3.469446951953614e-18
2019-04-04 09:31:30,-0.0006399999999966727
2019-04-04 09:31:31,-0.0006399999999970284
2019-04-04 09:31:32,-0.0006399999999973822
2019-04-04 09:31:33,0.009118620689655493
2019-04-04 09:31:34,0.008118620689655336
2019-04-04 09:31:35,0.007118620689655181
2019-04-04 09:31:36,0.006118620689655024
2019-04-04 09:31:37,-0.003881379310346539
2019-04-04 09:31:38,-0.003881379310346539
2019-04-04 09:31:39,-0.003881379310346539
2019-04-04 09:31:40,-0.0032413793103463102
2019-04-04 09:31:41,-0.0032413793103459546
2019-04-04 09:31:42,-0.003241379310345599
2019-04-04 09:31:43,-0.003000000000000464
2019-04-04 09:31:44,-0.002000000000000307
2019-04-04 09:31:45,-0.00100000000000015
2019-04-04 09:31:46,5.204170427930421e-18
2019-04-04 09:31:47,5.204170427930421e-18
2019-04-04 09:31:48,5.204170427930421e-18
2019-04-04 09:31:49,5.204170427930421e-18
2019-04-04 09:31:50,-0.00020833333333005952
2019-04-04 09:31:51,0.00942803030303145
2019-04-04 09:31:52,0.008803030303031352
2019-04-04 09:31:53,-0.001419191919189192
2019-04-04 09:31:54,-0.0017479590424770708
2019-04-04 09:31:55,0.00758537429085405
2019-04-04 09:31:56,0.006585374290853893
2019-04-04 09:31:57,0.0055853742908537375
2019-04-04 09:31:58,0.004926283381762726
2019-04-04 09:31:59,0.003926283381762569
2019-04-04 09:32:00,-0.0060781492423489444
2019-04-04 09:32:01,0.003356915692713968
2019-04-04 09:32:02,0.0029819156927139087
2019-04-04 09:32:03,0.0022041379149362883
2019-04-04 09:32:04,-0.007467094961774199
2019-04-04 09:32:05,-0.006800428295107665
2019-04-04 09:32:06,0.0035855366171710715
2019-04-04 09:32:07,0.003927000031805274
2019-04-04 09:32:08,0.0035860909408961285
2019-04-04 09:32:09,0.0035860909408961285
2019-04-04 09:32:10,0.0027988568983430932
2019-04-04 09:32:11,0.002727428326914534
2019-04-04 09:32:12,0.002727428326914534
2019-04-04 09:32:13,0.002727428326914534
2019-04-04 09:32:14,0.0017274283269147345
2019-04-04 09:32:15,0.0007274283269149348
2019-04-04 09:32:16,0.0005251368840219171
2019-04-04 09:32:17,0.00018367346938771845
2019-04-04 09:32:18,9.276437847864638e-05
2019-04-04 09:32:19,0.0006154916512058628
2019-04-04 09:32:20,0.0011382189239330792
2019-04-04 09:32:21,-0.008147495361779396
2019-04-04 09:32:22,0.002052504638218579
2019-04-04 09:32:23,0.002052504638218579
2019-04-04 09:32:24,0.0015697460175322885
2019-04-04 09:32:25,0.011297018744802823
2019-04-04 09:32:26,0.010113345275414957
2019-04-04 09:32:27,0.0091133452754148
2019-04-04 09:32:28,0.008204254366323716
2019-04-04 09:32:29,0.006681527093596342
