,Stock,Score,Sharpe
0,ABX,-2.7745728258032898e-05,0.01751333748311484
1,ACB,0.0014518113051501524,0.029397040200592313
2,AEM,-2.52697423279713e-05,0.029569828637504156
3,BAM.A,-0.0001237277671779502,-0.007099673765298947
4,BNS,-0.0007030202457045664,-0.009283727481013455
5,CNQ,-2.182882539680797e-05,-0.002282054836601058
6,CNR,-0.00012109553087258362,0.012685570875328152
7,CRON,-9.762533290968989e-05,-0.004938252896685492
8,CVE,-0.0001084529795156719,0.008347575667125488
9,ECA,0.001213306010403481,0.03685566043375769
10,ENB,-0.0014473757556952016,-0.021742020945015535
11,FOOD,-0.01766124622831433,-0.005857664436559999
12,G,-3.826784573224273e-06,0.019370791291501724
13,HQU,-0.0008721047972011231,-0.012188942969078426
14,HSD,-2.3121446120821787e-05,0.011799433348567515
15,LUG,-0.00012181270711142389,0.012421952493222253
16,MFC,0.0019827055174659325,0.04404698206038238
17,PTG,-0.0028827462222549283,-0.023061699614914537
18,PVG,-0.001656450315161262,0.009109077612216203
19,RY,-0.0002190145097573648,-0.0021994628563133944
20,SHOP,-0.00038116665616194645,0.010493007816179687
21,SMU.UN,-0.00015094026051820641,-0.002838694136383215
22,SU,-0.0002901529432848271,-0.013410097056277274
23,TD,-0.0005794112227477388,-0.004810327176297697
24,TECK.B,-0.0002050990057791413,0.03459947591206329
25,WPM,-0.0004678840063441214,0.029565326657841187
26,XIU,-8.555733019499634e-05,0.008412606547378345
27,XSP,-7.970041198501754e-05,-0.00730349791763478
