,Stock,Score_train,Sharpe_train,Score_test,Sharpe_test
0,ABX,0.0015965739764309816,0.04134098649196949,-0.005826005628559283,-0.005728693622086775
1,ACB,0.004510732914035365,0.04708392712862495,0.00017093933941436656,0.029086914915078494
2,AEM,0.00018982579706305902,0.03530652659011554,0.0010570618122079933,0.05700644533661239
3,BAM.A,0.00041830888465388405,0.024775692114133375,0.0007388538485788576,0.024107073830356852
4,BNS,0.0005955347788060283,0.02744522515836468,-0.00186016737467809,-0.0037826384243253275
5,CNQ,0.0030642221120456004,0.044442420710251125,0.002175736598514444,0.04291092767701381
6,CNR,0.0014958870239831779,0.036024896756451784,0.0011435726619389852,0.042054497289287326
7,CRON,0.0036994782240443724,0.05547724327648321,-0.0022005218104568236,0.006017018758434394
8,CVE,0.0028429367694339236,0.04089302701539334,-0.01214863579208858,0.05022772750609258
9,ECA,0.002582394517403608,0.05817205153093884,-0.0002733245324624267,0.05794792824725148
10,ENB,0.0007888499477021194,0.022007876334717735,-0.0023250636074818587,0.005697857173905803
11,FOOD,0.01030965935750272,0.030602787034306557,-0.06639014953789113,-0.028842900230238888
12,G,0.0007668619175738023,0.03575632625570635,-0.0020412215641392173,0.01617368733159603
13,HQU,0.0023759678652884864,0.05200126641469864,-0.00947595600262785,0.01272968997863289
14,HSD,0.0008769447027118238,0.029615583637415156,-0.004016967201417421,0.0014425578218026935
15,LUG,0.0011541952167332115,0.02844362080814391,0.0007217448260654624,0.04002825830419263
16,MFC,0.00515317509524571,0.07718597206617238,0.0004416689829718212,0.07043967710923348
17,PTG,0.0007674072247986219,0.02915485663746158,-0.023248484018934423,-0.03315647984158416
18,PVG,0.0023010600057914443,0.05803126052334475,-0.015976611498023097,-0.009754349216685651
19,RY,0.0,0.013986397921816055,-0.0006746377538486836,-0.0037646337127001466
20,SHOP,0.004157407706338212,0.07002746489937933,0.002289079070156075,0.05795289466569565
21,SMU.UN,0.00042846584261824194,0.021802029762280312,8.487482011698688e-05,0.009848030270023017
22,SU,0.0008466909314387427,0.03236967032400494,0.0011633160803938836,0.03338868270954879
23,TD,0.00436574914759047,0.0540137069025892,-0.0002507088109950928,0.037476494710545226
24,TECK.B,0.0014132589903332882,0.04430662127259808,-0.0023278852323749266,0.038627878243972465
25,WPM,0.006707129336418927,0.058238568566836645,-0.00615051602128025,0.00608967918787231
26,XIU,0.002188922559972162,0.035192835649782914,-0.0020963818823163116,-0.008390045859389697
27,XSP,1.3785905534025034e-05,0.004877615091538976,-0.00011619304906074213,0.0067431186905509725
