h_m_s,TECK.B
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,0.15985086172896962
2019-04-04 09:30:30,0.16127975061785854
2019-04-04 09:30:31,0.15623530617341405
2019-04-04 09:30:32,0.15145752839563625
2019-04-04 09:30:33,0.14645752839563617
2019-04-04 09:30:34,0.1414575283956361
2019-04-04 09:30:35,0.1366500571312682
2019-04-04 09:30:36,0.13291672379793484
2019-04-04 09:30:37,0.1286667237979348
2019-04-04 09:30:38,0.1250000571312682
2019-04-04 09:30:39,0.12113339046460155
2019-04-04 09:30:40,0.11658942911194463
2019-04-04 09:30:41,0.11289377693803157
2019-04-04 09:30:42,0.10919812476411851
2019-04-04 09:30:43,0.10575031331630703
2019-04-04 09:30:44,0.1026963591404016
2019-04-04 09:30:45,0.09976706621110862
2019-04-04 09:30:46,0.0966155510595934
2019-04-04 09:30:47,0.09346403590807816
2019-04-04 09:30:48,0.09013070257474472
2019-04-04 09:30:49,0.08733903590807797
2019-04-04 09:30:50,0.08467236924141125
2019-04-04 09:30:51,0.08200570257474452
2019-04-04 09:30:52,0.0793390359080778
2019-04-04 09:30:53,0.07682977664881843
2019-04-04 09:30:54,0.07449644331548497
2019-04-04 09:30:55,0.07255526684489665
2019-04-04 09:30:56,0.07129439727967925
2019-04-04 09:30:57,0.07070019438112844
2019-04-04 09:30:58,0.07044622612716021
2019-04-04 09:30:59,0.06930336898430314
2019-04-04 09:31:00,0.06780997559090975
2019-04-04 09:31:01,0.06625442003535417
2019-04-04 09:31:02,0.06469886447979861
2019-04-04 09:31:03,0.06336553114646531
2019-04-04 09:31:04,0.062032197813132
2019-04-04 09:31:05,0.06075633574416649
2019-04-04 09:31:06,0.058406335744166475
2019-04-04 09:31:07,0.056573002410833094
2019-04-04 09:31:08,0.0549063357441664
2019-04-04 09:31:09,0.05375078018861079
2019-04-04 09:31:10,0.05327251931904549
2019-04-04 09:31:11,0.05230150482629185
2019-04-04 09:31:12,0.051330490333538224
2019-04-04 09:31:13,0.05096011996316783
2019-04-04 09:31:14,0.050195892320891375
2019-04-04 09:31:15,0.049307003432002464
2019-04-04 09:31:16,0.048640336765335815
2019-04-04 09:31:17,0.04778319390819295
2019-04-04 09:31:18,0.04680541613041518
2019-04-04 09:31:19,0.04526374946374851
2019-04-04 09:31:20,0.04359708279708182
2019-04-04 09:31:21,0.042556678756677783
2019-04-04 09:31:22,0.04151627471627375
2019-04-04 09:31:23,0.0408496080496071
2019-04-04 09:31:24,0.04018294138294044
2019-04-04 09:31:25,0.039479237679236764
2019-04-04 09:31:26,0.03881257101257007
2019-04-04 09:31:27,0.03747923767923676
2019-04-04 09:31:28,0.036066539266538286
2019-04-04 09:31:29,0.03554272974272868
2019-04-04 09:31:30,0.03538056758056642
2019-04-04 09:31:31,0.035047234247233036
2019-04-04 09:31:32,0.034804810004808805
2019-04-04 09:31:33,0.034471476671475536
2019-04-04 09:31:34,0.03413814333814227
2019-04-04 09:31:35,0.03432332852332751
2019-04-04 09:31:36,0.03474925444925346
2019-04-04 09:31:37,0.03517518037517941
2019-04-04 09:31:38,0.035508513708512796
2019-04-04 09:31:39,0.03584184704184618
2019-04-04 09:31:40,0.035908513708512876
2019-04-04 09:31:41,0.03557518037517961
2019-04-04 09:31:42,0.03524184704184634
2019-04-04 09:31:43,0.03490851370851308
2019-04-04 09:31:44,0.03457518037517981
2019-04-04 09:31:45,0.03424184704184654
2019-04-04 09:31:46,0.03390851370851327
2019-04-04 09:31:47,0.033765656565656214
2019-04-04 09:31:48,0.0340767676767674
2019-04-04 09:31:49,0.034743434343434174
2019-04-04 09:31:50,0.03541010101010094
2019-04-04 09:31:51,0.03545050505050506
2019-04-04 09:31:52,0.03578502673796792
2019-04-04 09:31:53,0.03578502673796792
2019-04-04 09:31:54,0.03578502673796792
2019-04-04 09:31:55,0.03624798970093084
2019-04-04 09:31:56,0.03591465636759746
2019-04-04 09:31:57,0.035581323034264076
2019-04-04 09:31:58,0.035581323034264076
2019-04-04 09:31:59,0.035581323034264076
2019-04-04 09:32:00,0.035581323034264076
2019-04-04 09:32:01,0.035615805792884835
2019-04-04 09:32:02,0.03570489670197575
2019-04-04 09:32:03,0.035800134797213785
2019-04-04 09:32:04,0.036133468130547054
2019-04-04 09:32:05,0.03622364526420244
2019-04-04 09:32:06,0.036079770620327814
2019-04-04 09:32:07,0.03551176819166966
2019-04-04 09:32:08,0.03517843485833627
2019-04-04 09:32:09,0.034845101525002885
2019-04-04 09:32:10,0.03477843485833619
2019-04-04 09:32:11,0.03554033962024092
2019-04-04 09:32:12,0.036362561842463094
2019-04-04 09:32:13,0.037070895175796405
2019-04-04 09:32:14,0.0377931173980186
2019-04-04 09:32:15,0.038570895175796344
2019-04-04 09:32:16,0.03923756184246299
2019-04-04 09:32:17,0.03990422850912965
2019-04-04 09:32:18,0.0405708951757963
2019-04-04 09:32:19,0.04102327612817721
2019-04-04 09:32:20,0.041475657080558115
2019-04-04 09:32:21,0.04192803803293902
2019-04-04 09:32:22,0.0425069362588961
2019-04-04 09:32:23,0.0432819362588961
2019-04-04 09:32:24,0.0440319362588961
2019-04-04 09:32:25,0.0443560103329702
2019-04-04 09:32:26,0.04543934366630358
2019-04-04 09:32:27,0.04652267699963697
2019-04-04 09:32:28,0.04736883084579086
2019-04-04 09:32:29,0.04791428539124543
2019-04-04 09:32:30,0.04843809491505498
2019-04-04 09:32:31,0.048927421680243756
2019-04-04 09:32:32,0.04927123120405323
2019-04-04 09:32:33,0.04950932644214846
2019-04-04 09:32:34,0.04950932644214846
2019-04-04 09:32:35,0.04923396412330783
2019-04-04 09:32:36,0.048951912841256516
2019-04-04 09:32:37,0.04909398934398872
2019-04-04 09:32:38,0.04909398934398872
2019-04-04 09:32:39,0.04902039627039569
2019-04-04 09:32:40,0.04920372960372907
2019-04-04 09:32:41,0.04919182484182431
