h_m_s,FOOD
2019-04-04 09:30:00,500.0
2019-04-04 09:30:01,995.0
2019-04-04 09:30:02,595.0166112956811
2019-04-04 09:30:03,398.98514851485146
2019-04-04 09:30:04,284.4473637771808
2019-04-04 09:30:05,210.56655807502494
2019-04-04 09:30:06,159.82847624100918
2019-04-04 09:30:07,123.46672763918215
2019-04-04 09:30:08,96.60468833253891
2019-04-04 09:30:09,76.31227798127553
2019-04-04 09:30:10,60.722633641355465
2019-04-04 09:30:11,48.59036257456542
2019-04-04 09:30:12,39.05356850512381
2019-04-04 09:30:13,31.497743613262347
2019-04-04 09:30:14,25.473977538856303
2019-04-04 09:30:15,20.64771604103185
2019-04-04 09:30:16,16.765492206654827
2019-04-04 09:30:17,13.63264711310408
2019-04-04 09:30:18,11.09799997012049
2019-04-04 09:30:19,9.043045488556755
2019-04-04 09:30:20,7.374179801217338
2019-04-04 09:30:21,6.017001352039572
2019-04-04 09:30:22,4.912064478588217
2019-04-04 09:30:23,4.011670150466105
2019-04-04 09:30:24,3.2774104380486184
2019-04-04 09:30:25,2.67826956863707
2019-04-04 09:30:26,2.1891419262425678
2019-04-04 09:30:27,1.7896663977006997
2019-04-04 09:30:28,1.4633034582040363
2019-04-04 09:30:29,1.1966003618962227
2019-04-04 09:30:30,0.9786033533501368
2019-04-04 09:30:31,0.8003856396494463
2019-04-04 09:30:32,0.6546670862691327
2019-04-04 09:30:33,0.5355069815823738
2019-04-04 09:30:34,0.438055273125536
2019-04-04 09:30:35,0.3583507731551985
2019-04-04 09:30:36,0.29315721411528084
2019-04-04 09:30:37,0.23982988630095525
2019-04-04 09:30:38,0.19620704008780132
2019-04-04 09:30:39,0.16052137848486617
2019-04-04 09:30:40,0.13132787268714385
2019-04-04 09:30:41,0.10744485631525888
2019-04-04 09:30:42,0.08790593292734546
2019-04-04 09:30:43,0.07192069659459645
2019-04-04 09:30:44,0.05884264032797621
2019-04-04 09:30:45,-363.62384955354736
2019-04-04 09:30:46,-297.50512247969056
2019-04-04 09:30:47,-243.4097342886533
2019-04-04 09:30:48,-199.1510440928666
2019-04-04 09:30:49,-162.9401735937832
2019-04-04 09:30:50,-133.31362328859345
2019-04-04 09:30:51,-109.07407030451465
2019-04-04 09:30:52,-89.24194427730409
2019-04-04 09:30:53,-73.01581699564171
2019-04-04 09:30:54,-59.740000206969896
2019-04-04 09:30:55,-48.87803893404654
2019-04-04 09:30:56,-39.99102700165992
2019-04-04 09:30:57,-32.71986707794005
2019-04-04 09:30:58,-26.77075742322666
2019-04-04 09:30:59,-21.903318255658846
2019-04-04 09:31:00,-17.920877524217367
2019-04-04 09:31:01,-14.662523282951554
2019-04-04 09:31:02,-11.996601341178005
2019-04-04 09:31:03,-9.815395328528021
2019-04-04 09:31:04,-8.030774134314207
2019-04-04 09:31:05,-6.57063079748175
2019-04-04 09:31:06,-5.3759689219387345
2019-04-04 09:31:07,-4.398518868576559
2019-04-04 09:31:08,-3.598787389698531
2019-04-04 09:31:09,-2.944461890616867
2019-04-04 09:31:10,-2.409104835710981
2019-04-04 09:31:11,-1.9710855420346565
2019-04-04 09:31:12,-1.6127061968409913
2019-04-04 09:31:13,-1.3194867840735705
2019-04-04 09:31:14,-1.0795800262724269
2019-04-04 09:31:15,-0.8832927020509238
2019-04-04 09:31:16,-0.7226939976771104
2019-04-04 09:31:17,-0.5912950680732962
2019-04-04 09:31:18,-0.4837868598636471
2019-04-04 09:31:19,-0.3958256032341014
2019-04-04 09:31:20,-0.3238573054567411
2019-04-04 09:31:21,-0.26497415480592607
2019-04-04 09:31:22,-0.21679703293596506
2019-04-04 09:31:23,-0.17737938869999306
2019-04-04 09:31:24,-0.1451285894933642
2019-04-04 09:31:25,-0.11874157237758542
2019-04-04 09:31:26,-0.09715219501649634
2019-04-04 09:31:27,-0.07948815918061833
2019-04-04 09:31:28,-0.06503576634905969
2019-04-04 09:31:29,-0.053211081388780945
2019-04-04 09:31:30,-0.043536339204599366
2019-04-04 09:31:31,-0.03562064109142407
2019-04-04 09:31:32,-0.02914416084212376
2019-04-04 09:31:33,-0.023845222473145675
2019-04-04 09:31:34,-0.019509727455236825
2019-04-04 09:31:35,-0.015962504266300314
2019-04-04 09:31:36,-0.013060230753123197
2019-04-04 09:31:37,54.53476905916917
2019-04-04 09:31:38,44.619356479598174
2019-04-04 09:31:39,36.5067461949437
2019-04-04 09:31:40,29.869155967213715
2019-04-04 09:31:41,24.438400329804058
2019-04-04 09:31:42,19.99505481060348
2019-04-04 09:31:43,16.359590296444576
2019-04-04 09:31:44,13.385119331352612
2019-04-04 09:31:45,10.95146126969953
2019-04-04 09:31:46,8.960286492448546
2019-04-04 09:31:47,7.3311434931909565
2019-04-04 09:31:48,5.998208312188658
2019-04-04 09:31:49,4.907624982417232
2019-04-04 09:31:50,4.01532953087948
2019-04-04 09:31:51,3.2852696160474895
2019-04-04 09:31:52,2.687947867590449
2019-04-04 09:31:53,2.1992300734263486
2019-04-04 09:31:54,1.799370060038116
2019-04-04 09:31:55,1.4722118672784834
2019-04-04 09:31:56,1.204536982301736
2019-04-04 09:31:57,0.9855302582354792
2019-04-04 09:31:58,0.8063429385486727
2019-04-04 09:31:59,0.6597351315347164
2019-04-04 09:32:00,0.5397832894340767
2019-04-04 09:32:01,0.441640873171047
2019-04-04 09:32:02,0.36134253259296106
