h_m_s,RY
2019-04-04 09:30:00,-800.0
2019-04-04 09:30:01,-1790.0
2019-04-04 09:30:02,-1070.4318936877078
2019-04-04 09:30:03,-585.9900990099011
2019-04-04 09:30:04,-417.76827905335193
2019-04-04 09:30:05,-439.1266974163791
2019-04-04 09:30:06,-333.3148034827052
2019-04-04 09:30:07,-257.4840793554877
2019-04-04 09:30:08,-92.68205128791722
2019-04-04 09:30:09,-73.21361503089786
2019-04-04 09:30:10,-17.399489180787242
2019-04-04 09:30:11,-13.923103087065115
2019-04-04 09:30:12,8.436499030038942
2019-04-04 09:30:13,6.804261265058002
2019-04-04 09:30:14,5.5029846189241
2019-04-04 09:30:15,4.460397423857194
2019-04-04 09:30:16,3.6217448021686356
2019-04-04 09:30:17,2.9449757998805217
2019-04-04 09:30:18,2.3974317730019914
2019-04-04 09:30:19,1.9535127624201014
2019-04-04 09:30:20,38.50237093936265
2019-04-04 09:30:21,31.416214988496762
2019-04-04 09:30:22,25.647073129604102
2019-04-04 09:30:23,20.945897222917793
2019-04-04 09:30:24,17.112150206244717
2019-04-04 09:30:25,13.983891251234219
2019-04-04 09:30:26,11.430037882882644
2019-04-04 09:30:27,27.592321381055548
2019-04-04 09:30:28,22.560595286724574
2019-04-04 09:30:29,18.44867948157657
2019-04-04 09:30:30,15.087693586305681
2019-04-04 09:30:31,12.340008074333086
2019-04-04 09:30:32,119.32963864841557
2019-04-04 09:30:33,97.6096949826777
2019-04-04 09:30:34,79.84665572237712
2019-04-04 09:30:35,65.31849418867964
2019-04-04 09:30:36,-1.1426790622256484
2019-04-04 09:30:37,-0.9348178259883886
2019-04-04 09:30:38,-0.7647830780703018
2019-04-04 09:30:39,-18.813444168850488
2019-04-04 09:30:40,-15.391903707370819
2019-04-04 09:30:41,5.593030176324828
2019-04-04 09:30:42,4.575933668690716
2019-04-04 09:30:43,3.7438239497999466
2019-04-04 09:30:44,-87.85693056893328
2019-04-04 09:30:45,-71.88137807217807
2019-04-04 09:30:46,-58.810988920634884
2019-04-04 09:30:47,-48.11738052477369
2019-04-04 09:30:48,-39.36829641808267
2019-04-04 09:30:49,-50.39272652611575
2019-04-04 09:30:50,-41.23008348656887
2019-04-04 09:30:51,-33.73348435020597
2019-04-04 09:30:52,-27.599976073651543
2019-04-04 09:30:53,-22.5816998766391
2019-04-04 09:30:54,-36.65798102801616
2019-04-04 09:30:55,-29.992805787132667
2019-04-04 09:30:56,-24.53950960895199
2019-04-04 09:30:57,-20.077741252541834
2019-04-04 09:30:58,-16.427216510316814
2019-04-04 09:30:59,-104.35005969014107
2019-04-04 09:31:00,-85.37722994864731
2019-04-04 09:31:01,-69.854035901103
2019-04-04 09:31:02,-57.153261045610286
2019-04-04 09:31:03,-46.761731554058635
2019-04-04 09:31:04,-74.62329519769688
2019-04-04 09:31:05,-61.05539932202694
2019-04-04 09:31:06,-49.95440154658725
2019-04-04 09:31:07,-40.87177231892825
2019-04-04 09:31:08,-33.440533782134054
2019-04-04 09:31:09,-63.72409712120373
2019-04-04 09:31:10,-52.13789012356549
2019-04-04 09:31:11,-42.65826870270767
2019-04-04 09:31:12,-34.90221647729746
2019-04-04 09:31:13,-28.556356679771298
2019-04-04 09:31:14,67.54482703557733
2019-04-04 09:31:15,55.26394646983031
2019-04-04 09:31:16,45.21595424592666
2019-04-04 09:31:17,36.99487034592685
2019-04-04 09:31:18,30.268529406201875
2019-04-04 09:31:19,24.76515983628781
2019-04-04 09:31:20,20.262403109488147
2019-04-04 09:31:21,16.57832955381873
2019-04-04 09:31:22,13.564087640679363
2019-04-04 09:31:23,11.09788976995589
2019-04-04 09:31:24,9.080091551057405
2019-04-04 09:31:25,7.429165761679804
2019-04-04 09:31:26,6.078408315105308
2019-04-04 09:31:27,4.973243143233608
2019-04-04 09:31:28,4.069017101345436
2019-04-04 09:31:29,21.511014242090734
2019-04-04 09:31:30,17.59992069764785
2019-04-04 09:31:31,14.399935085543651
2019-04-04 09:31:32,11.781765049429861
2019-04-04 09:31:33,9.639625935769951
2019-04-04 09:31:34,-10.294851611891742
2019-04-04 09:31:35,-8.423060401678779
2019-04-04 09:31:36,-6.891594868711421
2019-04-04 09:31:37,-5.63857761624702
2019-04-04 09:31:38,-4.613381683605165
2019-04-04 09:31:39,-3.774585012242035
2019-04-04 09:31:40,-3.0882968271157507
2019-04-04 09:31:41,-38.89042472292565
2019-04-04 09:31:42,-31.819438402201747
2019-04-04 09:31:43,-26.034085960440766
2019-04-04 09:31:44,-21.300615782470054
2019-04-04 09:31:45,-17.427776547054386
2019-04-04 09:31:46,-14.259089900636376
2019-04-04 09:31:47,-11.666528099517187
2019-04-04 09:31:48,63.181931578644075
2019-04-04 09:31:49,51.6943076522777
2019-04-04 09:31:50,42.295342622598284
