h_m_s,XSP
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,98.83663366336634
2019-04-04 09:30:04,70.46332424854414
2019-04-04 09:30:05,52.16156500983775
2019-04-04 09:30:06,39.592723222926345
2019-04-04 09:30:07,30.585187881584122
2019-04-04 09:30:08,23.930921304784913
2019-04-04 09:30:09,18.904083750805466
2019-04-04 09:30:10,15.042215778269895
2019-04-04 09:30:11,12.03680859608163
2019-04-04 09:30:12,9.674353188222561
2019-04-04 09:30:13,7.802623627257065
2019-04-04 09:30:14,6.310415802013355
2019-04-04 09:30:15,5.114853908545208
2019-04-04 09:30:16,4.153149102374387
2019-04-04 09:30:17,3.377080459248378
2019-04-04 09:30:18,2.7491974614238557
2019-04-04 09:30:19,2.2401439689687406
2019-04-04 09:30:20,1.8267324242360465
2019-04-04 09:30:21,1.4905320676651166
2019-04-04 09:30:22,1.216817014889432
2019-04-04 09:30:23,0.9937712581928877
2019-04-04 09:30:24,0.8118803821036127
2019-04-04 09:30:25,0.6634611568687772
2019-04-04 09:30:26,0.5422944172396905
2019-04-04 09:30:27,0.4433363065958739
2019-04-04 09:30:28,0.36248965249759385
2019-04-04 09:30:29,0.2964219396396561
2019-04-04 09:30:30,0.24241970283064063
2019-04-04 09:30:31,0.19827159619829018
2019-04-04 09:30:32,437.10720516444457
2019-04-04 09:30:33,357.54655301136006
2019-04-04 09:30:34,292.4801325123202
2019-04-04 09:30:35,239.26314337115335
2019-04-04 09:30:36,195.73479898918646
2019-04-04 09:30:37,160.1292832870798
2019-04-04 09:30:38,131.00324229697065
2019-04-04 09:30:39,107.17668963400294
2019-04-04 09:30:40,87.68481048529543
2019-04-04 09:30:41,71.73863149422318
2019-04-04 09:30:42,58.69291043516568
2019-04-04 09:30:43,48.01991018228815
2019-04-04 09:30:44,39.28797185274202
2019-04-04 09:30:45,32.14400435057593
2019-04-04 09:30:46,26.299171418616062
2019-04-04 09:30:47,21.517190271082086
2019-04-04 09:30:48,17.60476392184544
2019-04-04 09:30:49,14.403757221405472
2019-04-04 09:30:50,11.784798198030584
2019-04-04 09:30:51,9.64204464230842
2019-04-04 09:30:52,7.888903460610572
2019-04-04 09:30:53,6.454529157123233
2019-04-04 09:30:54,5.280959510532507
2019-04-04 09:30:55,4.320772408280239
2019-04-04 09:30:56,3.535168959636839
2019-04-04 09:30:57,2.892405300133348
2019-04-04 09:30:58,2.366509633889376
2019-04-04 09:30:59,1.9362326155624376
2019-04-04 09:31:00,1.5841886218735288
2019-04-04 09:31:01,1.2961531890064053
2019-04-04 09:31:02,1.0604882110356861
2019-04-04 09:31:03,0.8676716627091478
2019-04-04 09:31:04,0.7099128372047955
2019-04-04 09:31:05,0.5808375473709935
2019-04-04 09:31:06,0.47523056759760846
2019-04-04 09:31:07,0.38882490744544723
2019-04-04 09:31:08,0.318129401174585
2019-04-04 09:31:09,0.26028764597894155
2019-04-04 09:31:10,0.21296258871678805
2019-04-04 09:31:11,0.17424209747603242
2019-04-04 09:31:12,0.14256170235011992
2019-04-04 09:31:13,0.11664138361623738
2019-04-04 09:31:14,0.09543385315320345
2019-04-04 09:31:15,0.07808223935920842
2019-04-04 09:31:16,0.0638854658020644
2019-04-04 09:31:17,0.05226992471466925
2019-04-04 09:31:18,0.042766300800405915
2019-04-04 09:31:19,0.03499060891646122
2019-04-04 09:31:20,0.028628679467390936
2019-04-04 09:31:21,0.02342346464713286
2019-04-04 09:31:22,0.019164652644323876
2019-04-04 09:31:23,0.015680170178813995
2019-04-04 09:31:24,0.012829230034815632
2019-04-04 09:31:25,0.010496642681126635
2019-04-04 09:31:26,0.008588162143689062
2019-04-04 09:31:27,0.0070266780841194785
