h_m_s,CRON
2019-04-04 09:32:06,0.8992249947362609
2019-04-04 09:32:07,0.7357295411467062
2019-04-04 09:32:08,1.5110514427608335
2019-04-04 09:32:09,1.0544966349839986
2019-04-04 09:32:10,0.8627699740770824
2019-04-04 09:32:11,-0.566824566668687
2019-04-04 09:32:12,-0.46376555454684315
2019-04-04 09:32:13,-0.37944454462905836
2019-04-04 09:32:14,-0.31045462742365654
2019-04-04 09:32:15,-0.25400833152836694
2019-04-04 09:32:16,-0.2078249985231562
2019-04-04 09:32:17,0.3754159102997845
2019-04-04 09:32:18,0.3071584720634075
2019-04-04 09:32:19,0.2513114771427528
2019-04-04 09:32:20,0.20561848129859242
2019-04-04 09:32:21,0.16823330288065075
2019-04-04 09:32:22,0.5012817932661019
2019-04-04 09:32:23,0.4101396490358758
2019-04-04 09:32:24,0.3355688037566084
2019-04-04 09:32:25,0.27455629398266806
2019-04-04 09:32:26,0.22463696780399342
2019-04-04 09:32:27,2.911066610021789
2019-04-04 09:32:28,2.1999635900177537
2019-04-04 09:32:29,1.7999702100144919
2019-04-04 09:32:30,1.472702899102743
2019-04-04 09:32:31,1.0231205538113097
2019-04-04 09:32:32,1.746189544027469
2019-04-04 09:32:33,1.4287005360224625
2019-04-04 09:32:34,1.1689368022001885
2019-04-04 09:32:35,0.9564028381637851
2019-04-04 09:32:36,0.7825114130430934
2019-04-04 09:32:37,0.6402366106716193
2019-04-04 09:32:38,0.5238299541858688
2019-04-04 09:32:39,0.4285881443338915
2019-04-04 09:32:40,1.623390299909559
2019-04-04 09:32:41,1.6918647908350943
2019-04-04 09:32:42,1.384253010683257
2019-04-04 09:32:43,1.1325706451044817
2019-04-04 09:32:44,0.9266487096309387
2019-04-04 09:32:45,0.7581671260616766
2019-04-04 09:32:46,0.6203185576868259
2019-04-04 09:32:47,0.50753336538013
2019-04-04 09:32:48,0.4152545716746517
2019-04-04 09:32:49,0.33975374046107853
2019-04-04 09:32:50,0.27798033310451875
2019-04-04 09:32:51,0.22743845435824256
2019-04-04 09:32:52,0.1860860081112893
2019-04-04 09:32:53,0.1522521884546912
2019-04-04 09:32:54,0.12456997237202007
2019-04-04 09:32:55,0.10192088648619822
2019-04-04 09:32:56,0.08338981621598035
2019-04-04 09:32:57,0.06822803144943845
2019-04-04 09:32:58,0.05582293482226782
2019-04-04 09:32:59,0.04567331030912822
2019-04-04 09:33:00,0.0373690720711049
2019-04-04 09:33:01,0.030574695330904005
2019-04-04 09:33:02,0.02501565981619418
2019-04-04 09:33:03,0.0204673580314316
2019-04-04 09:33:04,-0.165072161610647
2019-04-04 09:33:05,-0.13505904131780208
2019-04-04 09:33:06,-0.11050285198729261
2019-04-04 09:33:07,-0.27222960617142133
2019-04-04 09:33:08,-0.2227333141402538
2019-04-04 09:33:09,-0.1822363479329349
2019-04-04 09:33:10,-0.14910246649058306
2019-04-04 09:33:11,-0.12199292712865885
2019-04-04 09:33:12,-1.19072148583254
2019-04-04 09:33:13,-0.9742266702266235
2019-04-04 09:33:14,-0.7970945483672373
2019-04-04 09:33:15,-0.8339864486641032
2019-04-04 09:33:16,-0.6823525489069935
2019-04-04 09:33:17,-0.7401066309239038
2019-04-04 09:33:18,-0.6055417889377395
2019-04-04 09:33:19,-0.4954432818581504
2019-04-04 09:33:20,-0.40536268515666846
2019-04-04 09:33:21,-0.33166037876454685
2019-04-04 09:33:22,-0.08954030989826545
2019-04-04 09:33:23,-0.07326025355312626
2019-04-04 09:33:24,-0.05994020745255784
2019-04-04 09:33:25,1.2236852848115443
2019-04-04 09:33:26,1.0011970512094452
2019-04-04 09:33:27,0.8191612237168187
2019-04-04 09:33:28,0.3065864557683058
2019-04-04 09:33:29,0.250843463810432
2019-04-04 09:33:30,0.2052355612994443
2019-04-04 09:33:31,-0.9229890862095463
2019-04-04 09:33:32,-0.7551728887169014
2019-04-04 09:33:33,-0.6178687271320101
2019-04-04 09:33:34,-0.5055289585625536
2019-04-04 09:33:35,-0.4136146024602711
2019-04-04 09:33:36,-0.3384119474674945
2019-04-04 09:33:37,-0.27688250247340457
2019-04-04 09:33:38,-0.22654022929642187
2019-04-04 09:33:39,-0.18535109669707242
2019-04-04 09:33:40,-0.15165089729760467
2019-04-04 09:33:41,-0.12407800687985836
2019-04-04 09:33:42,-0.10151836926533864
2019-04-04 09:33:43,-0.08306048394436796
2019-04-04 09:33:44,-0.06795857777266469
2019-04-04 09:33:45,-0.05560247272308928
2019-04-04 09:33:46,-0.04549293222798214
2019-04-04 09:33:47,-0.03722149000471266
2019-04-04 09:33:48,-0.030453946367492168
2019-04-04 09:33:49,-0.024916865209766315
2019-04-04 09:33:50,-0.02038652608071789
2019-04-04 09:33:51,-0.016679884975132817
2019-04-04 09:33:52,3.9863528213839845
2019-04-04 09:33:53,3.2615613993141688
2019-04-04 09:33:54,2.6685502358025013
2019-04-04 09:33:55,2.18335928383841
2019-04-04 09:33:56,1.7863848685950625
2019-04-04 09:33:57,1.4615876197595965
2019-04-04 09:33:58,1.1958444161669424
2019-04-04 09:33:59,-0.11249093222704808
2019-04-04 09:34:00,-0.09203803545849386
2019-04-04 09:34:01,-0.07530384719331315
2019-04-04 09:34:02,-0.06161223861271075
