h_m_s,TECK.B
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0018265991896246469
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0013833849916966825
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0020583832335329733
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.0
2019-04-04 09:30:18,0.002917882451021281
2019-04-04 09:30:19,-0.00225890529973934
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,-0.00043516100957361023
2019-04-04 09:30:24,0.0005832808380580076
2019-04-04 09:30:25,-0.00042095990008467275
2019-04-04 09:30:26,-9.455598548649725e-05
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,-0.0005219774244763339
2019-04-04 09:30:29,-0.00023993979064824918
2019-04-04 09:30:30,-2.9649835443386323e-05
2019-04-04 09:30:31,0.0001539645881446639
2019-04-04 09:30:32,0.0
2019-04-04 09:30:33,0.0008702273468943962
2019-04-04 09:30:34,0.0019778285420436305
2019-04-04 09:30:35,0.0027927266797129905
2019-04-04 09:30:36,0.0014970302157341568
2019-04-04 09:30:37,0.0010550016993315825
2019-04-04 09:30:38,0.001825888490381395
2019-04-04 09:30:39,0.0015300475291360309
2019-04-04 09:30:40,0.0014646053702196307
2019-04-04 09:30:41,0.0006581941103816151
2019-04-04 09:30:42,0.0
2019-04-04 09:30:43,-0.0008458035133376644
2019-04-04 09:30:44,-0.0024894141733749183
2019-04-04 09:30:45,-0.0025567950492631475
2019-04-04 09:30:46,-0.002117608731063733
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,-0.0017120495679112486
2019-04-04 09:30:49,-0.0005382921458282563
2019-04-04 09:30:50,-0.0005437737901032862
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,-0.00043506634761807973
2019-04-04 09:30:55,0.0
2019-04-04 09:30:56,-0.002067464635473316
2019-04-04 09:30:57,-0.001420367342155006
2019-04-04 09:30:58,-0.0014217544777095584
2019-04-04 09:30:59,-0.0011117650905762366
2019-04-04 09:31:00,0.0001636821946508333
2019-04-04 09:31:01,4.298614854032803e-05
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,-0.00017625582273706446
2019-04-04 09:31:04,0.0
2019-04-04 09:31:05,-0.0005839359852155611
2019-04-04 09:31:06,0.0
2019-04-04 09:31:07,0.0
2019-04-04 09:31:08,0.0
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,0.0
2019-04-04 09:31:11,-0.00034904013961601743
2019-04-04 09:31:12,0.0
2019-04-04 09:31:13,0.0
2019-04-04 09:31:14,0.0
2019-04-04 09:31:15,0.0
2019-04-04 09:31:16,1.6784437469589773e-05
2019-04-04 09:31:17,0.0001964250638381532
2019-04-04 09:31:18,0.00022917007693559982
2019-04-04 09:31:19,0.00033651047729915044
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,4.364906154511382e-05
2019-04-04 09:31:22,0.0
2019-04-04 09:31:23,-0.00021423980575585415
2019-04-04 09:31:24,0.0
2019-04-04 09:31:25,-0.0005437049002063673
2019-04-04 09:31:26,-0.000545494217761377
2019-04-04 09:31:27,-0.0006438502673797524
2019-04-04 09:31:28,-0.0006182267801295606
2019-04-04 09:31:29,0.0
2019-04-04 09:31:30,0.0
