h_m_s,TD
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0005112723377318141
2019-04-04 09:30:02,0.0011388758625309003
2019-04-04 09:30:03,0.0007463400631516893
2019-04-04 09:30:04,0.0005693044439235655
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0005469787794558068
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,4.590490034811391e-05
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,-0.0008029978586724073
2019-04-04 09:30:11,-0.0009146069420898845
2019-04-04 09:30:12,-0.0007587592055345499
2019-04-04 09:30:13,-0.0004644723326336439
2019-04-04 09:30:14,-0.00048568892461785875
2019-04-04 09:30:15,-0.00043786608475945317
2019-04-04 09:30:16,-0.00030630216708790725
2019-04-04 09:30:17,-0.00011211008235221743
2019-04-04 09:30:18,-7.446903577498404e-05
2019-04-04 09:30:19,-9.680974650744116e-05
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,-0.00010052945513045223
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,-0.00010517068583667913
2019-04-04 09:30:26,0.0
2019-04-04 09:30:27,0.00021446571229431858
2019-04-04 09:30:28,0.0002681144848849926
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,0.0
2019-04-04 09:30:31,0.00011575907490210875
2019-04-04 09:30:32,4.874066311667737e-05
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,0.00018246068716937808
2019-04-04 09:30:37,0.0003351206434317116
2019-04-04 09:30:38,0.00012792943168880353
2019-04-04 09:30:39,0.00041552174787201526
2019-04-04 09:30:40,0.0
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,0.0
2019-04-04 09:30:43,0.000375294874544172
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,0.00020773998994810464
2019-04-04 09:30:48,0.00018986988328588365
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.000184633710541961
2019-04-04 09:30:53,0.00012251242352551625
2019-04-04 09:30:54,-8.932160243060874e-06
2019-04-04 09:30:55,0.0
2019-04-04 09:30:56,-2.2330400607366586e-05
2019-04-04 09:30:57,8.039016024438914e-05
2019-04-04 09:30:58,8.294095879738106e-05
2019-04-04 09:30:59,6.0291408474199495e-05
2019-04-04 09:31:00,0.0
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,2.977342424162187e-05
2019-04-04 09:31:03,-0.0001530924678505241
2019-04-04 09:31:04,0.0
2019-04-04 09:31:05,-1.6747613465065992e-05
2019-04-04 09:31:06,-0.00024967116480729024
2019-04-04 09:31:07,-0.00024967116480729024
2019-04-04 09:31:08,-0.00024115109455803279
2019-04-04 09:31:09,-0.00024561246818198817
2019-04-04 09:31:10,-0.000200964630225088
2019-04-04 09:31:11,0.0
2019-04-04 09:31:12,0.00010050251256272266
2019-04-04 09:31:13,0.0001250714694112449
2019-04-04 09:31:14,8.040308747856223e-05
2019-04-04 09:31:15,0.00010050587959386484
2019-04-04 09:31:16,0.0001250714694112449
2019-04-04 09:31:17,1.674873547064716e-05
2019-04-04 09:31:18,0.0
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.0
2019-04-04 09:31:21,8.932559178196431e-05
2019-04-04 09:31:22,6.69926977958793e-05
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,0.0001339853955917586
2019-04-04 09:31:25,2.23308992652931e-05
2019-04-04 09:31:26,3.3497470941103905e-05
