h_m_s,CNQ
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,0.0012607544843804574
2019-04-04 09:30:06,0.000773221028609179
2019-04-04 09:30:07,-0.00027001485081674123
2019-04-04 09:30:08,-0.00013502565487449522
2019-04-04 09:30:09,-0.00037123283048163625
2019-04-04 09:30:10,-0.00016502640422465378
2019-04-04 09:30:11,-0.0002523933241082263
2019-04-04 09:30:12,-8.738134011192752e-05
2019-04-04 09:30:13,-0.0007243263151432476
2019-04-04 09:30:14,-0.0007243263151432476
2019-04-04 09:30:15,-0.0007243263151432476
2019-04-04 09:30:16,0.0004925560481115395
2019-04-04 09:30:17,-0.0006959340292673438
2019-04-04 09:30:18,0.00022933149868132734
2019-04-04 09:30:19,0.00022933149868132734
2019-04-04 09:30:20,0.0008599931200550256
2019-04-04 09:30:21,-0.000332281109818944
2019-04-04 09:30:22,0.0008566414664369998
2019-04-04 09:30:23,0.0006305170239596494
2019-04-04 09:30:24,0.00028308927606350434
2019-04-04 09:30:25,-0.00034720882681996606
2019-04-04 09:30:26,-0.00028490704907516146
2019-04-04 09:30:27,-0.00022703530473175128
2019-04-04 09:30:28,-0.00040507696462329377
2019-04-04 09:30:29,2.3155294844088558e-05
2019-04-04 09:30:30,2.3155294844088558e-05
2019-04-04 09:30:31,2.3155294844088558e-05
2019-04-04 09:30:32,-3.473093175372042e-05
2019-04-04 09:30:33,8.104822369310046e-05
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,-8.104165541088427e-05
2019-04-04 09:30:37,-8.104165541088427e-05
2019-04-04 09:30:38,-3.0390620779129583e-05
2019-04-04 09:30:39,-3.0390620779129583e-05
2019-04-04 09:30:40,-3.0390620779129583e-05
2019-04-04 09:30:41,-2.7016074564302835e-05
2019-04-04 09:30:42,-2.7016074564302835e-05
2019-04-04 09:30:43,-7.766728012550936e-05
2019-04-04 09:30:44,-7.766728012550936e-05
2019-04-04 09:30:45,-7.766728012550936e-05
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,-7.962847628071442e-05
2019-04-04 09:30:55,-7.962847628071442e-05
2019-04-04 09:30:56,-7.962847628071442e-05
2019-04-04 09:30:57,-7.962847628071442e-05
2019-04-04 09:30:58,-7.962847628071442e-05
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,2.5596905618501543e-05
2019-04-04 09:31:01,2.5596905618501543e-05
2019-04-04 09:31:02,0.00016069168527187478
2019-04-04 09:31:03,-0.000478756938420541
2019-04-04 09:31:04,-0.00038869375198489483
2019-04-04 09:31:05,-0.00045931049389395367
2019-04-04 09:31:06,-0.0002341582910048134
2019-04-04 09:31:07,-0.0002791510207022531
2019-04-04 09:31:08,0.00031537213912426383
2019-04-04 09:31:09,0.00022524551761418665
2019-04-04 09:31:10,0.0002252556651799665
2019-04-04 09:31:11,-0.00027024592379059574
2019-04-04 09:31:12,-0.0003602954422627117
2019-04-04 09:31:13,-0.00031527271089502136
2019-04-04 09:31:14,-0.0013511687609783613
2019-04-04 09:31:15,-0.0013061886316547702
2019-04-04 09:31:16,-0.0006848080735266382
2019-04-04 09:31:17,-0.0007659037664442841
2019-04-04 09:31:18,-0.0007659037664442841
2019-04-04 09:31:19,0.0
2019-04-04 09:31:20,0.00017395674275664112
2019-04-04 09:31:21,-0.00043280675178547235
2019-04-04 09:31:22,-0.00040578926011093104
2019-04-04 09:31:23,-0.0005990222411162004
2019-04-04 09:31:24,-0.0008388580706264053
2019-04-04 09:31:25,-0.00107576753114568
2019-04-04 09:31:26,-0.000993339531092782
2019-04-04 09:31:27,-0.0008570139828597101
2019-04-04 09:31:28,-0.0007347254447022066
2019-04-04 09:31:29,-0.00022439915192590812
2019-04-04 09:31:30,-0.00016121647503398003
2019-04-04 09:31:31,0.00012747785072351334
2019-04-04 09:31:32,4.5144688727330165e-05
2019-04-04 09:31:33,0.00016124246997661543
2019-04-04 09:31:34,0.00017027204829522273
2019-04-04 09:31:35,0.00017027204829522273
2019-04-04 09:31:36,0.0006319971108703529
2019-04-04 09:31:37,0.0006319971108703529
2019-04-04 09:31:38,0.0005868279691238643
2019-04-04 09:31:39,0.0005777946301212852
2019-04-04 09:31:40,0.0005777946301212852
2019-04-04 09:31:41,-0.00025263917711822523
2019-04-04 09:31:42,-0.00018045655508439163
2019-04-04 09:31:43,-0.00018045655508439163
2019-04-04 09:31:44,4.511413877104983e-05
2019-04-04 09:31:45,4.511413877104983e-05
2019-04-04 09:31:46,0.0003655168679265856
2019-04-04 09:31:47,0.00027073368829522637
2019-04-04 09:31:48,0.00027073368829522637
2019-04-04 09:31:49,4.511210357734878e-05
2019-04-04 09:31:50,4.511210357734878e-05
2019-04-04 09:31:51,-2.2554525565534216e-05
2019-04-04 09:31:52,0.0002255503428365083
2019-04-04 09:31:53,0.0002255503428365083
2019-04-04 09:31:54,0.0002255503428365083
2019-04-04 09:31:55,0.0002255503428365083
2019-04-04 09:31:56,0.00030674846625765897
2019-04-04 09:31:57,0.00013529968881078496
2019-04-04 09:31:58,0.00013529968881078496
2019-04-04 09:31:59,0.00031569927389176746
2019-04-04 09:32:00,0.0
2019-04-04 09:32:01,-3.607698829306139e-05
2019-04-04 09:32:02,-0.00022546897546896265
2019-04-04 09:32:03,-0.0001932591218306218
2019-04-04 09:32:04,-0.00039074241058006714
2019-04-04 09:32:05,-7.516649378359851e-05
2019-04-04 09:32:06,-0.00012026096629669074
2019-04-04 09:32:07,-1.804158585541874e-05
2019-04-04 09:32:08,-0.0005508949626938007
2019-04-04 09:32:09,-0.000939651802628189
2019-04-04 09:32:10,-0.000939651802628189
2019-04-04 09:32:11,-0.0004467373141638728
2019-04-04 09:32:12,-0.00023523876734884335
2019-04-04 09:32:13,0.00036553171326069215
2019-04-04 09:32:14,0.0007449041782353467
2019-04-04 09:32:15,0.0005078892124332435
2019-04-04 09:32:16,0.000272776313244912
2019-04-04 09:32:17,9.424915751106261e-05
2019-04-04 09:32:18,-5.698216743087343e-06
2019-04-04 09:32:19,4.511210357734878e-05
2019-04-04 09:32:20,0.0002820174399584229
2019-04-04 09:32:21,2.374270505391134e-05
2019-04-04 09:32:22,0.000745520938691739
2019-04-04 09:32:23,0.0007094320270098092
2019-04-04 09:32:24,0.0009563334536268644
