h_m_s,G
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,0.0020978529448340178
2019-04-04 09:30:06,0.002116628315876445
2019-04-04 09:30:07,0.0019895621057250215
2019-04-04 09:30:08,0.0017439550813377338
2019-04-04 09:30:09,0.002117206375925367
2019-04-04 09:30:10,-0.0008922838690183869
2019-04-04 09:30:11,-0.001294829326507495
2019-04-04 09:30:12,-0.000857063865081577
2019-04-04 09:30:13,-0.0005225735957813957
2019-04-04 09:30:14,-0.00035505008226768126
2019-04-04 09:30:15,0.0011144945723236613
2019-04-04 09:30:16,0.00031210573776411805
2019-04-04 09:30:17,0.000565577186402401
2019-04-04 09:30:18,0.00098231827111988
2019-04-04 09:30:19,0.0004358542967349593
2019-04-04 09:30:20,0.00043287794573439983
2019-04-04 09:30:21,0.00042474391525349273
2019-04-04 09:30:22,0.00042862604966546156
2019-04-04 09:30:23,1.2115484801087472e-05
2019-04-04 09:30:24,1.8063193863429412e-05
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,-5.943373367229215e-06
2019-04-04 09:30:27,-0.0004794212329952773
2019-04-04 09:30:28,-0.00039530617189935526
2019-04-04 09:30:29,-0.00039530617189935526
2019-04-04 09:30:30,-0.00039530617189935526
2019-04-04 09:30:31,-0.0003849379778834396
2019-04-04 09:30:32,8.858463893155532e-05
2019-04-04 09:30:33,4.428859234202008e-06
2019-04-04 09:30:34,-2.9268982764534304e-05
2019-04-04 09:30:35,4.428859234202008e-06
2019-04-04 09:30:36,0.0
2019-04-04 09:30:37,0.0
2019-04-04 09:30:38,2.050388712685567e-05
2019-04-04 09:30:39,5.42034064129899e-05
2019-04-04 09:30:40,2.050388712685567e-05
2019-04-04 09:30:41,2.050388712685567e-05
2019-04-04 09:30:42,2.050388712685567e-05
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,-0.00045968772400028807
2019-04-04 09:30:48,-0.0009001968206630674
2019-04-04 09:30:49,-0.0005386091856881103
2019-04-04 09:30:50,-0.0003732231045625122
2019-04-04 09:30:51,-0.0005681090679293384
2019-04-04 09:30:52,-0.0001551893841958763
2019-04-04 09:30:53,-5.038925701032375e-05
2019-04-04 09:30:54,-0.0006430649138755162
2019-04-04 09:30:55,-0.0008005158108237161
2019-04-04 09:30:56,7.18313315550499e-05
2019-04-04 09:30:57,0.0001357892642874783
2019-04-04 09:30:58,0.0001681996441249363
2019-04-04 09:30:59,0.0009845914031893015
2019-04-04 09:31:00,0.001157484344417571
2019-04-04 09:31:01,0.0004792423627082501
2019-04-04 09:31:02,0.00048005475721364795
2019-04-04 09:31:03,0.0007645578583416396
2019-04-04 09:31:04,1.5653483113392625e-05
2019-04-04 09:31:05,-0.0005848895199996611
2019-04-04 09:31:06,-0.0014474786860494242
2019-04-04 09:31:07,-0.0014295314742790257
2019-04-04 09:31:08,-0.0014102925225818583
2019-04-04 09:31:09,-0.001405795592677264
2019-04-04 09:31:10,-0.0009861889079875407
2019-04-04 09:31:11,-0.0008352059925093794
2019-04-04 09:31:12,-0.0006806150743634441
2019-04-04 09:31:13,-0.000677285720400851
2019-04-04 09:31:14,-0.0005357002838458525
2019-04-04 09:31:15,-0.0005357002838458525
2019-04-04 09:31:16,0.000160196876437032
2019-04-04 09:31:17,-1.4217802982570786e-05
2019-04-04 09:31:18,0.0007939601574750086
2019-04-04 09:31:19,0.0007289403060876716
2019-04-04 09:31:20,0.0004035087210417394
2019-04-04 09:31:21,0.0001271333780685609
2019-04-04 09:31:22,0.00014442231735544805
2019-04-04 09:31:23,-0.000666097152820843
2019-04-04 09:31:24,-0.000599747747142152
2019-04-04 09:31:25,-0.0002746425217499021
2019-04-04 09:31:26,-6.05520519147774e-05
2019-04-04 09:31:27,-0.0003049369024277781
2019-04-04 09:31:28,-0.00030540043524246457
2019-04-04 09:31:29,-0.00029977567245555804
2019-04-04 09:31:30,-0.0009283260994552067
2019-04-04 09:31:31,-0.0005242788598828212
2019-04-04 09:31:32,-0.0003307953613681902
2019-04-04 09:31:33,-0.0003307953613681902
2019-04-04 09:31:34,-0.00015709595206978865
2019-04-04 09:31:35,-4.018700352299554e-05
2019-04-04 09:31:36,-0.00036596781794569737
2019-04-04 09:31:37,-0.0003487155643379416
2019-04-04 09:31:38,-0.0003487155643379416
2019-04-04 09:31:39,-0.0005118851070272318
2019-04-04 09:31:40,0.0
2019-04-04 09:31:41,0.0
2019-04-04 09:31:42,0.0010250724445817008
2019-04-04 09:31:43,0.001012753188296996
2019-04-04 09:31:44,0.0009585729765774276
2019-04-04 09:31:45,0.0009585729765774276
2019-04-04 09:31:46,0.0009510042604990116
2019-04-04 09:31:47,-3.082922130936351e-05
2019-04-04 09:31:48,0.00026746846908545205
2019-04-04 09:31:49,0.000176410130543469
2019-04-04 09:31:50,0.00037553527789609267
2019-04-04 09:31:51,0.0003830996425513894
2019-04-04 09:31:52,0.0004744339704657823
2019-04-04 09:31:53,5.390666842876609e-05
2019-04-04 09:31:54,0.00019772688693945074
2019-04-04 09:31:55,-1.3628675823797025e-06
2019-04-04 09:31:56,-0.00019330005210692913
2019-04-04 09:31:57,-0.00032772558444389374
2019-04-04 09:31:58,-0.00019330005210692913
2019-04-04 09:31:59,-0.00019193744610987258
2019-04-04 09:32:00,0.0002156073875715343
2019-04-04 09:32:01,-0.00016588193765826168
2019-04-04 09:32:02,-0.00016588193765826168
2019-04-04 09:32:03,-0.00016588193765826168
2019-04-04 09:32:04,-0.0001860673918372475
2019-04-04 09:32:05,-0.0005934485603249111
2019-04-04 09:32:06,-2.0188803136769164e-05
2019-04-04 09:32:07,-4.137568793860906e-05
2019-04-04 09:32:08,-4.137568793860906e-05
2019-04-04 09:32:09,-2.1187312548321932e-05
2019-04-04 09:32:10,-6.2071398860137e-06
2019-04-04 09:32:11,-2.8711778686831345e-06
2019-04-04 09:32:12,8.930727803894807e-05
2019-04-04 09:32:13,8.474487225000246e-05
2019-04-04 09:32:14,8.460968322443562e-05
2019-04-04 09:32:15,8.000344231842421e-05
2019-04-04 09:32:16,7.627753922430537e-05
2019-04-04 09:32:17,5.287708851287083e-06
2019-04-04 09:32:18,9.84975215512918e-06
2019-04-04 09:32:19,9.984931074828845e-06
2019-04-04 09:32:20,-3.89634737203518e-07
2019-04-04 09:32:21,0.0
2019-04-04 09:32:22,0.0
2019-04-04 09:32:23,3.896348890188056e-07
2019-04-04 09:32:24,3.896348890188056e-07
