h_m_s,HSD
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,1733.3333378073694
2019-04-04 09:30:18,577.7777782748929
2019-04-04 09:30:19,192.59259264782762
2019-04-04 09:30:20,64.19753087033477
2019-04-04 09:30:21,21.399176955414433
2019-04-04 09:30:22,7.133058984986608
2019-04-04 09:30:23,2.377686328312032
2019-04-04 09:30:24,0.7925621094354732
2019-04-04 09:30:25,0.2641873698116166
2019-04-04 09:30:26,0.08806245660384912
2019-04-04 09:30:27,0.029354152201280476
2019-04-04 09:30:28,0.009784717400426541
2019-04-04 09:30:29,0.0032615724668088155
2019-04-04 09:30:30,0.0010871908222696016
2019-04-04 09:30:31,0.0003623969407565335
2019-04-04 09:30:32,0.00012079898025217781
2019-04-04 09:30:33,4.026632675072594e-05
2019-04-04 09:30:34,1.3422108916908647e-05
2019-04-04 09:30:35,4.4740363056362155e-06
2019-04-04 09:30:36,1.4913454352120718e-06
2019-04-04 09:30:37,4.971151450706906e-07
2019-04-04 09:30:38,1.6570504835689686e-07
2019-04-04 09:30:39,5.523501611896562e-08
2019-04-04 09:30:40,1.8411672039655208e-08
2019-04-04 09:30:41,6.1372240132184025e-09
2019-04-04 09:30:42,2.0457413377394674e-09
2019-04-04 09:30:43,6.819137792464891e-10
2019-04-04 09:30:44,2.2730459308216304e-10
2019-04-04 09:30:45,7.576819769405435e-11
2019-04-04 09:30:46,2.5256065898018116e-11
2019-04-04 09:30:47,8.418688632672706e-12
2019-04-04 09:30:48,2.806229544224235e-12
2019-04-04 09:30:49,9.35409848074745e-13
2019-04-04 09:30:50,3.118032826915817e-13
2019-04-04 09:30:51,1.0393442756386057e-13
2019-04-04 09:30:52,3.464480918795352e-14
2019-04-04 09:30:53,1.1548269729317841e-14
2019-04-04 09:30:54,3.849423243105947e-15
2019-04-04 09:30:55,1.2831410810353156e-15
2019-04-04 09:30:56,4.2771369367843856e-16
2019-04-04 09:30:57,1.425712312261462e-16
2019-04-04 09:30:58,4.752374374204873e-17
2019-04-04 09:30:59,1.5841247914016244e-17
2019-04-04 09:31:00,5.280415971338748e-18
2019-04-04 09:31:01,1.760138657112916e-18
2019-04-04 09:31:02,5.867128857043053e-19
2019-04-04 09:31:03,1.9557096190143511e-19
2019-04-04 09:31:04,6.519032063381171e-20
2019-04-04 09:31:05,2.1730106877937236e-20
2019-04-04 09:31:06,7.243368959312413e-21
2019-04-04 09:31:07,2.414456319770804e-21
2019-04-04 09:31:08,8.048187732569347e-22
2019-04-04 09:31:09,2.6827292441897826e-22
2019-04-04 09:31:10,8.942430813965942e-23
2019-04-04 09:31:11,2.980810271321981e-23
2019-04-04 09:31:12,9.936034237739936e-24
2019-04-04 09:31:13,3.312011412579979e-24
2019-04-04 09:31:14,1.1040038041933262e-24
2019-04-04 09:31:15,3.6800126806444207e-25
2019-04-04 09:31:16,1.2266708935481401e-25
2019-04-04 09:31:17,4.0889029784938003e-26
2019-04-04 09:31:18,1.3629676594979335e-26
2019-04-04 09:31:19,4.543225531659778e-27
2019-04-04 09:31:20,1.5144085105532594e-27
2019-04-04 09:31:21,5.048028368510865e-28
2019-04-04 09:31:22,1.6826761228369548e-28
