h_m_s,CNR
2019-04-04 09:31:56,-1.0000000000218614
2019-04-04 09:31:57,-0.5000000000109307
2019-04-04 09:31:58,-0.25000000000546535
2019-04-04 09:31:59,-0.12500000000273268
2019-04-04 09:32:00,-0.06250000000136634
2019-04-04 09:32:01,-0.5312500000006831
2019-04-04 09:32:02,-0.26562500000034156
2019-04-04 09:32:03,-0.13281250000017078
2019-04-04 09:32:04,-0.06640625000008539
2019-04-04 09:32:05,-0.033203125000042695
2019-04-04 09:32:06,-0.5166015625000213
2019-04-04 09:32:07,-0.25830078125001066
2019-04-04 09:32:08,-0.12915039062500533
2019-04-04 09:32:09,-0.06457519531250266
2019-04-04 09:32:10,-0.03228759765625133
2019-04-04 09:32:11,-0.5161437988281257
2019-04-04 09:32:12,-0.25807189941406283
2019-04-04 09:32:13,-0.12903594970703142
2019-04-04 09:32:14,-0.06451797485351571
2019-04-04 09:32:15,-0.032258987426757854
2019-04-04 09:32:16,-0.5161294937133789
2019-04-04 09:32:17,-0.25806474685668945
2019-04-04 09:32:18,-0.12903237342834473
2019-04-04 09:32:19,-0.06451618671417236
2019-04-04 09:32:20,-0.03225809335708618
2019-04-04 09:32:21,-0.5161290466785431
2019-04-04 09:32:22,-0.25806452333927155
2019-04-04 09:32:23,-0.12903226166963577
2019-04-04 09:32:24,-0.06451613083481789
2019-04-04 09:32:25,-0.03225806541740894
2019-04-04 09:32:26,-0.5161290327087045
2019-04-04 09:32:27,-2.2580645163543522
2019-04-04 09:32:28,-1.1290322581771761
2019-04-04 09:32:29,-0.5645161290885881
2019-04-04 09:32:30,-0.28225806454429403
2019-04-04 09:32:31,-0.14112903227214701
2019-04-04 09:32:32,-0.07056451613607351
2019-04-04 09:32:33,-0.035282258068036754
2019-04-04 09:32:34,-0.017641129034018377
2019-04-04 09:32:35,-0.008820564517009188
2019-04-04 09:32:36,-0.004410282258504594
2019-04-04 09:32:37,-0.002205141129252297
2019-04-04 09:32:38,-0.0011025705646261486
2019-04-04 09:32:39,-0.0005512852823130743
2019-04-04 09:32:40,-0.00027564264115653714
2019-04-04 09:32:41,-0.00013782132057826857
2019-04-04 09:32:42,-6.891066028913428e-05
2019-04-04 09:32:43,-3.445533014456714e-05
2019-04-04 09:32:44,-1.722766507228357e-05
2019-04-04 09:32:45,-8.613832536141786e-06
2019-04-04 09:32:46,-4.306916268070893e-06
2019-04-04 09:32:47,-2.1534581340354464e-06
2019-04-04 09:32:48,-1.0767290670177232e-06
2019-04-04 09:32:49,-5.383645335088616e-07
2019-04-04 09:32:50,-2.691822667544308e-07
2019-04-04 09:32:51,-1.345911333772154e-07
2019-04-04 09:32:52,-6.72955666886077e-08
2019-04-04 09:32:53,-3.364778334430385e-08
2019-04-04 09:32:54,-1.6823891672151925e-08
2019-04-04 09:32:55,-8.411945836075962e-09
2019-04-04 09:32:56,-4.205972918037981e-09
