h_m_s,CVE
2019-04-04 09:30:00,-4.0
2019-04-04 09:30:01,-4.666666666666667
2019-04-04 09:30:02,-2.0
2019-04-04 09:30:03,-0.9333333333333333
2019-04-04 09:30:04,-0.45161290322580644
2019-04-04 09:30:05,-0.2222222222222222
2019-04-04 09:30:06,-0.11023622047244094
2019-04-04 09:30:07,-0.054901960784313725
2019-04-04 09:30:08,-0.0273972602739726
2019-04-04 09:30:09,-0.013685239491691105
2019-04-04 09:30:10,2.9946262823644356
2019-04-04 09:30:11,1.496947496947497
2019-04-04 09:30:12,1.748504456110365
2019-04-04 09:30:13,0.8741988646767991
2019-04-04 09:30:14,0.4370860927152318
2019-04-04 09:30:15,0.21853971160448615
2019-04-04 09:30:16,0.10926902213304239
2019-04-04 09:30:17,0.05463430265160618
2019-04-04 09:30:18,0.02731709922237248
2019-04-04 09:30:19,0.013658536585365854
2019-04-04 09:30:20,0.0068292650362324885
2019-04-04 09:30:21,0.0034146317040042173
2019-04-04 09:30:22,0.0017073156484741746
2019-04-04 09:30:23,0.0008536577733551129
2019-04-04 09:30:24,0.00042682887395706397
2019-04-04 09:30:25,0.00021341443379840902
2019-04-04 09:30:26,0.00010670721610417377
2019-04-04 09:30:27,5.335360785332921e-05
2019-04-04 09:30:28,2.6676803876975186e-05
2019-04-04 09:30:29,1.3338401926065238e-05
2019-04-04 09:30:30,0.5000066694337906
2019-04-04 09:30:31,0.25000333465868685
2019-04-04 09:30:32,0.12500166731479131
2019-04-04 09:30:33,0.06250083365375762
2019-04-04 09:30:34,0.03125041682596931
2019-04-04 09:30:35,0.015625208412757278
2019-04-04 09:30:36,0.007812604206321794
2019-04-04 09:30:37,0.003906302103146686
2019-04-04 09:30:38,0.0019531510515697903
2019-04-04 09:30:39,0.000976575525784007
2019-04-04 09:30:40,0.0004882877628917814
2019-04-04 09:30:41,0.0002441438814458352
2019-04-04 09:30:42,0.00012207194072290373
2019-04-04 09:30:43,6.10359703614484e-05
2019-04-04 09:30:44,3.051798518072333e-05
2019-04-04 09:30:45,1.5258992590361448e-05
2019-04-04 09:30:46,7.62949629518067e-06
2019-04-04 09:30:47,3.814748147590321e-06
2019-04-04 09:30:48,1.9073740737951573e-06
2019-04-04 09:30:49,9.536870368975778e-07
2019-04-04 09:30:50,4.768435184487887e-07
2019-04-04 09:30:51,2.384217592243943e-07
2019-04-04 09:30:52,1.1921087961219714e-07
2019-04-04 09:30:53,5.960543980609856e-08
2019-04-04 09:30:54,2.980271990304928e-08
2019-04-04 09:30:55,1.490135995152464e-08
2019-04-04 09:30:56,7.45067997576232e-09
2019-04-04 09:30:57,3.72533998788116e-09
2019-04-04 09:30:58,1.86266999394058e-09
2019-04-04 09:30:59,9.3133499697029e-10
2019-04-04 09:31:00,4.65667498485145e-10
2019-04-04 09:31:01,2.328337492425725e-10
2019-04-04 09:31:02,1.1641687462128625e-10
2019-04-04 09:31:03,5.820843731064312e-11
2019-04-04 09:31:04,2.910421865532156e-11
2019-04-04 09:31:05,1.455210932766078e-11
2019-04-04 09:31:06,7.27605466383039e-12
2019-04-04 09:31:07,3.638027331915195e-12
2019-04-04 09:31:08,1.8190136659575976e-12
2019-04-04 09:31:09,9.095068329787988e-13
2019-04-04 09:31:10,4.547534164893994e-13
2019-04-04 09:31:11,2.273767082446997e-13
2019-04-04 09:31:12,1.1368835412234985e-13
2019-04-04 09:31:13,5.684417706117493e-14
2019-04-04 09:31:14,3.0000000000000284
2019-04-04 09:31:15,-0.9999999999999858
2019-04-04 09:31:16,7.105427357601002e-15
2019-04-04 09:31:17,3.552713678800501e-15
2019-04-04 09:31:18,1.7763568394002505e-15
2019-04-04 09:31:19,8.881784197001252e-16
2019-04-04 09:31:20,4.440892098500626e-16
2019-04-04 09:31:21,2.220446049250313e-16
2019-04-04 09:31:22,1.1102230246251565e-16
2019-04-04 09:31:23,5.551115123125783e-17
2019-04-04 09:31:24,-0.5
2019-04-04 09:31:25,-0.25
2019-04-04 09:31:26,-0.125
2019-04-04 09:31:27,-0.0625
2019-04-04 09:31:28,-0.03125
2019-04-04 09:31:29,-0.015625
2019-04-04 09:31:30,-0.0078125
2019-04-04 09:31:31,-0.00390625
2019-04-04 09:31:32,-0.001953125
2019-04-04 09:31:33,-0.0009765625
2019-04-04 09:31:34,-0.00048828125
2019-04-04 09:31:35,-0.000244140625
2019-04-04 09:31:36,-0.0001220703125
2019-04-04 09:31:37,-6.103515625e-05
2019-04-04 09:31:38,-3.0517578125e-05
2019-04-04 09:31:39,1.4999847412109375
2019-04-04 09:31:40,0.7499923706054688
2019-04-04 09:31:41,0.3749961853027344
2019-04-04 09:31:42,0.6874980926513672
2019-04-04 09:31:43,0.3437490463256836
2019-04-04 09:31:44,0.6718745231628418
2019-04-04 09:31:45,0.3359372615814209
2019-04-04 09:31:46,0.16796863079071045
2019-04-04 09:31:47,0.08398431539535522
2019-04-04 09:31:48,0.04199215769767761
2019-04-04 09:31:49,0.020996078848838806
2019-04-04 09:31:50,0.010498039424419403
2019-04-04 09:31:51,-0.4947509802877903
2019-04-04 09:31:52,-0.24737549014389515
2019-04-04 09:31:53,-0.12368774507194757
2019-04-04 09:31:54,-0.06184387253597379
2019-04-04 09:31:55,-0.030921936267986894
2019-04-04 09:31:56,-0.015460968133993447
2019-04-04 09:31:57,-0.007730484066996723
2019-04-04 09:31:58,-0.0038652420334983617
2019-04-04 09:31:59,-0.0019326210167491809
2019-04-04 09:32:00,-0.0009663105083745904
2019-04-04 09:32:01,-0.0004831552541872952
2019-04-04 09:32:02,-0.0002415776270936476
2019-04-04 09:32:03,-0.0001207888135468238
2019-04-04 09:32:04,-6.03944067734119e-05
2019-04-04 09:32:05,-3.019720338670595e-05
2019-04-04 09:32:06,-1.5098601693352975e-05
2019-04-04 09:32:07,-7.549300846676488e-06
2019-04-04 09:32:08,-3.774650423338244e-06
2019-04-04 09:32:09,-1.887325211669122e-06
2019-04-04 09:32:10,-9.43662605834561e-07
2019-04-04 09:32:11,-4.718313029172805e-07
2019-04-04 09:32:12,-2.3591565145864024e-07
2019-04-04 09:32:13,-1.1795782572932012e-07
2019-04-04 09:32:14,-5.897891286466006e-08
