h_m_s,XSP
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,-1.8653101452622388e-05
2019-04-04 09:30:18,-3.102849831499007e-05
2019-04-04 09:30:19,0.0
2019-04-04 09:30:20,-2.866863417723038e-05
2019-04-04 09:30:21,-3.02796732684248e-06
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,3.2393483637544444e-08
2019-04-04 09:30:24,0.00029148861768804217
2019-04-04 09:30:25,0.0002938117630870753
2019-04-04 09:30:26,0.00033327650098087514
2019-04-04 09:30:27,0.0003036159300809882
2019-04-04 09:30:28,0.0003035725393421784
2019-04-04 09:30:29,0.00025819844860052555
2019-04-04 09:30:30,0.00022993119652140782
2019-04-04 09:30:31,3.56591652964203e-05
2019-04-04 09:30:32,7.122144576596303e-06
2019-04-04 09:30:33,-1.2745887871434264e-05
2019-04-04 09:30:34,-0.00027981403983274125
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,-0.000280518918917297
2019-04-04 09:30:37,-0.00031669976175268506
2019-04-04 09:30:38,-0.00029232375862587115
2019-04-04 09:30:39,-0.0002950025946098974
2019-04-04 09:30:40,0.0
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,-0.00024969707979591104
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,-0.0002212765379861349
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,-4.1216413372068935e-05
2019-04-04 09:30:49,-2.6312233219616713e-05
2019-04-04 09:30:50,-2.9750234660968066e-06
2019-04-04 09:30:51,-2.218424369848902e-05
2019-04-04 09:30:52,-0.0001668499140597382
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,-3.633998031728964e-05
2019-04-04 09:30:55,-3.4467238640272664e-05
2019-04-04 09:30:56,-0.0002685501343551049
2019-04-04 09:30:57,-0.0002964014442765953
2019-04-04 09:30:58,-0.0002325362681332733
2019-04-04 09:30:59,-1.0635593018820174e-05
2019-04-04 09:31:00,2.309021768455429e-05
2019-04-04 09:31:01,2.3025086522497936e-07
2019-04-04 09:31:02,1.8666232253086487e-05
2019-04-04 09:31:03,0.00016964852728560393
2019-04-04 09:31:04,0.0001175592144740909
2019-04-04 09:31:05,4.212652870399871e-05
2019-04-04 09:31:06,0.0002723459384258233
2019-04-04 09:31:07,0.0003122943103555334
2019-04-04 09:31:08,0.00022697365694548268
2019-04-04 09:31:09,0.0
2019-04-04 09:31:10,1.7287961173070655e-05
2019-04-04 09:31:11,-7.486732193941738e-06
2019-04-04 09:31:12,-8.775167036835564e-06
2019-04-04 09:31:13,0.0
2019-04-04 09:31:14,-9.359898155718013e-06
2019-04-04 09:31:15,-1.5036881111607146e-05
2019-04-04 09:31:16,-9.279682153982105e-05
2019-04-04 09:31:17,-5.765517698491241e-06
2019-04-04 09:31:18,-6.635278939075126e-06
2019-04-04 09:31:19,-5.453560804692602e-05
2019-04-04 09:31:20,-3.58805939262809e-08
2019-04-04 09:31:21,0.0
2019-04-04 09:31:22,7.2468208591626136e-06
2019-04-04 09:31:23,9.426003544210855e-06
2019-04-04 09:31:24,8.9880408828924e-06
2019-04-04 09:31:25,9.918395862333557e-06
