h_m_s,ABX
2019-04-04 09:30:00,0.0
2019-04-04 09:30:01,0.0
2019-04-04 09:30:02,0.0
2019-04-04 09:30:03,0.0
2019-04-04 09:30:04,0.0
2019-04-04 09:30:05,0.0
2019-04-04 09:30:06,0.0
2019-04-04 09:30:07,0.0
2019-04-04 09:30:08,0.0
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.0
2019-04-04 09:30:11,0.0
2019-04-04 09:30:12,0.0
2019-04-04 09:30:13,0.0
2019-04-04 09:30:14,0.0
2019-04-04 09:30:15,0.0
2019-04-04 09:30:16,0.0
2019-04-04 09:30:17,0.0
2019-04-04 09:30:18,0.0
2019-04-04 09:30:19,0.0
2019-04-04 09:30:20,0.0
2019-04-04 09:30:21,0.0
2019-04-04 09:30:22,0.0
2019-04-04 09:30:23,0.0
2019-04-04 09:30:24,0.0
2019-04-04 09:30:25,0.0
2019-04-04 09:30:26,0.0
2019-04-04 09:30:27,0.0
2019-04-04 09:30:28,0.0
2019-04-04 09:30:29,0.0
2019-04-04 09:30:30,0.0
2019-04-04 09:30:31,0.0
2019-04-04 09:30:32,0.0
2019-04-04 09:30:33,0.0
2019-04-04 09:30:34,0.0
2019-04-04 09:30:35,0.0
2019-04-04 09:30:36,0.0
2019-04-04 09:30:37,0.0
2019-04-04 09:30:38,0.0
2019-04-04 09:30:39,0.0
2019-04-04 09:30:40,0.0
2019-04-04 09:30:41,0.0
2019-04-04 09:30:42,0.0
2019-04-04 09:30:43,0.0
2019-04-04 09:30:44,0.0
2019-04-04 09:30:45,0.0
2019-04-04 09:30:46,0.0
2019-04-04 09:30:47,0.0
2019-04-04 09:30:48,0.0
2019-04-04 09:30:49,0.0
2019-04-04 09:30:50,0.0
2019-04-04 09:30:51,0.0
2019-04-04 09:30:52,0.0
2019-04-04 09:30:53,0.0
2019-04-04 09:30:54,0.0
2019-04-04 09:30:55,0.0
2019-04-04 09:30:56,0.0
2019-04-04 09:30:57,-0.0026755310523756486
2019-04-04 09:30:58,-0.0038574994327207506
2019-04-04 09:30:59,0.0
2019-04-04 09:31:00,-0.004444444444444434
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,0.0
2019-04-04 09:31:03,0.0
2019-04-04 09:31:04,-0.004640137186664609
2019-04-04 09:31:05,-0.004701824655095761
2019-04-04 09:31:06,-0.004275011731201889
2019-04-04 09:31:07,-0.0045702069945049925
2019-04-04 09:31:08,-0.003201830390988876
2019-04-04 09:31:09,-0.003250395271032025
2019-04-04 09:31:10,-0.003206770075609985
2019-04-04 09:31:11,-0.0034498081581751452
2019-04-04 09:31:12,-0.005259274275288828
2019-04-04 09:31:13,0.0
2019-04-04 09:31:14,-0.004629352787577908
2019-04-04 09:31:15,-0.00398548067756847
2019-04-04 09:31:16,-0.004682680803889975
2019-04-04 09:31:17,-0.00460333046597313
2019-04-04 09:31:18,-0.004141613094254649
2019-04-04 09:31:19,-0.004585766385745283
2019-04-04 09:31:20,-0.004194053694770863
2019-04-04 09:31:21,0.0
2019-04-04 09:31:22,0.0
2019-04-04 09:31:23,0.0
2019-04-04 09:31:24,0.0
2019-04-04 09:31:25,0.0
2019-04-04 09:31:26,-0.003112044369938269
2019-04-04 09:31:27,-0.0025408240590777294
2019-04-04 09:31:28,0.0
2019-04-04 09:31:29,0.0
2019-04-04 09:31:30,-0.0017967451469756471
2019-04-04 09:31:31,-0.0016743135314520308
2019-04-04 09:31:32,-0.0017064606938670978
2019-04-04 09:31:33,-0.0020499952539388398
2019-04-04 09:31:34,-0.001689684562495288
2019-04-04 09:31:35,-0.0022309075833266048
2019-04-04 09:31:36,-0.0023262438283328107
2019-04-04 09:31:37,-0.0027697952249272385
2019-04-04 09:31:38,-0.0036242483341458135
