h_m_s,SMU.UN
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,
2019-04-04 09:30:30,0.0005260389268805593
2019-04-04 09:30:31,0.0003997895844292131
2019-04-04 09:30:32,0.00029455081001463905
2019-04-04 09:30:33,0.00029455081001463905
2019-04-04 09:30:34,0.00029455081001463905
2019-04-04 09:30:35,-5.6085249579429175e-05
2019-04-04 09:30:36,-5.6085249579429175e-05
2019-04-04 09:30:37,-5.6085249579429175e-05
2019-04-04 09:30:38,-5.6085249579429175e-05
2019-04-04 09:30:39,-5.6085249579429175e-05
2019-04-04 09:30:40,-5.6085249579429175e-05
2019-04-04 09:30:41,-0.00012618296529968932
2019-04-04 09:30:42,-0.00012618296529968932
2019-04-04 09:30:43,-0.00012618296529968932
2019-04-04 09:30:44,-0.00012618296529968932
2019-04-04 09:30:45,-0.00012618296529968932
2019-04-04 09:30:46,-0.00012618296529968932
2019-04-04 09:30:47,-0.00012618296529968932
2019-04-04 09:30:48,-0.00012618296529968932
2019-04-04 09:30:49,-0.00012618296529968932
2019-04-04 09:30:50,-0.00012618296529968932
2019-04-04 09:30:51,-0.00012618296529968932
2019-04-04 09:30:52,-0.00012618296529968932
2019-04-04 09:30:53,-0.00012618296529968932
2019-04-04 09:30:54,-0.00012618296529968932
2019-04-04 09:30:55,-0.00012618296529968932
2019-04-04 09:30:56,-0.00012618296529968932
2019-04-04 09:30:57,-0.00012618296529968932
2019-04-04 09:30:58,-0.00012618296529968932
2019-04-04 09:30:59,-0.00012618296529968932
2019-04-04 09:31:00,-0.00012618296529968932
2019-04-04 09:31:01,0.0
2019-04-04 09:31:02,0.00020709561345606068
2019-04-04 09:31:03,0.00020709561345606068
2019-04-04 09:31:04,0.00020709561345606068
2019-04-04 09:31:05,0.00020709561345606068
2019-04-04 09:31:06,0.00020709561345606068
2019-04-04 09:31:07,0.00020709561345606068
2019-04-04 09:31:08,0.00020709561345606068
2019-04-04 09:31:09,0.00020709561345606068
2019-04-04 09:31:10,0.00020709561345606068
2019-04-04 09:31:11,0.00020709561345606068
2019-04-04 09:31:12,0.00020709561345606068
2019-04-04 09:31:13,0.00020709561345606068
2019-04-04 09:31:14,0.00020709561345606068
2019-04-04 09:31:15,0.00020709561345606068
2019-04-04 09:31:16,0.00020709561345606068
2019-04-04 09:31:17,0.00020709561345606068
2019-04-04 09:31:18,0.00020709561345606068
2019-04-04 09:31:19,0.00020709561345606068
2019-04-04 09:31:20,0.00020709561345606068
2019-04-04 09:31:21,0.00020709561345606068
2019-04-04 09:31:22,0.00020709561345606068
2019-04-04 09:31:23,0.00020709561345606068
2019-04-04 09:31:24,0.00020709561345606068
2019-04-04 09:31:25,0.00020709561345606068
2019-04-04 09:31:26,0.00020709561345606068
2019-04-04 09:31:27,0.00020709561345606068
2019-04-04 09:31:28,0.00020709561345606068
2019-04-04 09:31:29,0.00020709561345606068
2019-04-04 09:31:30,0.00020709561345606068
2019-04-04 09:31:31,0.00020709561345606068
2019-04-04 09:31:32,0.0
2019-04-04 09:31:33,0.0
2019-04-04 09:31:34,0.0
2019-04-04 09:31:35,0.0
2019-04-04 09:31:36,0.0
2019-04-04 09:31:37,0.0
2019-04-04 09:31:38,0.0
2019-04-04 09:31:39,0.0
2019-04-04 09:31:40,0.0
2019-04-04 09:31:41,0.0
2019-04-04 09:31:42,0.0
2019-04-04 09:31:43,0.0
2019-04-04 09:31:44,0.0
2019-04-04 09:31:45,0.0
2019-04-04 09:31:46,0.0
2019-04-04 09:31:47,0.0
2019-04-04 09:31:48,0.0
2019-04-04 09:31:49,0.0
2019-04-04 09:31:50,0.0
2019-04-04 09:31:51,0.0
2019-04-04 09:31:52,0.0
2019-04-04 09:31:53,0.0
2019-04-04 09:31:54,0.0
2019-04-04 09:31:55,0.0
2019-04-04 09:31:56,0.0
2019-04-04 09:31:57,0.0
2019-04-04 09:31:58,0.0
2019-04-04 09:31:59,0.0
2019-04-04 09:32:00,0.0
2019-04-04 09:32:01,0.0
2019-04-04 09:32:02,0.0
2019-04-04 09:32:03,0.0
2019-04-04 09:32:04,0.0
2019-04-04 09:32:05,0.0
2019-04-04 09:32:06,0.0
2019-04-04 09:32:07,0.0
2019-04-04 09:32:08,0.0
2019-04-04 09:32:09,0.0
2019-04-04 09:32:10,0.0
2019-04-04 09:32:11,0.0
2019-04-04 09:32:12,0.0
2019-04-04 09:32:13,0.0
2019-04-04 09:32:14,0.0
2019-04-04 09:32:15,0.0
2019-04-04 09:32:16,0.0
2019-04-04 09:32:17,0.0
2019-04-04 09:32:18,0.0
2019-04-04 09:32:19,9.2434256135174e-06
2019-04-04 09:32:20,9.2434256135174e-06
2019-04-04 09:32:21,9.2434256135174e-06
2019-04-04 09:32:22,9.2434256135174e-06
2019-04-04 09:32:23,9.2434256135174e-06
2019-04-04 09:32:24,9.2434256135174e-06
2019-04-04 09:32:25,9.2434256135174e-06
2019-04-04 09:32:26,9.2434256135174e-06
2019-04-04 09:32:27,9.2434256135174e-06
2019-04-04 09:32:28,9.2434256135174e-06
2019-04-04 09:32:29,9.2434256135174e-06
2019-04-04 09:32:30,9.2434256135174e-06
2019-04-04 09:32:31,9.2434256135174e-06
2019-04-04 09:32:32,9.2434256135174e-06
2019-04-04 09:32:33,9.2434256135174e-06
2019-04-04 09:32:34,9.2434256135174e-06
2019-04-04 09:32:35,9.2434256135174e-06
2019-04-04 09:32:36,9.2434256135174e-06
2019-04-04 09:32:37,0.0003882238757683285
2019-04-04 09:32:38,0.0003882238757683285
2019-04-04 09:32:39,0.0003882238757683285
2019-04-04 09:32:40,0.0003882238757683285
2019-04-04 09:32:41,0.0003882238757683285
2019-04-04 09:32:42,0.0003882238757683285
2019-04-04 09:32:43,0.0003882238757683285
2019-04-04 09:32:44,0.0005252440672160442
2019-04-04 09:32:45,0.0005252440672160442
