h_m_s,AEM
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,
2019-04-04 09:30:30,-0.003031714004863151
2019-04-04 09:30:31,-0.002061893884283756
2019-04-04 09:30:32,-0.0019037309047634204
2019-04-04 09:30:33,-0.0016964707845482285
2019-04-04 09:30:34,-0.0016114368558380434
2019-04-04 09:30:35,-0.0009184781096049904
2019-04-04 09:30:36,-0.0009184781096049904
2019-04-04 09:30:37,-0.0006013764839522063
2019-04-04 09:30:38,-0.0008232951122027637
2019-04-04 09:30:39,-0.0007640137757561365
2019-04-04 09:30:40,-0.0008926897800940544
2019-04-04 09:30:41,-0.0008926897800940544
2019-04-04 09:30:42,-0.0008926897800940544
2019-04-04 09:30:43,-0.0008580462404645668
2019-04-04 09:30:44,-0.0007784803087881642
2019-04-04 09:30:45,-0.0007784803087881642
2019-04-04 09:30:46,-0.000890369900208164
2019-04-04 09:30:47,-0.000890369900208164
2019-04-04 09:30:48,-0.0009050624728188445
2019-04-04 09:30:49,-0.0009050624728188445
2019-04-04 09:30:50,-0.0008869793065287474
2019-04-04 09:30:51,-0.0008462921823759973
2019-04-04 09:30:52,-0.0008462921823759973
2019-04-04 09:30:53,-0.0008462921823759973
2019-04-04 09:30:54,-0.0009218539843738543
2019-04-04 09:30:55,-0.000978525335872247
2019-04-04 09:30:56,-0.000799914339881702
2019-04-04 09:30:57,-0.0013226930029540645
2019-04-04 09:30:58,-0.0013663612243980335
2019-04-04 09:30:59,-0.0013721185510427738
2019-04-04 09:31:00,-0.0012523524853315512
2019-04-04 09:31:01,-0.0013743406879132146
2019-04-04 09:31:02,-0.0013743406879132146
2019-04-04 09:31:03,-0.0011979050590595242
2019-04-04 09:31:04,-0.0032092712279919466
2019-04-04 09:31:05,-0.0035797860485847844
2019-04-04 09:31:06,-0.0037121127702250834
2019-04-04 09:31:07,-0.004314934502142058
2019-04-04 09:31:08,-0.004257963542625676
2019-04-04 09:31:09,-0.0043170375946925245
2019-04-04 09:31:10,-0.004188802615447446
2019-04-04 09:31:11,-0.004453505219749569
2019-04-04 09:31:12,-0.004453505219749569
2019-04-04 09:31:13,-0.00448802409298389
2019-04-04 09:31:14,-0.00456729464140296
2019-04-04 09:31:15,-0.00456729464140296
2019-04-04 09:31:16,-0.004455816826223104
2019-04-04 09:31:17,-0.004573462154968288
2019-04-04 09:31:18,-0.0038431372549019346
2019-04-04 09:31:19,-0.004999999999999967
2019-04-04 09:31:20,-0.005076831188575698
2019-04-04 09:31:21,-0.004764425622022289
2019-04-04 09:31:22,-0.005352626316099075
2019-04-04 09:31:23,-0.005558496559026025
2019-04-04 09:31:24,-0.005689171246575593
2019-04-04 09:31:25,-0.005632767115229079
2019-04-04 09:31:26,-0.005879979828542668
2019-04-04 09:31:27,-0.005147675599311275
2019-04-04 09:31:28,-0.0051146592190050785
2019-04-04 09:31:29,-0.0051146592190050785
2019-04-04 09:31:30,-0.0051146592190050785
2019-04-04 09:31:31,-0.005212014134275648
2019-04-04 09:31:32,-0.005212014134275648
2019-04-04 09:31:33,-0.005652711535064481
2019-04-04 09:31:34,-0.003646275842537579
2019-04-04 09:31:35,-0.003275785745905308
2019-04-04 09:31:36,-0.0027537964315757476
2019-04-04 09:31:37,-0.002150029533372695
2019-04-04 09:31:38,-0.002091086301612655
2019-04-04 09:31:39,-0.002091086301612655
2019-04-04 09:31:40,-0.002091086301612655
2019-04-04 09:31:41,-0.0017725782150137628
2019-04-04 09:31:42,-0.0017725782150137628
2019-04-04 09:31:43,-0.0017725782150137628
2019-04-04 09:31:44,-0.0017725782150137628
2019-04-04 09:31:45,-0.0017725782150137628
2019-04-04 09:31:46,-0.0018105620339069156
2019-04-04 09:31:47,-0.0014477766287486504
2019-04-04 09:31:48,-0.002017557672624172
2019-04-04 09:31:49,-0.0008572273130357436
2019-04-04 09:31:50,-0.0005321035828308112
2019-04-04 09:31:51,-0.000975177304964534
2019-04-04 09:31:52,-0.0003843879361324946
2019-04-04 09:31:53,-0.0004436163605713527
2019-04-04 09:31:54,-0.00023664438265400375
2019-04-04 09:31:55,-0.00023664438265400375
2019-04-04 09:31:56,1.7754420850876622e-05
2019-04-04 09:31:57,-0.00019525702925297643
2019-04-04 09:31:58,0.00013951600629099297
2019-04-04 09:31:59,0.00013951600629099297
2019-04-04 09:32:00,-0.0007779074290159066
2019-04-04 09:32:01,-0.00014800343367965297
2019-04-04 09:32:02,-0.0006216144214545172
2019-04-04 09:32:03,0.00010659086871558407
2019-04-04 09:32:04,0.0001776514478592647
2019-04-04 09:32:05,0.00011843429857288522
2019-04-04 09:32:06,-0.000272292465785814
2019-04-04 09:32:07,-0.000272292465785814
2019-04-04 09:32:08,-0.00017758204290378623
2019-04-04 09:32:09,-0.00017758204290378623
2019-04-04 09:32:10,-0.00031964767722689094
2019-04-04 09:32:11,-0.00026635887418983517
2019-04-04 09:32:12,-0.00026635887418983517
2019-04-04 09:32:13,-0.00026635887418983517
2019-04-04 09:32:14,-0.00026635887418983517
2019-04-04 09:32:15,-0.00026635887418983517
2019-04-04 09:32:16,-0.00022831629417286947
2019-04-04 09:32:17,-0.0004734288081430495
2019-04-04 09:32:18,-0.0006212833939824922
2019-04-04 09:32:19,-0.0006212833939824922
2019-04-04 09:32:20,-0.0008873114463177331
2019-04-04 09:32:21,-0.0007986511669181241
2019-04-04 09:32:22,-0.0007986511669181241
2019-04-04 09:32:23,-0.0005325758920646394
2019-04-04 09:32:24,-0.0005325758920646394
2019-04-04 09:32:25,-0.0005325758920646394
2019-04-04 09:32:26,-0.00044385264092331437
2019-04-04 09:32:27,-0.00044385264092331437
2019-04-04 09:32:28,-0.00023672140849241753
2019-04-04 09:32:29,-0.00023672140849241753
2019-04-04 09:32:30,0.00029617343916595875
2019-04-04 09:32:31,-0.00025164308129554133
2019-04-04 09:32:32,0.00015232679174389366
