h_m_s,G
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.009712921742029375
2019-04-04 09:30:30,-0.008580977297584953
2019-04-04 09:30:31,-0.007700024916632589
2019-04-04 09:30:32,-0.007341050557658237
2019-04-04 09:30:33,-0.007007717224324913
2019-04-04 09:30:34,-0.006674383890991585
2019-04-04 09:30:35,-0.00664735686396456
2019-04-04 09:30:36,-0.00630837381311708
2019-04-04 09:30:37,-0.0056417071464503685
2019-04-04 09:30:38,-0.0049750404797836555
2019-04-04 09:30:39,-0.004308373813116944
2019-04-04 09:30:40,-0.004043140838206541
2019-04-04 09:30:41,-0.0038571759259258456
2019-04-04 09:30:42,-0.003746064814814737
2019-04-04 09:30:43,-0.0034127314814814107
2019-04-04 09:30:44,-0.0033405092592591907
2019-04-04 09:30:45,-0.0033405092592591907
2019-04-04 09:30:46,-0.0033405092592591907
2019-04-04 09:30:47,0.0065642526455025035
2019-04-04 09:30:48,0.00649017857142843
2019-04-04 09:30:49,0.00649017857142843
2019-04-04 09:30:50,0.00649017857142843
2019-04-04 09:30:51,0.00649017857142843
2019-04-04 09:30:52,0.00649017857142843
2019-04-04 09:30:53,0.00649017857142843
2019-04-04 09:30:54,0.00649017857142843
2019-04-04 09:30:55,-0.003176488095238029
2019-04-04 09:30:56,-0.0029072573260072662
2019-04-04 09:30:57,-0.002492673992673942
2019-04-04 09:30:58,0.0071873260073258526
2019-04-04 09:30:59,-0.0030460073260072627
2019-04-04 09:31:00,-0.0030460073260072627
2019-04-04 09:31:01,-0.0030460073260072627
2019-04-04 09:31:02,-0.0030460073260072627
2019-04-04 09:31:03,-0.0030460073260072627
2019-04-04 09:31:04,-0.0030460073260072627
2019-04-04 09:31:05,-0.0030460073260072627
2019-04-04 09:31:06,-0.0030752470920891346
2019-04-04 09:31:07,-0.0030752470920891346
2019-04-04 09:31:08,-0.0030752470920891346
2019-04-04 09:31:09,-0.0030752470920891346
2019-04-04 09:31:10,-0.0030752470920891346
2019-04-04 09:31:11,-0.003101913758755799
2019-04-04 09:31:12,-0.0032060804254224647
2019-04-04 09:31:13,-0.0032060804254224647
2019-04-04 09:31:14,-0.0032060804254224647
2019-04-04 09:31:15,-0.0032060804254224647
2019-04-04 09:31:16,-0.0032060804254224647
2019-04-04 09:31:17,-0.003110842330184372
2019-04-04 09:31:18,-0.00279212887989198
2019-04-04 09:31:19,-0.002458795546558654
2019-04-04 09:31:20,-0.002125462213225328
2019-04-04 09:31:21,-0.001818795546558668
2019-04-04 09:31:22,-0.0014854622132253418
2019-04-04 09:31:23,-0.0011521288798920157
2019-04-04 09:31:24,-0.0008187955465586896
2019-04-04 09:31:25,-0.0008187955465586896
2019-04-04 09:31:26,-0.0007546929824561264
2019-04-04 09:31:27,-0.0007546929824561264
2019-04-04 09:31:28,-0.0004346929824561342
2019-04-04 09:31:29,-0.00020135964912280577
2019-04-04 09:31:30,0.009655783208019842
2019-04-04 09:31:31,0.009322449874686516
2019-04-04 09:31:32,0.008989116541353188
2019-04-04 09:31:33,0.008655783208019862
2019-04-04 09:31:34,0.008322449874686536
2019-04-04 09:31:35,0.00798911654135321
2019-04-04 09:31:36,0.0076850229741017555
2019-04-04 09:31:37,0.007351689640768429
2019-04-04 09:31:38,0.007018356307435103
2019-04-04 09:31:39,0.006685022974101777
2019-04-04 09:31:40,0.006351689640768451
2019-04-04 09:31:41,0.006045022974101789
2019-04-04 09:31:42,-0.0038878473962683686
2019-04-04 09:31:43,-0.0038878473962683686
2019-04-04 09:31:44,-0.0038878473962683686
2019-04-04 09:31:45,-0.0038878473962683686
2019-04-04 09:31:46,-0.0038878473962683686
2019-04-04 09:31:47,-0.0038878473962683686
2019-04-04 09:31:48,-0.003906560846560766
2019-04-04 09:31:49,-0.003906560846560766
2019-04-04 09:31:50,-0.003906560846560766
2019-04-04 09:31:51,-0.0038798941798940997
2019-04-04 09:31:52,-0.0038798941798940997
2019-04-04 09:31:53,-0.0038798941798940997
2019-04-04 09:31:54,-0.003953968253968173
2019-04-04 09:31:55,-0.004028042328042245
2019-04-04 09:31:56,-0.004028042328042245
2019-04-04 09:31:57,-0.004028042328042245
2019-04-04 09:31:58,-0.004028042328042245
2019-04-04 09:31:59,-0.004028042328042245
2019-04-04 09:32:00,0.0057814814814813546
2019-04-04 09:32:01,-0.003926851851851772
2019-04-04 09:32:02,-0.0035935185185184456
2019-04-04 09:32:03,-0.0032601851851851195
2019-04-04 09:32:04,-0.0029268518518517934
2019-04-04 09:32:05,-0.0025935185185184673
2019-04-04 09:32:06,-0.002260185185185141
2019-04-04 09:32:07,-0.001926851851851815
2019-04-04 09:32:08,-0.001593518518518489
2019-04-04 09:32:09,-0.0012601851851851628
2019-04-04 09:32:10,0.00887870370370351
2019-04-04 09:32:11,0.00887870370370351
2019-04-04 09:32:12,-0.0010898148148147952
2019-04-04 09:32:13,-0.0010898148148147952
2019-04-04 09:32:14,-0.0010898148148147952
2019-04-04 09:32:15,-0.0010898148148147952
2019-04-04 09:32:16,-0.0010898148148147952
2019-04-04 09:32:17,-0.0010898148148147952
2019-04-04 09:32:18,-0.001056481481481462
2019-04-04 09:32:19,-0.001056481481481462
2019-04-04 09:32:20,-0.001056481481481462
2019-04-04 09:32:21,-0.001056481481481462
2019-04-04 09:32:22,-0.001056481481481462
2019-04-04 09:32:23,-0.001056481481481462
2019-04-04 09:32:24,-0.0009824074074073885
2019-04-04 09:32:25,-0.0009083333333333166
2019-04-04 09:32:26,-0.0009083333333333166
2019-04-04 09:32:27,-0.0009579787234042358
2019-04-04 09:32:28,0.008792021276595556
2019-04-04 09:32:29,-0.0012913120567375636
2019-04-04 09:32:30,-0.0009579787234042358
2019-04-04 09:32:31,-0.0009163120567375702
2019-04-04 09:32:32,-0.0009163120567375702
2019-04-04 09:32:33,-0.0009163120567375702
