h_m_s,HSD
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.0013398235225820058
2019-04-04 09:30:30,-0.0012472309299894294
2019-04-04 09:30:31,-0.0012472309299894294
2019-04-04 09:30:32,-0.0012472309299894294
2019-04-04 09:30:33,-0.0012472309299894294
2019-04-04 09:30:34,-0.0012472309299894294
2019-04-04 09:30:35,-0.0012472309299894294
2019-04-04 09:30:36,-0.0012242424242423031
2019-04-04 09:30:37,0.00878131313131304
2019-04-04 09:30:38,-0.001285353535355166
2019-04-04 09:30:39,-0.001352020202021808
2019-04-04 09:30:40,-0.0013964646464662209
2019-04-04 09:30:41,-0.0014131313131328423
2019-04-04 09:30:42,-0.00149646464646613
2019-04-04 09:30:43,0.008170202020202107
2019-04-04 09:30:44,-0.0015631313131327478
2019-04-04 09:30:45,-0.001396464646466056
2019-04-04 09:30:46,-0.001452020202019894
2019-04-04 09:30:47,-0.0013075757575772545
2019-04-04 09:30:48,-0.0014742424242438872
2019-04-04 09:30:49,-0.0014742424242438282
2019-04-04 09:30:50,-0.001428787878789228
2019-04-04 09:30:51,-0.0013833333333346277
2019-04-04 09:30:52,-0.0013833333333345688
2019-04-04 09:30:53,-0.0013833333333345098
2019-04-04 09:30:54,-0.0013833333333344508
2019-04-04 09:30:55,-0.0013833333333343918
2019-04-04 09:30:56,-0.001383333333334331
2019-04-04 09:30:57,-0.0013833333333342721
2019-04-04 09:30:58,-0.0013833333333342131
2019-04-04 09:30:59,-0.0013833333333341542
2019-04-04 09:31:00,-0.0013833333333340952
2019-04-04 09:31:01,0.008283333333334142
2019-04-04 09:31:02,-0.0017833333333340407
2019-04-04 09:31:03,-0.0018574074074063363
2019-04-04 09:31:04,-0.0018574074074063363
2019-04-04 09:31:05,-0.0018574074074063363
2019-04-04 09:31:06,0.008133820662768888
2019-04-04 09:31:07,-0.001838401559453121
2019-04-04 09:31:08,0.00828343752100641
2019-04-04 09:31:09,-0.0015832291456600693
2019-04-04 09:31:10,0.008476599914168744
2019-04-04 09:31:11,0.008544781732350517
2019-04-04 09:31:12,0.00858266052022926
2019-04-04 09:31:13,0.00889218432975306
2019-04-04 09:31:14,-0.001041149003581824
2019-04-04 09:31:15,-0.0008744823369151323
2019-04-04 09:31:16,-0.0008189267813595181
2019-04-04 09:31:17,-0.0007967045591372405
2019-04-04 09:31:18,-0.0006300378924705471
2019-04-04 09:31:19,-0.0006300378924705471
2019-04-04 09:31:20,-0.0006300378924705471
2019-04-04 09:31:21,-0.0006300378924705471
2019-04-04 09:31:22,0.00928662877419767
2019-04-04 09:31:23,0.009119962107530976
2019-04-04 09:31:24,-0.000991149003581715
2019-04-04 09:31:25,-0.0010652230776540712
2019-04-04 09:31:26,-0.0010890326014654245
2019-04-04 09:31:27,-0.0011128421252750032
2019-04-04 09:31:28,-0.0011366516490845802
2019-04-04 09:31:29,-0.0011604611728941571
2019-04-04 09:31:30,-0.0013271278395608505
2019-04-04 09:31:31,-0.0010160167284479701
2019-04-04 09:31:32,-0.0009493500617813507
2019-04-04 09:31:33,-0.0008752759877072788
2019-04-04 09:31:34,-0.0008752759877072788
2019-04-04 09:31:35,-0.0008752759877072788
2019-04-04 09:31:36,-0.0008816555730342315
2019-04-04 09:31:37,-0.0008816555730342315
2019-04-04 09:31:38,-0.0008701613201606666
2019-04-04 09:31:39,-0.0008909946534939994
2019-04-04 09:31:40,-0.0008397126022119498
2019-04-04 09:31:41,-0.0008245610870604367
2019-04-04 09:31:42,-0.000779106541605892
2019-04-04 09:31:43,-0.0007552970177963671
2019-04-04 09:31:44,-0.000755297017796426
2019-04-04 09:31:45,-0.000755297017796485
2019-04-04 09:31:46,-0.0007552970177965457
2019-04-04 09:31:47,-0.0008108525733539311
2019-04-04 09:31:48,-0.0008664081289095418
2019-04-04 09:31:49,-0.0009219636844651526
2019-04-04 09:31:50,-0.001088630351131846
2019-04-04 09:31:51,0.00868914742664746
2019-04-04 09:31:52,0.00855025853775855
2019-04-04 09:31:53,-0.001322290481849113
2019-04-04 09:31:54,0.008757074597515712
2019-04-04 09:31:55,-0.001195517995076667
2019-04-04 09:31:56,-0.001171708471267149
2019-04-04 09:31:57,-0.0011478989474576293
2019-04-04 09:31:58,-0.0011240894236481114
2019-04-04 09:31:59,-0.0011002798998385934
2019-04-04 09:32:00,-0.000933613233171959
2019-04-04 09:32:01,-0.0009113910109497369
2019-04-04 09:32:02,-0.0009113910109497369
2019-04-04 09:32:03,-0.0009391687887292874
2019-04-04 09:32:04,-0.0009669465665070598
2019-04-04 09:32:05,-0.0009947243442848322
2019-04-04 09:32:06,-0.0009795728291332583
2019-04-04 09:32:07,-0.0009795728291331993
2019-04-04 09:32:08,-0.0009795728291331404
2019-04-04 09:32:09,-0.0009587394957997486
2019-04-04 09:32:10,-0.0009587394957996896
2019-04-04 09:32:11,-0.0009587394957996306
2019-04-04 09:32:12,-0.0009587394957995717
2019-04-04 09:32:13,-0.0009587394957995109
2019-04-04 09:32:14,-0.000958739495799452
2019-04-04 09:32:15,-0.000958739495799393
2019-04-04 09:32:16,-0.000958739495799334
2019-04-04 09:32:17,-0.0009031839402437233
2019-04-04 09:32:18,-0.001014295051354806
2019-04-04 09:32:19,-0.0011254061624658886
2019-04-04 09:32:20,-0.0011254061624658886
2019-04-04 09:32:21,-0.001069850606910323
2019-04-04 09:32:22,-0.0010142950513547591
2019-04-04 09:32:23,-0.0011417460317468837
2019-04-04 09:32:24,-0.0011329885057462016
2019-04-04 09:32:25,-0.0011063218390795371
2019-04-04 09:32:26,-0.0011063218390795371
2019-04-04 09:32:27,-0.0011063218390795371
2019-04-04 09:32:28,-0.0011063218390795371
2019-04-04 09:32:29,-0.0011063218390795371
2019-04-04 09:32:30,0.008856641123883215
2019-04-04 09:32:31,-0.0011433588761182896
2019-04-04 09:32:32,-0.0011433588761182289
