h_m_s,ENB
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,-0.006789295051357298
2019-04-04 09:30:30,-0.006039295051357134
2019-04-04 09:30:31,-0.004972628384690252
2019-04-04 09:30:32,-0.004457476869538603
2019-04-04 09:30:33,-0.0036708102028717507
2019-04-04 09:30:34,-0.002884143536204902
2019-04-04 09:30:35,-0.0021063657584270423
2019-04-04 09:30:36,-0.0017730324250935375
2019-04-04 09:30:37,-0.0014396990917600362
2019-04-04 09:30:38,-0.0011063657584265314
2019-04-04 09:30:39,-0.011065961718020285
2019-04-04 09:30:40,-0.011025557677616031
2019-04-04 09:30:41,-0.010985153637211774
2019-04-04 09:30:42,-0.010849511501569462
2019-04-04 09:30:43,-0.010331129148628288
2019-04-04 09:30:44,7.895857066794396e-05
2019-04-04 09:30:45,0.00036404628996631466
2019-04-04 09:30:46,0.0006491340092646819
2019-04-04 09:30:47,0.0009824673425981832
2019-04-04 09:30:48,0.0010935784537093526
2019-04-04 09:30:49,-0.008928643768510939
2019-04-04 09:30:50,-0.009097532657399637
2019-04-04 09:30:51,-0.009253088212955226
2019-04-04 09:30:52,-0.0092753104351776
2019-04-04 09:30:53,-0.008894358054225178
2019-04-04 09:30:54,0.0010463826865136534
2019-04-04 09:30:55,0.0010463826865136534
2019-04-04 09:30:56,0.0010463826865136534
2019-04-04 09:30:57,-0.008731395091262178
2019-04-04 09:30:58,-0.008509172869039999
2019-04-04 09:30:59,-0.008309172869040132
2019-04-04 09:31:00,-0.008198061757929198
2019-04-04 09:31:01,-0.008086950646818265
2019-04-04 09:31:02,-0.007935435495303143
2019-04-04 09:31:03,-0.007602102161969878
2019-04-04 09:31:04,-0.007342842902710669
2019-04-04 09:31:05,-0.0070095095693774034
2019-04-04 09:31:06,-0.006676176236044138
2019-04-04 09:31:07,-0.006342842902710869
2019-04-04 09:31:08,-0.006009509569377604
2019-04-04 09:31:09,-0.005716580276448353
2019-04-04 09:31:10,-0.005423650983519105
2019-04-04 09:31:11,-0.005130721690589857
2019-04-04 09:31:12,-0.004837792397660608
2019-04-04 09:31:13,-0.004650292397660646
2019-04-04 09:31:14,0.005507602339186447
2019-04-04 09:31:15,-0.0045008187134433775
2019-04-04 09:31:16,-0.004509239766075191
2019-04-04 09:31:17,-0.0042559064327421445
2019-04-04 09:31:18,-0.003922573099409113
2019-04-04 09:31:19,0.006192241715403514
2019-04-04 09:31:20,0.006307056530218132
2019-04-04 09:31:21,0.00642187134503275
2019-04-04 09:31:22,0.006403352826514157
2019-04-04 09:31:23,0.006162612085773227
2019-04-04 09:31:24,0.006088538011698929
2019-04-04 09:31:25,0.006088538011698693
2019-04-04 09:31:26,-0.0038281286549662376
2019-04-04 09:31:27,-0.004013313840151623
2019-04-04 09:31:28,-0.003902202729040769
2019-04-04 09:31:29,-0.003768869395707605
2019-04-04 09:31:30,-0.0035466471734855055
2019-04-04 09:31:31,-0.0033244249512634043
2019-04-04 09:31:32,-0.003324424951263642
2019-04-04 09:31:33,-0.003324424951263878
2019-04-04 09:31:34,-0.0032503508771900558
2019-04-04 09:31:35,0.006530899122807762
2019-04-04 09:31:36,0.0063121491228075675
2019-04-04 09:31:37,0.006093399122807375
2019-04-04 09:31:38,0.005874649122807182
2019-04-04 09:31:39,0.005541315789473677
2019-04-04 09:31:40,-0.004625350877198191
2019-04-04 09:31:41,-0.004792017543864942
2019-04-04 09:31:42,-0.004958684210531694
2019-04-04 09:31:43,-0.0051253508771984466
2019-04-04 09:31:44,-0.004985000000005393
2019-04-04 09:31:45,-0.004761666666664843
2019-04-04 09:31:46,-0.004533431372547242
2019-04-04 09:31:47,-0.004453431372547258
2019-04-04 09:31:48,-0.004453431372547258
2019-04-04 09:31:49,-0.004212690631806565
2019-04-04 09:31:50,-0.003971949891065871
2019-04-04 09:31:51,-0.0039872477976751145
2019-04-04 09:31:52,0.005963170362425623
2019-04-04 09:31:53,0.015764194791107723
2019-04-04 09:31:54,0.015430861457774458
2019-04-04 09:31:55,0.015125305902212076
2019-04-04 09:31:56,0.014708639235545728
2019-04-04 09:31:57,0.004671602198510925
2019-04-04 09:31:58,0.004338268865177894
2019-04-04 09:31:59,0.004004935531844864
2019-04-04 09:32:00,-0.006181731134819537
2019-04-04 09:32:01,-0.0063683978014859345
2019-04-04 09:32:02,-0.006368397801485695
2019-04-04 09:32:03,-0.006368397801485459
2019-04-04 09:32:04,-0.006546969230056661
2019-04-04 09:32:05,-0.0063282192300564664
2019-04-04 09:32:06,0.0035762450556560826
2019-04-04 09:32:07,0.0034807093413706247
2019-04-04 09:32:08,0.0033851736270851668
2019-04-04 09:32:09,0.0033851736270854027
2019-04-04 09:32:10,0.0032185069604188862
2019-04-04 09:32:11,0.0030518402937523732
2019-04-04 09:32:12,-0.00708034361429162
2019-04-04 09:32:13,0.0025431131758298746
2019-04-04 09:32:14,0.0022282983610220145
2019-04-04 09:32:15,0.011644965027686652
2019-04-04 09:32:16,-0.008657555980719673
2019-04-04 09:32:17,-0.008657555980719437
2019-04-04 09:32:18,-0.008657555980719201
2019-04-04 09:32:19,-0.008657555980718965
2019-04-04 09:32:20,-0.008657555980718726
2019-04-04 09:32:21,-0.008401517333375661
2019-04-04 09:32:22,-0.008211194752730404
2019-04-04 09:32:23,-0.007871478440673617
2019-04-04 09:32:24,-0.007300049869244991
2019-04-04 09:32:25,-0.006661160980356209
2019-04-04 09:32:26,-0.005994494313689678
2019-04-04 09:32:27,-0.005661160980356409
2019-04-04 09:32:28,0.004482298935260358
2019-04-04 09:32:29,0.01423229893525818
2019-04-04 09:32:30,0.0037864869694480587
2019-04-04 09:32:31,-0.006243062580106835
2019-04-04 09:32:32,-0.006243062580106835
2019-04-04 09:32:33,-0.006343837773905337
2019-04-04 09:32:34,-0.006165266345333896
2019-04-04 09:32:35,-0.006415266345333848
