h_m_s,BAM.A
2019-04-04 09:30:00,
2019-04-04 09:30:01,0.10878787878787706
2019-04-04 09:30:02,0.049999999999997144
2019-04-04 09:30:03,0.0641666666666641
2019-04-04 09:30:04,0.09916666666666424
2019-04-04 09:30:05,0.11499999999999841
2019-04-04 09:30:06,0.1099999999999994
2019-04-04 09:30:07,0.1099999999999994
2019-04-04 09:30:08,0.1099999999999994
2019-04-04 09:30:09,0.1099999999999994
2019-04-04 09:30:10,0.10449999999999979
2019-04-04 09:30:11,0.09900000000000017
2019-04-04 09:30:12,0.09900000000000017
2019-04-04 09:30:13,0.09900000000000017
2019-04-04 09:30:14,0.09900000000000017
2019-04-04 09:30:15,0.09900000000000017
2019-04-04 09:30:16,0.09450000000000178
2019-04-04 09:30:17,0.09000000000000338
2019-04-04 09:30:18,0.09000000000000338
2019-04-04 09:30:19,0.09000000000000338
2019-04-04 09:30:20,0.09000000000000338
2019-04-04 09:30:21,0.09000000000000338
2019-04-04 09:30:22,0.09000000000000338
2019-04-04 09:30:23,0.09000000000000338
2019-04-04 09:30:24,0.09000000000000338
2019-04-04 09:30:25,0.09000000000000338
2019-04-04 09:30:26,0.09000000000000338
2019-04-04 09:30:27,0.09000000000000338
2019-04-04 09:30:28,0.09000000000000338
2019-04-04 09:30:29,0.08937500000000306
2019-04-04 09:30:30,0.08875000000000274
2019-04-04 09:30:31,0.08875000000000274
2019-04-04 09:30:32,0.0843750000000005
2019-04-04 09:30:33,0.07999999999999827
2019-04-04 09:30:34,0.07999999999999827
2019-04-04 09:30:35,0.07999999999999827
2019-04-04 09:30:36,0.07999999999999827
2019-04-04 09:30:37,0.07937499999999795
2019-04-04 09:30:38,0.07874999999999763
2019-04-04 09:30:39,0.07794642857142578
2019-04-04 09:30:40,0.06857142857142587
2019-04-04 09:30:41,0.06000000000000002
2019-04-04 09:30:42,0.060000000000002246
2019-04-04 09:30:43,0.05850000000000255
2019-04-04 09:30:44,0.06100000000000205
2019-04-04 09:30:45,0.06937500000000171
2019-04-04 09:30:46,0.07187500000000122
2019-04-04 09:30:47,0.07000000000000026
2019-04-04 09:30:48,0.07000000000000026
2019-04-04 09:30:49,0.07000000000000026
2019-04-04 09:30:50,0.0653846153846141
2019-04-04 09:30:51,0.06076923076922794
2019-04-04 09:30:52,0.055384615384612534
2019-04-04 09:30:53,0.046666666666664455
2019-04-04 09:30:54,0.04333333333333178
2019-04-04 09:30:55,0.04166666666666545
2019-04-04 09:30:56,0.0349999999999996
2019-04-04 09:30:57,0.024999999999998038
2019-04-04 09:30:58,0.019999999999995986
2019-04-04 09:30:59,0.027499999999998047
2019-04-04 09:31:00,0.03749999999999961
2019-04-04 09:31:01,0.03999999999999911
2019-04-04 09:31:02,0.03999999999999911
2019-04-04 09:31:03,0.03999999999999911
2019-04-04 09:31:04,0.03999999999999911
2019-04-04 09:31:05,0.03999999999999911
2019-04-04 09:31:06,0.03999999999999911
2019-04-04 09:31:07,0.041499999999998635
2019-04-04 09:31:08,0.04899999999999963
2019-04-04 09:31:09,0.06000000000000117
2019-04-04 09:31:10,0.060312500000000616
2019-04-04 09:31:11,0.05781250000000111
2019-04-04 09:31:12,0.05250000000000017
2019-04-04 09:31:13,0.04499999999999811
2019-04-04 09:31:14,0.04249999999999861
2019-04-04 09:31:15,0.039999999999999106
2019-04-04 09:31:16,0.039999999999999106
2019-04-04 09:31:17,0.039999999999999106
2019-04-04 09:31:18,0.039999999999999106
2019-04-04 09:31:19,0.039999999999999106
2019-04-04 09:31:20,0.039999999999999106
2019-04-04 09:31:21,0.039999999999999106
2019-04-04 09:31:22,0.039999999999999106
2019-04-04 09:31:23,0.039999999999999106
2019-04-04 09:31:24,0.039999999999999106
2019-04-04 09:31:25,0.039999999999999106
2019-04-04 09:31:26,0.039999999999999106
2019-04-04 09:31:27,0.039999999999999106
2019-04-04 09:31:28,0.039999999999999106
2019-04-04 09:31:29,0.039999999999999106
2019-04-04 09:31:30,0.039999999999999106
2019-04-04 09:31:31,0.039999999999999106
2019-04-04 09:31:32,0.03444444444444327
2019-04-04 09:31:33,0.02444444444444171
2019-04-04 09:31:34,0.01999999999999598
2019-04-04 09:31:35,0.01999999999999598
2019-04-04 09:31:36,0.01999999999999598
2019-04-04 09:31:37,0.01999999999999598
2019-04-04 09:31:38,0.023749999999997898
2019-04-04 09:31:39,0.027499999999999816
2019-04-04 09:31:40,0.028750000000000456
2019-04-04 09:31:41,0.027499999999999816
2019-04-04 09:31:42,0.027499999999999816
2019-04-04 09:31:43,0.032916666666665706
2019-04-04 09:31:44,0.037916666666664114
2019-04-04 09:31:45,0.03999999999999791
2019-04-04 09:31:46,0.03999999999999851
2019-04-04 09:31:47,0.039999999999999106
2019-04-04 09:31:48,0.039999999999999106
2019-04-04 09:31:49,0.039999999999999106
2019-04-04 09:31:50,0.04499999999999811
2019-04-04 09:31:51,0.049999999999997116
2019-04-04 09:31:52,0.049999999999997116
2019-04-04 09:31:53,0.049999999999997116
2019-04-04 09:31:54,0.049999999999997116
2019-04-04 09:31:55,0.04499999999999811
2019-04-04 09:31:56,0.0350000000000001
2019-04-04 09:31:57,0.030000000000001095
2019-04-04 09:31:58,0.030000000000001095
2019-04-04 09:31:59,0.030000000000001095
2019-04-04 09:32:00,0.03333333333333377
2019-04-04 09:32:01,0.036666666666666445
2019-04-04 09:32:02,0.036666666666666445
2019-04-04 09:32:03,0.03333333333333377
