h_m_s,CNQ
2019-04-04 09:30:00,1000.0
2019-04-04 09:30:01,340.00000000000006
2019-04-04 09:30:02,178.94736842105266
2019-04-04 09:30:03,146.15384615384616
2019-04-04 09:30:04,90.04739336492892
2019-04-04 09:30:05,57.14285714285716
2019-04-04 09:30:06,36.91112190383683
2019-04-04 09:30:07,24.107850911974634
2019-04-04 09:30:08,15.857284440039653
2019-04-04 09:30:09,10.478242137009916
2019-04-04 09:30:10,6.944642744961426
2019-04-04 09:30:11,4.611781660961992
2019-04-04 09:30:12,3.0665815118675597
2019-04-04 09:30:13,2.0408741268644133
2019-04-04 09:30:14,1.3590256423187859
2019-04-04 09:30:15,0.9053263654782912
2019-04-04 09:30:16,0.6032443093487118
2019-04-04 09:30:17,0.4020267211339593
2019-04-04 09:30:18,0.26795733632968327
2019-04-04 09:30:19,0.17861135532266018
2019-04-04 09:30:20,0.11906229814300061
2019-04-04 09:30:21,0.0793695602091633
2019-04-04 09:30:22,0.05291068252675308
2019-04-04 09:30:23,0.03527274060111691
2019-04-04 09:30:24,0.023514694757107567
2019-04-04 09:30:25,0.01567625622550746
2019-04-04 09:30:26,0.010450745509740775
2019-04-04 09:30:27,66.67441606289991
2019-04-04 09:30:28,44.4494368505313
2019-04-04 09:30:29,29.63288063060519
2019-04-04 09:30:30,19.75521941177537
2019-04-04 09:30:31,13.170131011467172
2019-04-04 09:30:32,8.780080557413553
2019-04-04 09:30:33,5.853384023362002
2019-04-04 09:30:34,3.902254675614174
2019-04-04 09:30:35,2.6015025215384595
2019-04-04 09:30:36,1.7343347496756711
2019-04-04 09:30:37,1.1562230488134546
2019-04-04 09:30:38,0.7708153135925372
2019-04-04 09:30:39,0.5138768524914278
2019-04-04 09:30:40,0.3425845580000948
2019-04-04 09:30:41,66.8950590470465
2019-04-04 09:30:42,44.59670543384955
2019-04-04 09:30:43,29.731136690337582
2019-04-04 09:30:44,19.820757675530782
2019-04-04 09:30:45,13.213838397897142
2019-04-04 09:30:46,8.809225575284001
2019-04-04 09:30:47,5.872817039827515
2019-04-04 09:30:48,3.9152113552797574
2019-04-04 09:30:49,2.610140901473059
2019-04-04 09:30:50,1.7400939334056933
2019-04-04 09:30:51,1.1600626218661603
2019-04-04 09:30:52,0.7733750810644171
2019-04-04 09:30:53,0.515583387296416
2019-04-04 09:30:54,0.3437222581621164
2019-04-04 09:30:55,0.22914817209230234
2019-04-04 09:30:56,0.1527654480545237
2019-04-04 09:30:57,0.10184363203323304
2019-04-04 09:30:58,0.06789575468743711
2019-04-04 09:30:59,0.04526383645767588
2019-04-04 09:31:00,0.030175890971510355
2019-04-04 09:31:01,0.02011726064755199
2019-04-04 09:31:02,-99.98658849370752
2019-04-04 09:31:03,466.67560767390586
2019-04-04 09:31:04,311.1170717820468
2019-04-04 09:31:05,207.4113811877836
2019-04-04 09:31:06,138.274254125079
2019-04-04 09:31:07,92.18283608333711
2019-04-04 09:31:08,61.45522405553634
2019-04-04 09:31:09,40.970149370347904
2019-04-04 09:31:10,60.64676624690478
2019-04-04 09:31:11,40.43117749793229
2019-04-04 09:31:12,26.95411833195298
2019-04-04 09:31:13,17.969412221301152
2019-04-04 09:31:14,345.31294148088773
2019-04-04 09:31:15,230.20862765392042
2019-04-04 09:31:16,120.1390851026106
2019-04-04 09:31:17,-19.907276598262154
2019-04-04 09:31:18,-13.271517732174692
2019-04-04 09:31:19,191.1523215118852
2019-04-04 09:31:20,127.43488100792314
2019-04-04 09:31:21,84.95658733861528
2019-04-04 09:31:22,56.63772489241012
2019-04-04 09:31:23,4.425149928273334
2019-04-04 09:31:24,2.9500999521822213
2019-04-04 09:31:25,1.9667333014548138
2019-04-04 09:31:26,-32.02217779903013
2019-04-04 09:31:27,-21.348118532686755
