h_m_s,CRON
2019-04-04 09:30:00,5000.0
2019-04-04 09:30:01,2000.0
2019-04-04 09:30:02,1005.2631578947368
2019-04-04 09:30:03,587.6923076923077
2019-04-04 09:30:04,362.0853080568721
2019-04-04 09:30:05,229.77443609022566
2019-04-04 09:30:06,148.42156386595443
2019-04-04 09:30:07,96.93893735130854
2019-04-04 09:30:08,63.76297532731735
2019-04-04 09:30:09,42.13356311934514
2019-04-04 09:30:10,-275.58409813876716
2019-04-04 09:30:11,-183.00922545961373
2019-04-04 09:30:12,-222.20756040957525
2019-04-04 09:30:13,-147.8837784283717
2019-04-04 09:30:14,-98.4763559504417
2019-04-04 09:30:15,-65.6008530244106
2019-04-04 09:30:16,-43.711685403627904
2019-04-04 09:30:17,-29.13125790947373
2019-04-04 09:30:18,-19.416456327425518
2019-04-04 09:30:19,-12.942357271150936
2019-04-04 09:30:20,-8.62737308782689
2019-04-04 09:30:21,-5.751197637045159
2019-04-04 09:30:22,-637.2237323177541
2019-04-04 09:30:23,-424.8032030876733
2019-04-04 09:30:24,-283.1965274660826
2019-04-04 09:30:25,-188.79519264822255
2019-04-04 09:30:26,-292.53195429726725
2019-04-04 09:30:27,-195.02015866495856
2019-04-04 09:30:28,-130.01293058166223
2019-04-04 09:30:29,-86.67506104333255
2019-04-04 09:30:30,-57.78327357994317
2019-04-04 09:30:31,-38.52213774278248
2019-04-04 09:30:32,-25.681405320183845
2019-04-04 09:30:33,-17.120928061613412
2019-04-04 09:30:34,-11.413948121741573
2019-04-04 09:30:35,-7.609297005902475
2019-04-04 09:30:36,-5.072863896412949
2019-04-04 09:30:37,-70.04858915251997
2019-04-04 09:30:38,-46.6990562674953
2019-04-04 09:30:39,-31.13270277054458
2019-04-04 09:30:40,-20.755134554680605
2019-04-04 09:30:41,-13.836756091705995
2019-04-04 09:30:42,-9.224503937545746
2019-04-04 09:30:43,-6.149669236767574
2019-04-04 09:30:44,-4.099779466765231
2019-04-04 09:30:45,-2.7331863003265315
2019-04-04 09:30:46,-1.822124195395337
2019-04-04 09:30:47,-1.2147494614536245
2019-04-04 09:30:48,-0.8098329733498533
2019-04-04 09:30:49,-0.5398886484765408
2019-04-04 09:30:50,-0.35992576546286664
2019-04-04 09:30:51,-0.23995051022495084
2019-04-04 09:30:52,333.17336648145044
2019-04-04 09:30:53,222.11557761989536
2019-04-04 09:30:54,214.74371841174107
2019-04-04 09:30:55,143.162478931305
2019-04-04 09:30:56,95.44165261648969
2019-04-04 09:30:57,63.627768409046325
2019-04-04 09:30:58,42.418512271832306
2019-04-04 09:30:59,28.279008180836982
2019-04-04 09:31:00,18.852672120387076
2019-04-04 09:31:01,12.568448080182092
2019-04-04 09:31:02,8.3789653867543
2019-04-04 09:31:03,5.585976924487863
2019-04-04 09:31:04,3.7239846163185737
2019-04-04 09:31:05,2.4826564108760856
2019-04-04 09:31:06,1.655104273916073
2019-04-04 09:31:07,1.1034028492767967
2019-04-04 09:31:08,0.7356018995176044
2019-04-04 09:31:09,0.49040126634495396
2019-04-04 09:31:10,0.32693417756325127
2019-04-04 09:31:11,0.21795611837547804
2019-04-04 09:31:12,0.14530407891697522
2019-04-04 09:31:13,0.09686938594464564
2019-04-04 09:31:14,0.06457959062976176
2019-04-04 09:31:15,0.04305306041984029
2019-04-04 09:31:16,0.028702040279893135
2019-04-04 09:31:17,0.01913469351992858
2019-04-04 09:31:18,-266.6539102043233
2019-04-04 09:31:19,-177.76927346954818
2019-04-04 09:31:20,-118.51284897969849
2019-04-04 09:31:21,-79.00856598646553
2019-04-04 09:31:22,-119.33904399097713
2019-04-04 09:31:23,-146.22602932731812
2019-04-04 09:31:24,-164.1506862182121
2019-04-04 09:31:25,-109.43379081214138
2019-04-04 09:31:26,-139.62252720809428
2019-04-04 09:31:27,106.91831519460385
2019-04-04 09:31:28,71.27887679640257
2019-04-04 09:31:29,47.51925119760171
2019-04-04 09:31:30,31.67950079840114
2019-04-04 09:31:31,21.119667198934092
2019-04-04 09:31:32,14.079778132622728
2019-04-04 09:31:33,9.386518755081818
2019-04-04 09:31:34,6.257679170054545
2019-04-04 09:31:35,4.171786113369697
2019-04-04 09:31:36,-63.885475924420206
2019-04-04 09:31:37,-42.590317282946806
2019-04-04 09:31:38,-128.39354485529788
2019-04-04 09:31:39,-85.59569657019858
2019-04-04 09:31:40,-57.063797713465725
2019-04-04 09:31:41,-38.04253180897715
2019-04-04 09:31:42,-25.361687872651434
2019-04-04 09:31:43,-116.90779191510096
2019-04-04 09:31:44,-77.93852794340064
2019-04-04 09:31:45,-51.95901862893376
2019-04-04 09:31:46,-34.63934575262251
2019-04-04 09:31:47,-23.092897168415007
2019-04-04 09:31:48,-15.395264778943337
2019-04-04 09:31:49,-10.263509852628891
2019-04-04 09:31:50,-6.842339901752594
2019-04-04 09:31:51,-4.561559934501729
2019-04-04 09:31:52,-3.0410399563344863
2019-04-04 09:31:53,-2.0273599708896577
2019-04-04 09:31:54,-1.3515733139264385
2019-04-04 09:31:55,-0.9010488759509591
2019-04-04 09:31:56,-0.6006992506339727
2019-04-04 09:31:57,-0.4004661670893151
2019-04-04 09:31:58,-0.26697744472621004
2019-04-04 09:31:59,-0.1779849631508067
2019-04-04 09:32:00,-0.11865664210053779
2019-04-04 09:32:01,-0.0791044280670252
2019-04-04 09:32:02,-0.0527362853780168
2019-04-04 09:32:03,433.298175809748
2019-04-04 09:32:04,388.865450539832
2019-04-04 09:32:05,259.24363369322134
2019-04-04 09:32:06,239.4957557954809
2019-04-04 09:32:07,159.66383719698726
