h_m_s,ABX
2019-04-04 09:30:00,-5700.0
2019-04-04 09:30:01,-2340.0
2019-04-04 09:30:02,-568.4210526315791
2019-04-04 09:30:03,-332.30769230769243
2019-04-04 09:30:04,-204.7393364928911
2019-04-04 09:30:05,-129.9248120300753
2019-04-04 09:30:06,-83.92423506556588
2019-04-04 09:30:07,3136.367961934972
2019-04-04 09:30:08,2062.990975953263
2019-04-04 09:30:09,1363.1917277035764
2019-04-04 09:30:10,903.4797457438367
2019-04-04 09:30:11,297.65049445808756
2019-04-04 09:30:12,197.92123097020382
2019-04-04 09:30:13,131.72071829202685
2019-04-04 09:30:14,54.3036848133426
2019-04-04 09:30:15,1371.5412034358756
2019-04-04 09:30:16,1547.8731053147253
2019-04-04 09:30:17,1998.8872441842884
2019-04-04 09:30:18,1332.2907991395189
2019-04-04 09:30:19,1121.4637977047503
2019-04-04 09:30:20,747.5675709290399
2019-04-04 09:30:21,498.3450702421916
2019-04-04 09:30:22,332.21524386515216
2019-04-04 09:30:23,221.47025063733201
2019-04-04 09:30:24,147.64391007802962
2019-04-04 09:30:25,98.42797401481863
2019-04-04 09:30:26,65.61807185790298
2019-04-04 09:30:27,43.74512458222905
2019-04-04 09:30:28,829.1695604827853
2019-04-04 09:30:29,1786.1180308990886
2019-04-04 09:30:30,3057.4164405607553
2019-04-04 09:30:31,2038.2752648546812
2019-04-04 09:30:32,1358.8491267114498
2019-04-04 09:30:33,905.8989512045283
2019-04-04 09:30:34,603.9324267573726
2019-04-04 09:30:35,402.6215256698658
2019-04-04 09:30:36,268.41430948286717
2019-04-04 09:30:37,178.94285478248943
2019-04-04 09:30:38,119.29522843006603
2019-04-04 09:30:39,79.53014869044728
2019-04-04 09:30:40,53.02009752862568
2019-04-04 09:30:41,35.34673097537753
2019-04-04 09:30:42,23.564487001197065
2019-04-04 09:30:43,15.709657860477474
2019-04-04 09:30:44,10.473105177953618
2019-04-04 09:30:45,6.9820700909181035
2019-04-04 09:30:46,4.6547133816264505
2019-04-04 09:30:47,3.103142248942544
2019-04-04 09:30:48,2.0687614968616566
2019-04-04 09:30:49,1.3791743301596053
2019-04-04 09:30:50,0.9194495529590706
